identifier1	identifier2	annotator	judgment	comment	lemma	round
2532889X_1987-04-02_01_133.tcf.xml-8-15	26120215_1963_06_16_01_335.tcf.xml-14-33	annotator1	2.0	 	Fuß	3
libelt_hs6623ii_1828-1187-10	2532889X_1946-12-31_01_185.tcf.xml-36-6	annotator1	2.0	 	Fuß	3
26120215_1975_03_19_01_119.tcf.xml-76-17	gerstner_mechanik03_1834-7807-16	annotator1	2.0	 	Fuß	3
2532889X_1985-10-11_01_137.tcf.xml-2-27	beck_eisen03_1897-5640-21	annotator1	2.0	 	Fuß	3
mueller_hellenische03_1824-4149-21	humboldt_meer_1833-131-41	annotator1	2.0	 	Fuß	3
eytelwein_faschinenwerke_1800-516-17	brehm_thierleben02_1865-13067-13	annotator1	4.0	 	Fuß	3
2532889X_1954-02-19_01_068.tcf.xml-41-24	brehm_thierleben05_1869-13797-50	annotator1	2.0	 	Fuß	3
littrow_weltsystem03_1836-4031-22	26120215_1963_06_16_01_335.tcf.xml-14-33	annotator1	2.0	 	Fuß	3
brehm_thierleben02_1865-20071-12	christ_pomologie01_1809-341-32	annotator1	2.0	 	Fuß	3
26120215_1985_12_04_01_069.tcf.xml-7-23	brehm_thierleben02_1865-13067-13	annotator1	2.0	 	Fuß	3
2532889X_1946-12-17_01_045.tcf.xml-14-3	brehm_thierleben02_1865-13067-13	annotator1	2.0	 	Fuß	3
26120215_1978_09_05_01_079.tcf.xml-21-9	2532889X_1961-09-20_01_030.tcf.xml-3-7	annotator1	3.0	 	Fuß	3
26120215_1974_10_06_01_276.tcf.xml-17-27	beck_eisen03_1897-4756-24	annotator1	2.0	 	Fuß	3
humboldt_kosmos04_1858-1330-8	humboldt_kosmos04_1858-1322-61	annotator1	4.0	 	Fuß	3
26120215_1985_12_04_01_069.tcf.xml-7-23	werner_seeleben_1880-1357-26	annotator1	2.0	 	Fuß	3
berg_ostasienzoologie01_1876-1067-15	berlepsch_alpen_1861-944-29	annotator1	2.0	 	Fuß	3
treitschke_geschichte02_1882-910-30	2532889X_1954-02-19_01_068.tcf.xml-41-24	annotator1	3.0	 	Fuß	3
christ_pomologie01_1809-341-32	rossmaessler_wald_1863-4966-33	annotator1	4.0	 	Fuß	3
beck_eisen02_1895-6868-25	brehm_thierleben05_1869-13797-50	annotator1	4.0	 	Fuß	3
26120215_1963_02_15_01_093.tcf.xml-44-22	26120215_1948_03_14_01_179.tcf.xml-4-24	annotator1	2.0	 	Fuß	3
2532889X_1963-10-02_01_065.tcf.xml-13-38	poelitz_poetik_1825-5331-20	annotator1	4.0	 	Fuß	3
2532889X_1973-03-31_01_390.tcf.xml-2-1	2532889X_1963-10-02_01_065.tcf.xml-13-38	annotator1	3.0	 	Fuß	3
26120215_1985_03_06_01_005.tcf.xml-7-24	26120215_1965_05_18_01_034.tcf.xml-71-12	annotator1	2.0	 	Fuß	3
2532889X_1968-05-25_01_057.tcf.xml-7-15	gerstaecker_schiesswaffen_1848-33-38	annotator1	2.0	 	Fuß	3
26120215_1977_05_28_01_005.tcf.xml-7-4	26120215_1951_10_11_01_214.tcf.xml-15-37	annotator1	3.0	 	Fuß	3
2532889X_1964-05-28_01_037.tcf.xml-29-8	humboldt_kosmos03_1850-5947-11	annotator1	2.0	 	Fuß	3
2532889X_1976-01-27_01_037.tcf.xml-0-10	poelitz_poetik_1825-5331-20	annotator1	3.0	 	Fuß	3
26120215_1974_10_06_01_276.tcf.xml-17-27	humboldt_kosmos04_1858-1322-61	annotator1	2.0	 	Fuß	3
brehm_thierleben02_1865-13067-13	beck_eisen03_1897-18606-9	annotator1	4.0	 	Fuß	3
26120215_1982_12_09_01_088.tcf.xml-48-31	26120215_1963_06_16_01_335.tcf.xml-14-33	annotator1	2.0	 	Fuß	3
2532889X_1989-05-17_01_030.tcf.xml-24-19	gerstaecker_schiesswaffen_1848-33-38	annotator1	2.0	 	Fuß	3
2532889X_1984-03-27_01_120.tcf.xml-15-18	humboldt_meer_1833-131-41	annotator1	2.0	 	Fuß	3
brehm_thierleben02_1865-18971-2	26120215_1963_06_16_01_335.tcf.xml-14-33	annotator1	2.0	 	Fuß	3
littrow_weltsystem03_1836-4031-22	2532889X_1954-02-19_01_068.tcf.xml-41-24	annotator1	2.0	 	Fuß	3
2532889X_1954-02-19_01_068.tcf.xml-41-24	26120215_1963_02_15_01_093.tcf.xml-44-22	annotator1	2.0	 	Fuß	3
mueller_hellenische03_1824-4149-21	brehm_thierleben04_1867-4378-18	annotator1	3.0	 	Fuß	3
2532889X_1982-07-31_01_468.tcf.xml-75-11	2532889X_1963-10-02_01_065.tcf.xml-13-38	annotator1	3.0	 	Fuß	3
26120215_1967_05_12_01_355.tcf.xml-43-3	26120215_1963_06_16_01_335.tcf.xml-14-33	annotator1	3.0	 	Fuß	3
kuernberger_amerikamuede_1855-8717-43	brehm_thierleben02_1865-18941-15	annotator1	2.0	 	Fuß	3
26120215_1985_12_04_01_069.tcf.xml-7-23	kleist_kaethchen_1810-143-2	annotator1	4.0	 	Fuß	3
berlepsch_alpen_1861-944-29	2532889X_1961-09-20_01_030.tcf.xml-3-7	annotator1	3.0	 	Fuß	3
26120215_1973_08_09_01_355.tcf.xml-84-20	26120215_1963_06_16_01_335.tcf.xml-14-33	annotator1	3.0	 	Fuß	3
2532889X_1985-10-11_01_137.tcf.xml-2-27	26120215_1963_06_16_01_335.tcf.xml-14-33	annotator1	2.0	 	Fuß	3
2532889X_1961-09-20_01_030.tcf.xml-3-7	steub_tirol_1846-5945-7	annotator1	2.0	 	Fuß	3
beck_eisen03_1897-15659-57	26120215_1951_10_11_01_214.tcf.xml-15-37	annotator1	2.0	 	Fuß	3
26120215_1982_12_21_01_269.tcf.xml-7-23	26120215_1951_10_11_01_214.tcf.xml-15-37	annotator1	2.0	 	Fuß	3
brehm_thierleben05_1869-13797-50	brehm_thierleben02_1865-13067-13	annotator1	4.0	 	Fuß	3
arnimb_goethe01_1835-799-56	libelt_hs6623ii_1828-1187-10	annotator1	2.0	 	Fuß	3
2532889X_1961-09-20_01_030.tcf.xml-3-7	2532889X_1986-07-05_01_164.tcf.xml-30-38	annotator1	3.0	 	Fuß	3
list_transportsystem_1838-1077-16	2532889X_1954-02-19_01_068.tcf.xml-41-24	annotator1	2.0	 	Fuß	3
26120215_1978_09_05_01_079.tcf.xml-21-9	brehm_thierleben02_1865-13067-13	annotator1	2.0	 	Fuß	3
26120215_1973_08_09_01_355.tcf.xml-84-20	humboldt_kosmos04_1858-1322-61	annotator1	2.0	 	Fuß	3
26120215_1977_02_09_01_124.tcf.xml-8-15	christ_pomologie01_1809-341-32	annotator1	2.0	 	Fuß	3
26120215_1985_03_06_01_005.tcf.xml-7-24	humboldt_kosmos04_1858-1330-8	annotator1	2.0	 	Fuß	3
humboldt_kosmos01_1845-1696-49	26120215_1963_02_15_01_093.tcf.xml-44-22	annotator1	2.0	 	Fuß	3
26120215_1985_03_06_01_005.tcf.xml-7-24	beck_eisen03_1897-5640-21	annotator1	2.0	 	Fuß	3
26120215_1973_05_16_01_210.tcf.xml-1-2	brehm_thierleben05_1869-523-21	annotator1	2.0	 	Fuß	3
