identifier	lemma	identifier_sense	comment	annotator
26120215_1986_10_10_01_075.tcf.xml-7-19	abbauen	sense3	 	annotatorA
beck_eisen02_1895-8983-27	abbauen	sense1	 	annotatorA
beck_eisen02_1895-13263-28	abbauen	sense1	 	annotatorA
26120215_1963_11_29_01_007.tcf.xml-13-8	abbauen	sense2	aber metaphorisch	annotatorA
humboldt_aequinoktial03_1859-726-26	abbauen	sense1	 	annotatorA
2532889X_1978-06-09_01_083.tcf.xml-2-32	abbauen	sense3	 	annotatorA
2532889X_1963-03-05_01_016.tcf.xml-3-16	abbauen	sense3	 	annotatorA
2532889X_1979-12-15_01_109.tcf.xml-18-28	abbauen	sense3	 	annotatorA
2532889X_1989-04-04_01_114.tcf.xml-33-25	abbauen	sense3	 	annotatorA
2532889X_1968-04-03_01_171.tcf.xml-21-18	abbauen	sense3	 	annotatorA
2532889X_1964-01-31_01_179.tcf.xml-239-7	abbauen	sense3	 	annotatorA
baumstark_encyclopaedie_1835-3425-29	abbauen	sense1	 	annotatorA
2532889X_1969-09-07_01_200.tcf.xml-37-16	abbauen	sense3	 	annotatorA
baumstark_encyclopaedie_1835-3530-19	abbauen	sense1	 	annotatorA
2532889X_1986-01-14_01_031.tcf.xml-60-15	abbauen	sense3	 	annotatorA
beck_eisen02_1895-1009-4	abbauen	sense1	 	annotatorA
26120215_1970_09_26_01_179.tcf.xml-10-20	abbauen	sense2	 	annotatorA
26120215_1963_04_07_01_034.tcf.xml-54-28	abbauen	sense3	 	annotatorA
berg_ostasien04_1873-4792-15	abbauen	sense2	 	annotatorA
2532889X_1976-11-18_01_091.tcf.xml-47-20	abbauen	sense3	 	annotatorA
humboldt_gutachten_1838-60-41	abbauen	sense1	 	annotatorA
beck_eisen03_1897-14128-14	abbauen	sense1	 	annotatorA
nn_maehrisches166_1893-368-17	abbauen	None	verstehe ich nicht; eventuell Teil einer Bühne (dann Spalte D)?	annotatorA
26120215_1984_08_02_01_043.tcf.xml-10-15	abbauen	sense2	 	annotatorA
beck_eisen03_1897-15224-3	abbauen	sense1	 	annotatorA
baumstark_encyclopaedie_1835-3510-14	abbauen	sense2	 	annotatorA
beck_eisen02_1895-1381-74	abbauen	sense1	 	annotatorA
quenstedt_mineralogie_1854-11664-6	abbauen	sense1	 	annotatorA
2532889X_1959-03-13_01_104.tcf.xml-29-34	abbauen	sense3	 	annotatorA
2532889X_1978-07-21_01_096.tcf.xml-14-30	abbauen	sense3	 	annotatorA
beck_eisen02_1895-1004-17	abbauen	sense1	 	annotatorA
2532889X_1990-04-28_01_305.tcf.xml-4-29	abbauen	sense3	 	annotatorA
2532889X_1977-08-26_01_087.tcf.xml-25-45	abbauen	sense3	 	annotatorA
beck_eisen01_1884-8131-33	abbauen	sense1	 	annotatorA
beck_eisen02_1895-19646-33	abbauen	sense1	 	annotatorA
2532889X_1972-11-27_01_085.tcf.xml-12-5	abbauen	sense3	 	annotatorA
quenstedt_mineralogie_1854-14158-25	abbauen	sense1	 	annotatorA
2532889X_1965-03-07_01_234.tcf.xml-32-9	abbauen	sense3	 	annotatorA
quenstedt_mineralogie_1854-11683-34	abbauen	sense1	 	annotatorA
26120215_1966_04_29_01_295.tcf.xml-3-18	abbauen	sense3	 	annotatorA
baumstark_encyclopaedie_1835-3477-40	abbauen	sense2	 	annotatorA
beck_eisen02_1895-18933-5	abbauen	sense1	könnte aber auch etwas Aufgebautes abbauen sein (eine Konstruktion)	annotatorA
beck_eisen02_1895-703-21	abbauen	sense1	 	annotatorA
2532889X_1964-09-02_01_107.tcf.xml-102-33	abbauen	sense2	metaphorisch	annotatorA
beck_eisen03_1897-17045-9	abbauen	sense1	 	annotatorA
26120215_1989_07_26_01_156.tcf.xml-20-11	abbauen	sense3	 	annotatorA
26120215_1968_09_29_01_271.tcf.xml-44-16	abbauen	sense3	 	annotatorA
quenstedt_mineralogie_1854-14077-13	abbauen	sense1	 	annotatorA
baumstark_encyclopaedie_1835-3348-26	abbauen	sense2	 	annotatorA
26120215_1970_07_23_01_183.tcf.xml-22-11	abbauen	sense3	 	annotatorA
26120215_1986_10_10_01_075.tcf.xml-7-19	abbauen	sense3	 	annotatorB
beck_eisen02_1895-8983-27	abbauen	sense1	 	annotatorB
beck_eisen02_1895-13263-28	abbauen	sense1	 	annotatorB
26120215_1963_11_29_01_007.tcf.xml-13-8	abbauen	sense2	 	annotatorB
humboldt_aequinoktial03_1859-726-26	abbauen	None	 	annotatorB
2532889X_1978-06-09_01_083.tcf.xml-2-32	abbauen	sense3	 	annotatorB
2532889X_1963-03-05_01_016.tcf.xml-3-16	abbauen	sense3	 	annotatorB
2532889X_1979-12-15_01_109.tcf.xml-18-28	abbauen	sense3	 	annotatorB
2532889X_1989-04-04_01_114.tcf.xml-33-25	abbauen	sense3	 	annotatorB
2532889X_1968-04-03_01_171.tcf.xml-21-18	abbauen	sense2	könnte auch verringern sein, klingt aber mehr nach Schreckensmeldung und endgültig	annotatorB
2532889X_1964-01-31_01_179.tcf.xml-239-7	abbauen	sense3	 	annotatorB
baumstark_encyclopaedie_1835-3425-29	abbauen	sense2	 	annotatorB
2532889X_1969-09-07_01_200.tcf.xml-37-16	abbauen	sense3	 	annotatorB
baumstark_encyclopaedie_1835-3530-19	abbauen	sense1	 	annotatorB
2532889X_1986-01-14_01_031.tcf.xml-60-15	abbauen	sense3	 	annotatorB
beck_eisen02_1895-1009-4	abbauen	sense1	 	annotatorB
26120215_1970_09_26_01_179.tcf.xml-10-20	abbauen	sense2	 	annotatorB
26120215_1963_04_07_01_034.tcf.xml-54-28	abbauen	sense2	 	annotatorB
berg_ostasien04_1873-4792-15	abbauen	sense2	 	annotatorB
2532889X_1976-11-18_01_091.tcf.xml-47-20	abbauen	sense3	 	annotatorB
humboldt_gutachten_1838-60-41	abbauen	sense1	 	annotatorB
beck_eisen03_1897-14128-14	abbauen	sense1	 	annotatorB
nn_maehrisches166_1893-368-17	abbauen	sense2	 	annotatorB
26120215_1984_08_02_01_043.tcf.xml-10-15	abbauen	sense2	 	annotatorB
beck_eisen03_1897-15224-3	abbauen	sense1	 	annotatorB
baumstark_encyclopaedie_1835-3510-14	abbauen	sense2	 	annotatorB
beck_eisen02_1895-1381-74	abbauen	sense1	 	annotatorB
quenstedt_mineralogie_1854-11664-6	abbauen	sense1	 	annotatorB
2532889X_1959-03-13_01_104.tcf.xml-29-34	abbauen	sense3	 	annotatorB
2532889X_1978-07-21_01_096.tcf.xml-14-30	abbauen	sense3	 	annotatorB
beck_eisen02_1895-1004-17	abbauen	sense1	 	annotatorB
2532889X_1990-04-28_01_305.tcf.xml-4-29	abbauen	sense2	 	annotatorB
2532889X_1977-08-26_01_087.tcf.xml-25-45	abbauen	sense3	 	annotatorB
beck_eisen01_1884-8131-33	abbauen	sense1	 	annotatorB
beck_eisen02_1895-19646-33	abbauen	sense1	 	annotatorB
2532889X_1972-11-27_01_085.tcf.xml-12-5	abbauen	sense3	 	annotatorB
quenstedt_mineralogie_1854-14158-25	abbauen	sense1	 	annotatorB
2532889X_1965-03-07_01_234.tcf.xml-32-9	abbauen	sense3	 	annotatorB
quenstedt_mineralogie_1854-11683-34	abbauen	sense1	 	annotatorB
26120215_1966_04_29_01_295.tcf.xml-3-18	abbauen	sense3	 	annotatorB
baumstark_encyclopaedie_1835-3477-40	abbauen	sense1	 	annotatorB
beck_eisen02_1895-18933-5	abbauen	sense1	 	annotatorB
beck_eisen02_1895-703-21	abbauen	sense1	 	annotatorB
2532889X_1964-09-02_01_107.tcf.xml-102-33	abbauen	sense2	 	annotatorB
beck_eisen03_1897-17045-9	abbauen	sense1	 	annotatorB
26120215_1989_07_26_01_156.tcf.xml-20-11	abbauen	sense3	 	annotatorB
26120215_1968_09_29_01_271.tcf.xml-44-16	abbauen	sense3	 	annotatorB
quenstedt_mineralogie_1854-14077-13	abbauen	sense1	 	annotatorB
baumstark_encyclopaedie_1835-3348-26	abbauen	sense1	 	annotatorB
26120215_1970_07_23_01_183.tcf.xml-22-11	abbauen	sense3	 	annotatorB
26120215_1986_10_10_01_075.tcf.xml-7-19	abbauen	sense3	 	annotatorC
beck_eisen02_1895-8983-27	abbauen	sense1	 	annotatorC
beck_eisen02_1895-13263-28	abbauen	sense1	 	annotatorC
26120215_1963_11_29_01_007.tcf.xml-13-8	abbauen	sense0	 	annotatorC
humboldt_aequinoktial03_1859-726-26	abbauen	sense1	 	annotatorC
2532889X_1978-06-09_01_083.tcf.xml-2-32	abbauen	sense3	 	annotatorC
2532889X_1963-03-05_01_016.tcf.xml-3-16	abbauen	sense3	 	annotatorC
2532889X_1979-12-15_01_109.tcf.xml-18-28	abbauen	sense3	 	annotatorC
2532889X_1989-04-04_01_114.tcf.xml-33-25	abbauen	sense3	 	annotatorC
