lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
abdecken	2532889X_1953-02-10_01_044.tcf.xml-10-21	26120215_1948_03_05_01_025.tcf.xml-8-27	Im Oktober 19. V2 gab es in Kuhlhauscn Großbauern, die noch immer nicht das rückständige Soll aus dem Jahre 1951 abgedeckt hatten.	Von Bedeutung ist ebenfalls ein Länderabkommen zwischen Rheinland-Pfalz und Sachsen, dessen Realisierung schon so weit vorangegangen ist, daß rund drei Fünftel der Vertragssumme für Textilien abgedeckt sind.	113:122	192:201	4.0
abdecken	2532889X_1953-02-10_01_044.tcf.xml-10-21	26120215_1967_07_24_01_017.tcf.xml-11-13	Im Oktober 19. V2 gab es in Kuhlhauscn Großbauern, die noch immer nicht das rückständige Soll aus dem Jahre 1951 abgedeckt hatten.	Ein erheblicher Teil der Ernta wurde vernichtet, von orkanartigen Stürmen wurden Dächer abgedeckt und Baugerüste umgeworfen.	113:122	88:97	1.0
abdecken	2532889X_1953-02-10_01_044.tcf.xml-10-21	26120215_1976_01_10_01_404.tcf.xml-4-28	Im Oktober 19. V2 gab es in Kuhlhauscn Großbauern, die noch immer nicht das rückständige Soll aus dem Jahre 1951 abgedeckt hatten.	Sein persönlicher Ehrgeiz sei es, immer ein ausreichendes Angebot bis Ladenschluß zu sichern, den verstärkten Bedarf besonders an den Wochenenden und zu Fest-und Feiertagen voll abzudecken und vielfaltigste Kundenwünsche zu erfüllen.	113:122	178:188	4.0
abdecken	2532889X_1953-07-05_01_047.tcf.xml-62-16	2532889X_1982-04-28_01_050.tcf.xml-8-40	Im Jahre 1954 sind von diesen Schulden mindestens 40 Prozent, im Jahre 1955 der Rest abzudecken.	Unser Bezirk will durch wachsende Erträge und eine größere Anbaufläche mindestens 700 00fr Tonnen Getreide ernten, gegenüber dem vergangenen Jahr die Heuproduktion verdoppeln, mehr Futterhackfrüchte anbauen, um so den Grobfutterbedarf in den Kooperationen aus eigenem Aufkommen besser abzudecken.	85:95	285:295	4.0
abdecken	2532889X_1953-07-05_01_047.tcf.xml-62-16	26120215_1978_03_18_01_155.tcf.xml-9-13	Im Jahre 1954 sind von diesen Schulden mindestens 40 Prozent, im Jahre 1955 der Rest abzudecken.	Diese Investition ist auch notwendig, um den beträchtlich gestiegenen Bedarf an Eisenerz abzudecken, der durch die Erweiterung der Kapazität der Hüttenwerke in Katowice entstanden ist.	85:95	89:99	4.0
abdecken	2532889X_1953-07-05_01_047.tcf.xml-62-16	wanderley_bauconstructionslehre02_1878-4577-74	Im Jahre 1954 sind von diesen Schulden mindestens 40 Prozent, im Jahre 1955 der Rest abzudecken.	Der zwischen den vier Viertelkreisen, die bei der Rotation durch die Scheitelpunkte der Wandbögen erzeugt werden, liegende offene Raum c d c d c wird gewöhnlich durch ein scheitrechtes Gewölbe geschlossen; man legt aber auch nicht selten in diese Ebene einen jene vier Viertelkreise tangirenden Kreis, der durch eine aus der Leibung hervortretende Rippe ausgezeichnet wird; dieser innere Raum läßt sich dann noch durch eine kleine flache böhmische Kappe abdecken.	85:95	454:462	2.0
abdecken	2532889X_1957-06-27_01_106.tcf.xml-40-20	26120215_1966_08_24_01_105.tcf.xml-13-10	Dieser Kredit wird W ta > deshalb auch durch Lieferungen von Steinkohle, Koks und Elektroenergie von den polnischen Freunden abgedeckt.	Vor dem Anbrennen wird der Buchenholzmeiler mit Reisig und Sand abgedeckt, Reiner Lang ist Mitarbeiter der Köhlerei Lange und Gläser, Blauenthal (Erzgebirge).	125:134	64:73	2.0
abdecken	2532889X_1957-06-27_01_106.tcf.xml-40-20	26120215_1990_05_03_01_342.tcf.xml-390-28	Dieser Kredit wird W ta > deshalb auch durch Lieferungen von Steinkohle, Koks und Elektroenergie von den polnischen Freunden abgedeckt.	Soweit in der (Renten-, Kranken-, Unfall-und) Arbeitslosenversicherung der Deutschen Demokratischen Republik in einer Übergangszeit die Beitragseinnahmen die Ausgaben für die Leistungen nicht voll abdecken, leistet die Bundesrepublik Deutschland an die Deutsche Demokratische Republik eine vorübergehende Anschubfinanzierung im Rahmen der nach Kapitel V Artikel 3 zugesagten Haushaltshilfe.	125:134	197:205	4.0
abdecken	2532889X_1962-01-24_01_024.tcf.xml-27-17	2532889X_1986-03-08_01_151.tcf.xml-14-10	Über lOOmal wurde am Montag die Westberliner Feuerwehr alarmiert, da der starke Sturm über Berlin Dächer abdeckte und große Bäume entwurzelte.	Ratsam erscheint, ihn gut mit Basaltsplit oder dunklem Kies abzudecken.	105:113	60:70	1.0
abdecken	2532889X_1962-01-24_01_024.tcf.xml-27-17	goethe_leben01_1811-2459-6	Über lOOmal wurde am Montag die Westberliner Feuerwehr alarmiert, da der starke Sturm über Berlin Dächer abdeckte und große Bäume entwurzelte.	In einem Nu war die Hütte abgedeckt, und einzelne Menschen hingen an Sparren und Balken, um auch diese aus den Fugen zu reißen; ja manche schwebten noch oben herum, als schon unten die Pfosten abgesägt waren, das Gerippe hin-und wiederschwankte und jähen Einsturz drohte.	105:113	26:35	4.0
