reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
mag_1835_554331.txt-58-8	fic_2004_49256.txt-152-8	0.7853614091873169	nf_1853_747976.txt-2095-28	0.8305354118347168	missing_usage	0.9239521622657776	mag_1851_566075.txt-50-5	0.0	['nf_1853_747976.txt-2095-28', 'fic_2004_49256.txt-152-8', 'mag_1851_566075.txt-50-5']	['mag_1851_566075.txt-50-5', 'fic_2004_49256.txt-152-8', 'nf_1853_747976.txt-2095-28']
mag_1846_555416.txt-74-57	fic_2006_51373.txt-751-10	0.1730818748474121	nf_2007_747179.txt-166-2	0.9232020378112793	fic_2002_29934.txt-464-10	0.283696711063385	news_1980_734527.txt-36-24	0.6789538860321045	['nf_2007_747179.txt-166-2', 'news_1980_734527.txt-36-24', 'fic_2002_29934.txt-464-10', 'fic_2006_51373.txt-751-10']	['news_1980_734527.txt-36-24', 'nf_2007_747179.txt-166-2', 'fic_2002_29934.txt-464-10', 'fic_2006_51373.txt-751-10']
fic_1839_7023.txt-797-19	nf_1845_747909.txt-838-60	0.5034890174865723	missing_usage	0.7059868574142456	mag_1996_427215.txt-156-1	0.5867142677307129	nf_1845_747928.txt-906-7	0.0	['mag_1996_427215.txt-156-1', 'nf_1845_747909.txt-838-60', 'nf_1845_747928.txt-906-7']	['nf_1845_747909.txt-838-60', 'nf_1845_747928.txt-906-7', 'mag_1996_427215.txt-156-1']
fic_1843_7074.txt-1104-9	nf_1848_747893.txt-3386-2	0.9258956909179688	fic_1839_7023.txt-797-19	0.844726026058197	nf_1845_747909.txt-2477-10	0.7902132272720337	missing_usage	0.0	['nf_1848_747893.txt-3386-2', 'fic_1839_7023.txt-797-19', 'nf_1845_747909.txt-2477-10']	['fic_1839_7023.txt-797-19', 'nf_1848_747893.txt-3386-2', 'nf_1845_747909.txt-2477-10']
fic_1849_7192.txt-167-4	news_1980_734527.txt-36-24	0.8504972457885742	nf_1853_748464.txt-606-21	0.48900994658470154	missing_usage	0.6601181030273438	mag_1996_427215.txt-156-1	0.0	['news_1980_734527.txt-36-24', 'nf_1853_748464.txt-606-21', 'mag_1996_427215.txt-156-1']	['news_1980_734527.txt-36-24', 'nf_1853_748464.txt-606-21', 'mag_1996_427215.txt-156-1']
nf_1853_747976.txt-2095-28	fic_2002_29934.txt-464-10	0.572634220123291	nf_1844_755204.txt-1034-27	0.8020274639129639	mag_1835_554331.txt-58-8	0.8305354118347168	nf_1845_747928.txt-906-7	0.6980160474777222	['mag_1835_554331.txt-58-8', 'nf_1844_755204.txt-1034-27', 'nf_1845_747928.txt-906-7', 'fic_2002_29934.txt-464-10']	['nf_1845_747928.txt-906-7', 'nf_1844_755204.txt-1034-27', 'mag_1835_554331.txt-58-8', 'fic_2002_29934.txt-464-10']
nf_1843_752682.txt-216-4	news_2001_627694.txt-1287-11	0.8779638409614563	missing_usage	0.9127954244613647	fic_1835_5605.txt-2233-79	0.8685577511787415	nf_1853_747976.txt-2095-28	0.0	['news_2001_627694.txt-1287-11', 'fic_1835_5605.txt-2233-79', 'nf_1853_747976.txt-2095-28']	['fic_1835_5605.txt-2233-79', 'nf_1853_747976.txt-2095-28', 'news_2001_627694.txt-1287-11']
nf_1843_752682.txt-209-1	missing_usage	0.9546428322792053	nf_1853_748464.txt-606-21	0.9051336050033569	nf_1848_747893.txt-3135-42	0.7771720886230469	mag_2006_397910.txt-95-18	0.0	['nf_1853_748464.txt-606-21', 'nf_1848_747893.txt-3135-42', 'mag_2006_397910.txt-95-18']	['nf_1853_748464.txt-606-21', 'nf_1848_747893.txt-3135-42', 'mag_2006_397910.txt-95-18']
nf_1844_755204.txt-629-14	news_2005_608686.txt-4-27	0.9507145285606384	mag_1840_554766.txt-186-1	0.9892120957374573	mag_1846_555416.txt-42-18	0.8677133321762085	mag_2005_378206.txt-13-11	0.5106961727142334	['mag_1840_554766.txt-186-1', 'news_2005_608686.txt-4-27', 'mag_1846_555416.txt-42-18', 'mag_2005_378206.txt-13-11']	['mag_1840_554766.txt-186-1', 'mag_1846_555416.txt-42-18', 'news_2005_608686.txt-4-27', 'mag_2005_378206.txt-13-11']
fic_1835_5605.txt-2233-79	nf_1978_773837.txt-207-30	0.8691339492797852	nf_1843_752682.txt-216-4	0.9127954244613647	fic_2007_33638.txt-136-9	0.7086755037307739	missing_usage	0.0	['nf_1843_752682.txt-216-4', 'nf_1978_773837.txt-207-30', 'fic_2007_33638.txt-136-9']	['nf_1843_752682.txt-216-4', 'nf_1978_773837.txt-207-30', 'fic_2007_33638.txt-136-9']
nf_1845_747928.txt-906-7	news_2006_629412.txt-15-31	0.6062852144241333	missing_usage	0.5415997505187988	fic_1969_13728.txt-103-20	0.5183014869689941	mag_1981_326496.txt-9-11	0.0	['news_2006_629412.txt-15-31', 'fic_1969_13728.txt-103-20', 'mag_1981_326496.txt-9-11']	['mag_1981_326496.txt-9-11', 'fic_1969_13728.txt-103-20', 'news_2006_629412.txt-15-31']
