lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
artikulieren	treviranus_biologie03_1805-380-35	patzig_msgermfol841842_1828-259-29	4.0	2532889X_1978-12-20_01_052.tcf.xml-23-1	2.0	treviranus_biologie03_1805-825-9	3.0	blumenbach_anatomie_1805-773-31	1.0	['patzig_msgermfol841842_1828-259-29', 'treviranus_biologie03_1805-825-9', '2532889X_1978-12-20_01_052.tcf.xml-23-1', 'blumenbach_anatomie_1805-773-31']		4
artikulieren	treviranus_biologie06_1822-2602-51	treviranus_biologie03_1805-447-3	4.0	griesinger_psychische_1845-3878-13	2.0			steinthal_grammatik_1855-986-46	1.0	['treviranus_biologie03_1805-447-3', 'griesinger_psychische_1845-3878-13', 'steinthal_grammatik_1855-986-46']		3
artikulieren	varnhagen_rahel03_1834-2750-7	2532889X_1987-09-18_01_055.tcf.xml-5-5	4.0	2532889X_1969-05-07_01_079.tcf.xml-5-20	2.0			2532889X_1966-10-20_01_054.tcf.xml-64-7	3.0	['2532889X_1987-09-18_01_055.tcf.xml-5-5', '2532889X_1966-10-20_01_054.tcf.xml-64-7', '2532889X_1969-05-07_01_079.tcf.xml-5-20']		3
artikulieren	blumenbach_knochen_1807-1442-28	blumenbach_anatomie_1815-567-52	4.0			treviranus_biologie03_1805-825-9	1.0	26120215_1971_10_24_01_106.tcf.xml-7-27	2.0	['blumenbach_anatomie_1815-567-52', '26120215_1971_10_24_01_106.tcf.xml-7-27', 'treviranus_biologie03_1805-825-9']		3
artikulieren	blumenbach_anatomie_1824-867-31	blumenbach_anatomie_1805-633-20	4.0			26120215_1979_06_05_01_167.tcf.xml-6-7	2.0	26120215_1987_08_01_01_389.tcf.xml-9-35	1.0	['blumenbach_anatomie_1805-633-20', '26120215_1979_06_05_01_167.tcf.xml-6-7', '26120215_1987_08_01_01_389.tcf.xml-9-35']		3
artikulieren	goethe_leben01_1811-1983-8	2532889X_1990-06-18_01_140.tcf.xml-4-48	4.0	2532889X_1988-11-23_01_005.tcf.xml-23-3	3.0	26120215_1971_10_24_01_106.tcf.xml-7-27	2.0	blumenbach_anatomie_1815-567-52	1.0	['2532889X_1990-06-18_01_140.tcf.xml-4-48', '2532889X_1988-11-23_01_005.tcf.xml-23-3', '26120215_1971_10_24_01_106.tcf.xml-7-27', 'blumenbach_anatomie_1815-567-52']		4
artikulieren	wernicke_symptomencomplex_1874-998-5			blumenbach_anatomie_1815-668-20	1.0	2532889X_1990-06-18_01_140.tcf.xml-4-48	3.0	2532889X_1990-06-05_01_087.tcf.xml-33-37	2.0	['2532889X_1990-06-18_01_140.tcf.xml-4-48', '2532889X_1990-06-05_01_087.tcf.xml-33-37', 'blumenbach_anatomie_1815-668-20']		3
artikulieren	patzig_msgermfol841842_1828-259-29	treviranus_biologie03_1805-380-35	4.0	26120215_1990_05_19_01_367.tcf.xml-45-7	1.0	treviranus_biologie01_1802-2665-2	3.0	treviranus_biologie03_1805-449-3	2.0	['treviranus_biologie03_1805-380-35', 'treviranus_biologie01_1802-2665-2', 'treviranus_biologie03_1805-449-3', '26120215_1990_05_19_01_367.tcf.xml-45-7']		4
artikulieren	blumenbach_anatomie_1805-533-78	blumenbach_anatomie_1815-806-31	4.0	2532889X_1989-11-27_01_148.tcf.xml-2-33	1.0	blumenbach_anatomie_1815-668-20	3.0	26120215_1979_06_05_01_167.tcf.xml-6-7	2.0	['blumenbach_anatomie_1815-806-31', 'blumenbach_anatomie_1815-668-20', '26120215_1979_06_05_01_167.tcf.xml-6-7', '2532889X_1989-11-27_01_148.tcf.xml-2-33']		4
artikulieren	blumenbach_anatomie_1824-618-52	2532889X_1966-10-20_01_054.tcf.xml-64-7	1.0			blumenbach_anatomie_1815-668-20	4.0	2532889X_1981-01-22_01_065.tcf.xml-33-1	2.0	['blumenbach_anatomie_1815-668-20', '2532889X_1981-01-22_01_065.tcf.xml-33-1', '2532889X_1966-10-20_01_054.tcf.xml-64-7']		3
artikulieren	treviranus_biologie03_1805-447-3	blumenbach_anatomie_1805-633-20	4.0			26120215_1990_10_25_01_128.tcf.xml-3-27	1.0	beyer_poetik01_1882-7479-21	2.0	['blumenbach_anatomie_1805-633-20', 'beyer_poetik01_1882-7479-21', '26120215_1990_10_25_01_128.tcf.xml-3-27']		3
artikulieren	treviranus_biologie01_1802-2066-33	blumenbach_anatomie2_1805-544-49	3.0	26120215_1988_09_02_01_087.tcf.xml-15-1	2.0	2532889X_1978-12-20_01_052.tcf.xml-23-1	1.0	blumenbach_knochen_1807-3711-21	4.0	['blumenbach_knochen_1807-3711-21', 'blumenbach_anatomie2_1805-544-49', '26120215_1988_09_02_01_087.tcf.xml-15-1', '2532889X_1978-12-20_01_052.tcf.xml-23-1']		4
artikulieren	vischer_aesthetik030204_1857-1991-49	blumenbach_anatomie_1824-618-52	1.0	2532889X_1990-06-18_01_140.tcf.xml-4-48	2.0	steinthal_grammatik_1855-986-46	4.0	griesinger_psychische_1845-3878-13	3.0	['steinthal_grammatik_1855-986-46', 'griesinger_psychische_1845-3878-13', '2532889X_1990-06-18_01_140.tcf.xml-4-48', 'blumenbach_anatomie_1824-618-52']		4
artikulieren	nn_nrhz067b2_1848-252-31	2532889X_1966-10-20_01_054.tcf.xml-64-7	4.0	steinthal_grammatik_1855-986-46	2.0			goethe_leben01_1811-1983-8	3.0	['2532889X_1966-10-20_01_054.tcf.xml-64-7', 'goethe_leben01_1811-1983-8', 'steinthal_grammatik_1855-986-46']		3
artikulieren	blumenbach_anatomie_1815-567-52			26120215_1976_12_07_01_188.tcf.xml-12-11	1.0	blumenbach_anatomie_1824-720-20	4.0	2532889X_1966-10-20_01_054.tcf.xml-64-7	2.0	['blumenbach_anatomie_1824-720-20', '2532889X_1966-10-20_01_054.tcf.xml-64-7', '26120215_1976_12_07_01_188.tcf.xml-12-11']		3
artikulieren	holtei_vagabunden02_1852-1389-8	blumenbach_knochen_1807-1442-28	2.0	2532889X_1980-05-05_01_103.tcf.xml-19-37	3.0			varnhagen_rahel03_1834-2745-3	1.0	['2532889X_1980-05-05_01_103.tcf.xml-19-37', 'blumenbach_knochen_1807-1442-28', 'varnhagen_rahel03_1834-2745-3']		3
artikulieren	blumenbach_anatomie_1824-720-20	blumenbach_anatomie2_1805-544-49	4.0			2532889X_1987-07-01_01_059.tcf.xml-21-31	1.0	2532889X_1990-06-18_01_140.tcf.xml-4-48	2.0	['blumenbach_anatomie2_1805-544-49', '2532889X_1990-06-18_01_140.tcf.xml-4-48', '2532889X_1987-07-01_01_059.tcf.xml-21-31']		3
artikulieren	treviranus_biologie03_1805-449-3	patzig_msgermfol841842_1828-259-29	2.0	2532889X_1985-06-08_01_059.tcf.xml-32-19	1.0			vogt_briefe02_1851-535-61	4.0	['vogt_briefe02_1851-535-61', 'patzig_msgermfol841842_1828-259-29', '2532889X_1985-06-08_01_059.tcf.xml-32-19']		3
artikulieren	blumenbach_knochen_1807-3711-21	treviranus_biologie03_1805-1462-77	4.0	varnhagen_rahel03_1834-2745-3	2.0			steinthal_grammatik_1855-986-46	1.0	['treviranus_biologie03_1805-1462-77', 'varnhagen_rahel03_1834-2745-3', 'steinthal_grammatik_1855-986-46']		3
artikulieren	blumenbach_anatomie_1805-633-20	2532889X_1989-11-27_01_148.tcf.xml-2-33	1.0	treviranus_biologie03_1805-447-3	4.0	goerres_wunderhorn_1809-82-35	2.0			['treviranus_biologie03_1805-447-3', 'goerres_wunderhorn_1809-82-35', '2532889X_1989-11-27_01_148.tcf.xml-2-33']		3
artikulieren	treviranus_biologie05_1818-1655-14	steinthal_grammatik_1855-986-46	1.0	valentin_entwicklungsgeschichte_1835-3185-9	4.0	26120215_1990_04_07_01_173.tcf.xml-55-0	2.0	vischer_aesthetik030204_1857-1991-49	3.0	['valentin_entwicklungsgeschichte_1835-3185-9', 'vischer_aesthetik030204_1857-1991-49', '26120215_1990_04_07_01_173.tcf.xml-55-0', 'steinthal_grammatik_1855-986-46']		4
