lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
Schmiere	NN	1858	1	avelallemant_gaunerthum02_1858-1014-24	 	Jn einem andern Falle wurde bei einem Ständchen mit Guitarrebegleitung im Nachbarhause eingestiegen, um dem das Rouleau aufziehenden Freier die Gegenwart zweier als Schmiren aufgestellter Personen auf der Straße zu motiviren.	165:173	0:225	Jn einem andern Falle wurde bei einem Ständchen mit Guitarrebegleitung im Nachbarhauſe eingeſtiegen , um dem das Rouleau aufziehenden Freier die Gegenwart zweier als Schmiren aufgeſtellter Perſonen auf der Straße zu motiviren .	24	0:33	in eine ander Falle werden bei eine Ständchen mit Guitarrebegleitung im Nachbarhaus einsteigen , um die d Rouleau aufziehend Freier d Gegenwart zweier als Schmiere aufgestellt Person auf d Straße zu motivieren .	APPR ART ADJA NN VAFIN APPR ART NN APPR NN APPRART NN VVPP $, APPR PRELS ART NN ADJA NN ART NN ADJA KOKOM NN ADJA NN APPR ART NN PTKZU VVINF $.	In einem anderen Falle wurde bei einem Ständchen mit Guitarrebegleitung im Nachbarhause eingestiegen , um dem das Rouleau aufziehenden Freier die Gegenwart zweier als Schmieren aufgestellter Personen auf der Straße zu motivieren .
Schmiere	NN	1831	1	gerstner_mechanik01_1831-10925-35	 	Die Schmiere der Wägen wird auf verschiedene Art in England bereitet, und gegenwärtig liefern die meisten Kontrahenten, welche für den Transport auf der Bahn nach der Tonne und Meile gezahlt werden, die Schmiere selbst.	203:211	0:219	Die Schmiere der Wägen wird auf verschiedene Art in England bereitet , und gegenwärtig liefern die meisten Kontrahenten , welche für den Transport auf der Bahn nach der Tonne und Meile gezahlt werden , die Schmiere selbst .	35	0:38	d Schmiere d Wagen werden auf verschieden Art in England bereiten , und gegenwärtig liefern d meiste Kontrahent , welche für d Transport auf d Bahn nach d Tonne und Meile zahlen werden , d Schmiere selbst .	ART NN ART NN VAFIN APPR ADJA NN APPR NE VVFIN $, KON ADJD VVFIN ART PIAT NN $, PRELS APPR ART NN APPR ART NN APPR ART NN KON NN VVPP VAINF $, ART NN ADV $.	Die Schmiere der Wägen wird auf verschiedene Art in England bereitet , und gegenwärtig liefern die meisten Kontrahenten , welche für den Transport auf der Bahn nach der Tonne und Meile gezahlt werden , die Schmiere selbst .
Schmiere	NN	1858	1	avelallemant_gaunerthum02_1858-2050-6	 	Handelt der Makkener ohne Vertusser oder Schmire, oder hat, was selten der Fall ist, der Vertusser den Freier nicht meistern können, und bekommt der Makkener nun Aufstoß, so hilft er sich mit großer Geistesgegenwart in der Weise, wie oben unter dem Kapitel von Meistern angeführt ist, bis er sich dann kaschern kann.	41:48	0:316	Handelt der Makkener ohne Vertuſſer oder Schmire , oder hat , was ſelten der Fall iſt , der Vertuſſer den Freier nicht meiſtern können , und bekommt der Makkener nun Aufſtoß , ſo hilft er ſich mit großer Geiſtesgegenwart in der Weiſe , wie oben unter dem Kapitel von Meiſtern angeführt iſt , bis er ſich dann kaſchern kann .	6	0:60	handeln d Macker ohne Vertusser oder Schmiere , oder haben , was selten d Fall sein , d Vertusser d Freier nicht meistern können , und bekommen d Macker nun aufstoßen , so helfen er sich mit groß Geistesgegenwart in d Weise , wie oben unter d Kapitel von Meister anführen sein , bis er sich dann Kascher können .	VVFIN ART NN APPR NE KON NN $, KON VAFIN $, PWS ADJD ART NN VAFIN $, ART NN ART NN PTKNEG VVINF VMINF $, KON VVFIN ART NN ADV VVFIN $, ADV VVFIN PPER PRF APPR ADJA NN APPR ART NN $, PWAV ADV APPR ART NN APPR NN VVPP VAFIN $, KOUS PPER PRF ADV NN VMFIN $.	Handelt der Macker ohne Vertusser oder Schmiere , oder hat , was selten der Fall ist , der Vertusser den Freier nicht meistern können , und bekommt der Macker nun Aufstoße , so hilft er sich mit großer Geistesgegenwart in der Weise , wie oben unter dem Kapitel von Meistern angeführt ist , bis er sich dann Kaschern kann .
Schmiere	NN	1834	1	gerstner_mechanik03_1834-8218-15	 	So wurden z. B. alle Liederungen einen bis drei Tage vorher erneuert, die verschiedenen Schmieren eben so einige Zeit vorher aufgestrichen, die Wasserzugänge genau regulirt, und die Messapparate zu handhaben eingeübt u. s. w. Hierauf maass man mittelst kubischer Kästen alle einzelnen Wasserzugänge und regulirte nun den Gang der Maschine dergestalt, dass alle, an verschiedenen Punkten zudringende Grundwässer weggehoben wurden.	88:97	0:429	So wurden z. B. alle Liederungen einen bis drei Tage vorher erneuert , die verschiedenen Schmieren eben so einige Zeit vorher aufgestrichen , die Wasserzugänge genau regulirt , und die Messapparate zu handhaben eingeübt u. s. w. Hierauf maass man mittelst kubischer Kästen alle einzelnen Wasserzugänge und regulirte nun den Gang der Maschine dergestalt , dass alle , an verschiedenen Punkten zudringende Grundwässer weggehoben wurden .	15	0:66	so werden z. B. alle Liedrunge eine bis drei Tag vorher erneuern , d verschieden Schmiere eben so einige Zeit vorher aufstreichen , d Wasserzugang genau regulieren , und d Meßapparat zu handhaben einüben u. s. W. hierauf messen man mittels kubisch Kasten alle einzeln Wasserzugang und reguliert nun d Gang d Maschine dergestalt , dass alle , an verschieden Punkt zudringend Grundwasser wegheben werden .	ADV VAFIN APPRART NN PIAT NN ART APPR CARD NN ADV VVPP $, ART ADJA NN ADV ADV PIAT NN ADV VVPP $, ART NN ADJD VVFIN $, KON ART NN PTKZU VVINF VVPP KON VVIMP NN PAV VVFIN PIS APPR ADJA NN PIAT ADJA NN KON ADJA ADV ART NN ART NN ADV $, KOUS PIS $, APPR ADJA NN ADJA NN VVPP VAFIN $.	So wurden z. B. alle Liedrungen einen bis drei Tage vorher erneuert , die verschiedenen Schmieren eben so einige Zeit vorher aufgestrichen , die Wasserzugänge genau reguliert , und die Messapparate zu handhaben eingeübt u. s. w. Hierauf maß man mittels kubischer Kästen alle einzelnen Wasserzugänge und regulierte nun den Gang der Maschine dergestalt , dass alle , an verschiedenen Punkten zudringende Grundwässer weggehoben wurden .
Schmiere	NN	1858	1	avelallemant_gaunerthum02_1858-1638-6	 	Sehr oft müssen sich aber die Schmiren versteckt aufstellen, namentlich wenn in der Nähe ein Militärposten steht, oder Nachtwächter und Patrouillen häufig passiren; diese versteckten Schmiren werden mit dem Kunstausdruck betuchte Schmiren bezeichnet.	30:38	0:250	Sehr oft müſſen ſich aber die Schmiren verſteckt aufſtellen , namentlich wenn in der Nähe ein Militärpoſten ſteht , oder Nachtwächter und Patrouillen häufig paſſiren ; dieſe verſteckten Schmiren werden mit dem Kunſtausdruck betuchte Schmiren bezeichnet .	6	0:37	sehr oft müssen sich aber d Schmiere verstecken aufstellen , namentlich wenn in d Nähe eine Militärposten stehen , oder Nachtwächter und Patrouille häufig passieren ; diese versteckt Schmiere werden mit d Kunstausdruck betucht Schmiere bezeichnen .	ADV ADV VMFIN PRF ADV ART NN VVPP VVINF $, ADV KOUS APPR ART NN ART NN VVFIN $, KON NN KON NN ADJD VVINF $. PDAT ADJA NN VAFIN APPR ART NN ADJA NN VVPP $.	Sehr oft müssen sich aber die Schmieren versteckt aufstellen , namentlich wenn in der Nähe ein Militärposten steht , oder Nachtwächter und Patrouillen häufig passieren ; diese versteckten Schmieren werden mit dem Kunstausdruck betuchte Schmieren bezeichnet .
Schmiere	NN	1882	1	keller_sinngedicht_1882-843-62	 	Reginen's Bildniß als phantastisch angeordneten Studienkopf, über Lebensgröße, mit theatralisch aufgebundenem Haar und einer dicken Perlenschnur darin, mit bloßem Nacken und gehüllt in einen Theatermantel von Hermelin und rothem Sammet, d. h. jener von Katzenpelz und dieser von Möbelplüsch, das Alles mit einer scheinbaren Frechheit gemalt, wie sie von gewissen Kunstjüngern mit unendlichem mühevollem Salben und Schmieren und ängstlicher Hand zuweilen erworben oder wenigstens geheuchelt wird.	414:423	0:495	Reginen's Bildniß als phantaſtiſch angeordneten Studienkopf , über Lebensgröße , mit theatraliſch aufgebundenem Haar und einer dicken Perlenſchnur darin , mit bloßem Nacken und gehüllt in einen Theatermantel von Hermelin und rothem Sammet , d. h. jener von Katzenpelz und dieſer von Möbelplüſch , das Alles mit einer ſcheinbaren Frechheit gemalt , wie ſie von gewiſſen Kunſtjüngern mit unendlichem mühevollem Salben und Schmieren und ängſtlicher Hand zuweilen erworben oder wenigſtens geheuchelt wird .	62	0:73	Reginen's Bildnis als phantastisch angeordnet Studiumkopf , über Lebensgröße , mit theatralisch aufgebinden Haar und eine dick Perlenschnur darin , mit bloß Nacken und hüllen in eine Theatermantel von Hermelin und rot Samt , d. h. jene von Katzenpelz und diese von Möbelplüsch , die alle mit eine scheinbar Frechheit malen , wie sie von gewiß Kunstjünger mit unendlich mühevoll Salbe und Schmiere und ängstlich Hand zuweilen erwerben oder wenigstens heucheln werden .	NE NN KOKOM ADJD ADJA NN $, APPR NN $, APPR ADJD ADJA NN KON ART ADJA NN PAV $, APPR ADJA NN KON VVPP APPR ART NN APPR NN KON ADJA NN $, PDS VVFIN PDS APPR NN KON PDAT APPR NN $, PRELS PIS APPR ART ADJA NN VVPP $, PWAV PPER APPR ADJA NN APPR ADJA ADJA NN KON NN KON ADJA NN ADV VVPP KON ADV VVPP VAFIN $.	Reginen's Bildnis als phantastisch angeordneten Studienkopf , über Lebensgröße , mit theatralisch aufgebundenem Haar und einer dicken Perlenschnur darin , mit bloßem Nacken und gehüllt in einen Theatermantel von Hermelin und rotem Samt , d. h. jener von Katzenpelz und dieser von Möbelplüsch , das Alles mit einer scheinbaren Frechheit gemalt , wie sie von gewissen Kunstjüngern mit unendlichem mühevollem Salben und Schmieren und ängstlicher Hand zuweilen erworben oder wenigstens geheuchelt wird .
Schmiere	NN	1885	1	urbanitzky_electricitaet_1885-6772-4	 	Auch die Oelgefäße zum Schmieren der Lager sind an diesen angebracht.	23:32	0:69	Auch die Oelgefäße zum Schmieren der Lager ſind an dieſen angebracht .	4	0:12	auch d Oelgefäße zum Schmiere d Lager sein an diese anbringen .	ADV ART NN APPRART NN ART NN VAFIN APPR PDAT VVPP $.	Auch die Oelgefäße zum Schmieren der Lager sind an diesen angebracht .
Schmiere	NN	1875	1	rosegger_waldschulmeister_1875-2036-19	 	Anstatt die Leute hier eine Wunde mit lauem Wasser und gezupften Leinen rein halten thäten, kleben sie allerlei Schmieren und Salben hinein.	112:121	0:140	Anſtatt die Leute hier eine Wunde mit lauem Waſſer und gezupften Leinen rein halten thäten , kleben ſie allerlei Schmieren und Salben hinein .	19	0:24	anstatt d Leute hier eine Wunde mit lau Wasser und gezupft Leinen rein halten tun , kleben sie allerlei Schmiere und Salbe hinein .	KOUI ART NN ADV ART NN APPR ADJA NN KON ADJA NN ADJD VVINF VVFIN $, VVINF PPER PIAT NN KON NN PTKVZ $.	Anstatt die Leute hier eine Wunde mit lauem Wasser und gezupften Leinen rein halten täten , kleben sie allerlei Schmieren und Salben hinein .
Schmiere	NN	1831	1	gerstner_mechanik01_1831-10633-26	 	Da solche Räder bei der Bewegung des Wagens auf den Achsen immer hin und her schwanken, so kann man wegen des nothwendigen Spielraumes keine flüssige Schmiere anwenden, und auch die gewöhnliche Schmiere geht sehr schnell verloren.	150:158	0:230	Da solche Räder bei der Bewegung des Wagens auf den Achsen immer hin und her schwanken , so kann man wegen des nothwendigen Spielraumes keine flüssige Schmiere anwenden , und auch die gewöhnliche Schmiere geht sehr schnell verloren .	26	0:39	da solch Rad bei d Bewegung d Wagen auf d Achse immer hin und her schwanken , so können man wegen d notwendig Spielraum keine flüssig Schmiere anwenden , und auch d gewöhnlich Schmiere gehen sehr schnell verlieren .	KOUS PIAT NN APPR ART NN ART NN APPR ART NN ADV ADV KON ADV VVINF $, ADV VMFIN PIS APPR ART ADJA NN PIAT ADJA NN VVINF $, KON ADV ART ADJA NN VVFIN ADV ADJD VVPP $.	Da solche Räder bei der Bewegung des Wagens auf den Achsen immer hin und her schwanken , so kann man wegen des notwendigen Spielraumes keine flüssige Schmiere anwenden , und auch die gewöhnliche Schmiere geht sehr schnell verloren .
Schmiere	NN	1865	1	brehm_thierleben02_1865-13004-7	 	Oft pressen sie eine kleberige, ölige Schmiere aus den Furchen, welche ihre Thränengruben vertreten.	38:46	0:100	Oft preſſen ſie eine kleberige , ölige Schmiere aus den Furchen , welche ihre Thränengruben vertreten .	7	0:17	oft pressen sie eine klebrig , ölig Schmiere aus d Furche , welche ihr Tränengrube vertreten .	ADV VVFIN PPER ART ADJA $, ADJA NN APPR ART NN $, PRELS PPOSAT NN VVPP $.	Oft pressen sie eine klebrige , ölige Schmiere aus den Furchen , welche ihre Tränengruben vertreten .
