identifier1	identifier2	annotator	judgment	comment	lemma
2532889X_1946-07-26_01_006.tcf.xml-71-13	2532889X_1948-11-04_01_149.tcf.xml-3-7	inferred	0	 	Mißklang
2532889X_1946-07-26_01_006.tcf.xml-71-13	2532889X_1958-02-05_01_028.tcf.xml-11-16	inferred	1	 	Mißklang
2532889X_1946-07-26_01_006.tcf.xml-71-13	2532889X_1961-08-16_01_120.tcf.xml-7-11	inferred	1	 	Mißklang
2532889X_1946-07-26_01_006.tcf.xml-71-13	2532889X_1964-02-01_01_127.tcf.xml-45-1	inferred	0	 	Mißklang
2532889X_1946-07-26_01_006.tcf.xml-71-13	2532889X_1964-10-04_01_105.tcf.xml-25-11	inferred	1	 	Mißklang
2532889X_1946-07-26_01_006.tcf.xml-71-13	2532889X_1965-04-26_01_156.tcf.xml-23-15	inferred	1	 	Mißklang
2532889X_1946-07-26_01_006.tcf.xml-71-13	2532889X_1966-09-02_01_023.tcf.xml-4-3	inferred	1	 	Mißklang
2532889X_1946-07-26_01_006.tcf.xml-71-13	2532889X_1970-02-12_01_061.tcf.xml-12-31	inferred	0	 	Mißklang
2532889X_1946-07-26_01_006.tcf.xml-71-13	2532889X_1972-01-08_01_052.tcf.xml-35-13	inferred	1	 	Mißklang
2532889X_1946-07-26_01_006.tcf.xml-71-13	2532889X_1981-11-14_01_331.tcf.xml-73-2	inferred	1	 	Mißklang
2532889X_1946-07-26_01_006.tcf.xml-71-13	2532889X_1982-07-03_01_255.tcf.xml-27-7	inferred	0	 	Mißklang
2532889X_1946-07-26_01_006.tcf.xml-71-13	2532889X_1987-03-24_01_052.tcf.xml-34-17	inferred	1	 	Mißklang
2532889X_1946-07-26_01_006.tcf.xml-71-13	26120215_1947_03_22_01_039.tcf.xml-23-8	inferred	1	 	Mißklang
2532889X_1946-07-26_01_006.tcf.xml-71-13	26120215_1947_09_16_01_212.tcf.xml-4-22	inferred	1	 	Mißklang
2532889X_1946-07-26_01_006.tcf.xml-71-13	26120215_1947_12_14_01_055.tcf.xml-13-28	inferred	1	 	Mißklang
2532889X_1946-07-26_01_006.tcf.xml-71-13	26120215_1950_01_26_01_006.tcf.xml-2-10	inferred	1	 	Mißklang
2532889X_1946-07-26_01_006.tcf.xml-71-13	26120215_1952_10_19_01_050.tcf.xml-118-40	inferred	1	 	Mißklang
2532889X_1946-07-26_01_006.tcf.xml-71-13	26120215_1958_12_20_01_214.tcf.xml-24-4	inferred	1	 	Mißklang
2532889X_1946-07-26_01_006.tcf.xml-71-13	26120215_1964_07_05_01_083.tcf.xml-10-6	inferred	1	 	Mißklang
2532889X_1946-07-26_01_006.tcf.xml-71-13	26120215_1966_08_12_01_264.tcf.xml-74-19	inferred	1	 	Mißklang
