lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
gas	mag_1835_554331.txt-58-8	fic_2004_49256.txt-152-8	3.0	nf_1853_747976.txt-2095-28	2.0			mag_1851_566075.txt-50-5	4.0	['mag_1851_566075.txt-50-5', 'fic_2004_49256.txt-152-8', 'nf_1853_747976.txt-2095-28']		3
gas	mag_1846_555416.txt-74-57	fic_2006_51373.txt-751-10	1.0	nf_2007_747179.txt-166-2	3.0	fic_2002_29934.txt-464-10	2.0	news_1980_734527.txt-36-24	4.0	['news_1980_734527.txt-36-24', 'nf_2007_747179.txt-166-2', 'fic_2002_29934.txt-464-10', 'fic_2006_51373.txt-751-10']		4
gas	fic_1839_7023.txt-797-19	nf_1845_747909.txt-838-60	4.0			mag_1996_427215.txt-156-1	2.0	nf_1845_747928.txt-906-7	3.0	['nf_1845_747909.txt-838-60', 'nf_1845_747928.txt-906-7', 'mag_1996_427215.txt-156-1']		3
gas	fic_1843_7074.txt-1104-9	nf_1848_747893.txt-3386-2	3.0	fic_1839_7023.txt-797-19	4.0	nf_1845_747909.txt-2477-10	1.0			['fic_1839_7023.txt-797-19', 'nf_1848_747893.txt-3386-2', 'nf_1845_747909.txt-2477-10']		3
gas	fic_1849_7192.txt-167-4	news_1980_734527.txt-36-24	4.0	nf_1853_748464.txt-606-21	3.0			mag_1996_427215.txt-156-1	2.0	['news_1980_734527.txt-36-24', 'nf_1853_748464.txt-606-21', 'mag_1996_427215.txt-156-1']		3
gas	nf_1853_747976.txt-2095-28	fic_2002_29934.txt-464-10	1.0	nf_1844_755204.txt-1034-27	3.0	mag_1835_554331.txt-58-8	2.0	nf_1845_747928.txt-906-7	4.0	['nf_1845_747928.txt-906-7', 'nf_1844_755204.txt-1034-27', 'mag_1835_554331.txt-58-8', 'fic_2002_29934.txt-464-10']		4
gas	nf_1843_752682.txt-216-4	news_2001_627694.txt-1287-11	1.0			fic_1835_5605.txt-2233-79	4.0	nf_1853_747976.txt-2095-28	3.0	['fic_1835_5605.txt-2233-79', 'nf_1853_747976.txt-2095-28', 'news_2001_627694.txt-1287-11']		3
gas	nf_1843_752682.txt-209-1			nf_1853_748464.txt-606-21	4.0	nf_1848_747893.txt-3135-42	3.0	mag_2006_397910.txt-95-18	2.0	['nf_1853_748464.txt-606-21', 'nf_1848_747893.txt-3135-42', 'mag_2006_397910.txt-95-18']		3
gas	nf_1844_755204.txt-629-14	news_2005_608686.txt-4-27	2.0	mag_1840_554766.txt-186-1	4.0	mag_1846_555416.txt-42-18	3.0	mag_2005_378206.txt-13-11	1.0	['mag_1840_554766.txt-186-1', 'mag_1846_555416.txt-42-18', 'news_2005_608686.txt-4-27', 'mag_2005_378206.txt-13-11']		4
gas	fic_1835_5605.txt-2233-79	nf_1978_773837.txt-207-30	3.0	nf_1843_752682.txt-216-4	4.0	fic_2007_33638.txt-136-9	1.0			['nf_1843_752682.txt-216-4', 'nf_1978_773837.txt-207-30', 'fic_2007_33638.txt-136-9']		3
gas	nf_1845_747928.txt-906-7	news_2006_629412.txt-15-31	2.0			fic_1969_13728.txt-103-20	3.0	mag_1981_326496.txt-9-11	4.0	['mag_1981_326496.txt-9-11', 'fic_1969_13728.txt-103-20', 'news_2006_629412.txt-15-31']		3
gas	fic_1836_7053.txt-407-9	fic_1856_3447.txt-5316-5	4.0	fic_1849_5295.txt-1061-48	2.0			mag_1992_395995.txt-193-16	3.0	['fic_1856_3447.txt-5316-5', 'mag_1992_395995.txt-193-16', 'fic_1849_5295.txt-1061-48']		3
gas	fic_1849_5295.txt-1061-48	mag_1846_555416.txt-74-57	4.0			news_1998_615340.txt-65-10	2.0	fic_1849_7192.txt-167-4	3.0	['mag_1846_555416.txt-74-57', 'fic_1849_7192.txt-167-4', 'news_1998_615340.txt-65-10']		3
gas	nf_1845_747909.txt-1197-14			mag_1969_431778.txt-69-25	3.0	fic_1989_782037.txt-136-11	1.0	nf_1848_747893.txt-3135-42	4.0	['nf_1848_747893.txt-3135-42', 'mag_1969_431778.txt-69-25', 'fic_1989_782037.txt-136-11']		3
