lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
fiction	fic_1843_7074.txt-24-28			mag_2000_408849.txt-202-26	4.0	mag_1838_554606.txt-204-32	2.0	fic_1846_557.txt-3995-25	3.0	['mag_2000_408849.txt-202-26', 'fic_1846_557.txt-3995-25', 'mag_1838_554606.txt-204-32']		3
fiction	nf_1845_771333.txt-565-18	fic_1987_10764.txt-10764-46	2.0	mag_1994_352480.txt-13-13	3.0	mag_1971_479179.txt-122-14	4.0			['mag_1971_479179.txt-122-14', 'mag_1994_352480.txt-13-13', 'fic_1987_10764.txt-10764-46']		3
fiction	fic_1853_3465.txt-2982-10	mag_1835_554358.txt-93-7	2.0	fic_1832_7054.txt-71-66	4.0	fic_1994_54031.txt-0-3	3.0			['fic_1832_7054.txt-71-66', 'fic_1994_54031.txt-0-3', 'mag_1835_554358.txt-93-7']		3
fiction	nf_1829_751465.txt-160-5	nf_1993_774078.txt-1934-42	2.0			fic_1999_28274.txt-275-9	3.0	nf_2004_746777.txt-31-29	4.0	['nf_2004_746777.txt-31-29', 'fic_1999_28274.txt-275-9', 'nf_1993_774078.txt-1934-42']		3
fiction	mag_1834_564699.txt-298-31	mag_1969_491260.txt-41-0	2.0	fic_1843_7074.txt-24-28	4.0			nf_1997_773614.txt-641-8	3.0	['fic_1843_7074.txt-24-28', 'nf_1997_773614.txt-641-8', 'mag_1969_491260.txt-41-0']		3
fiction	mag_1846_565585.txt-331-7	mag_1835_554358.txt-93-7	2.0			mag_1832_554166.txt-312-19	4.0	nf_1847_749455.txt-768-53	3.0	['mag_1832_554166.txt-312-19', 'nf_1847_749455.txt-768-53', 'mag_1835_554358.txt-93-7']		3
fiction	fic_1848_1108.txt-1047-18	news_2005_623950.txt-103-0	3.0	mag_1986_332364.txt-5-14	4.0			mag_1834_564699.txt-298-31	2.0	['mag_1986_332364.txt-5-14', 'news_2005_623950.txt-103-0', 'mag_1834_564699.txt-298-31']		3
fiction	fic_1845_7183.txt-4153-10			nf_1840_771215.txt-830-5	4.0	mag_1832_554166.txt-312-19	2.0	mag_1851_555692.txt-62-11	3.0	['nf_1840_771215.txt-830-5', 'mag_1851_555692.txt-62-11', 'mag_1832_554166.txt-312-19']		3
fiction	mag_1835_554358.txt-93-7			fic_1835_7063.txt-1363-17	4.0	mag_1846_565585.txt-331-7	2.0	fic_1843_7074.txt-24-28	3.0	['fic_1835_7063.txt-1363-17', 'fic_1843_7074.txt-24-28', 'mag_1846_565585.txt-331-7']		3
fiction	nf_1847_749455.txt-768-53	fic_2002_32251.txt-19-22	2.0	nf_2006_746343.txt-61-3	4.0	mag_1846_565585.txt-331-7	3.0			['nf_2006_746343.txt-61-3', 'mag_1846_565585.txt-331-7', 'fic_2002_32251.txt-19-22']		3
fiction	mag_1838_554606.txt-204-32	mag_1995_397372.txt-105-13	3.0	fic_1843_7074.txt-24-28	2.0	mag_1835_554358.txt-93-7	4.0			['mag_1835_554358.txt-93-7', 'mag_1995_397372.txt-105-13', 'fic_1843_7074.txt-24-28']		3
fiction	mag_1832_554166.txt-312-19			mag_1846_555387.txt-30-38	3.0	fic_1845_7183.txt-4153-10	2.0	nf_1829_751465.txt-160-5	4.0	['nf_1829_751465.txt-160-5', 'mag_1846_555387.txt-30-38', 'fic_1845_7183.txt-4153-10']		3
fiction	news_2004_661021.txt-44-32	mag_1849_565817.txt-102-103	3.0	nf_1845_771333.txt-565-18	4.0			fic_2002_32251.txt-19-22	2.0	['nf_1845_771333.txt-565-18', 'mag_1849_565817.txt-102-103', 'fic_2002_32251.txt-19-22']		3
fiction	mag_1986_332364.txt-5-14	fic_1848_1108.txt-1047-18	4.0	mag_1849_565817.txt-102-103	3.0	mag_1834_564699.txt-298-31	2.0			['fic_1848_1108.txt-1047-18', 'mag_1849_565817.txt-102-103', 'mag_1834_564699.txt-298-31']		3
fiction	fic_1994_54031.txt-0-3	fic_1853_3465.txt-2982-10	3.0			nf_2006_746343.txt-61-3	2.0	nf_2004_746778.txt-6-32	4.0	['nf_2004_746778.txt-6-32', 'fic_1853_3465.txt-2982-10', 'nf_2006_746343.txt-61-3']		3
fiction	nf_1993_774078.txt-1934-42			nf_1829_751465.txt-160-5	2.0	nf_2004_746777.txt-45-11	4.0	fic_1845_7183.txt-4153-10	3.0	['nf_2004_746777.txt-45-11', 'fic_1845_7183.txt-4153-10', 'nf_1829_751465.txt-160-5']		3
