identifier1	identifier2	annotator	judgment	comment	lemma	round
2532889X_1961-07-08_01_128.tcf.xml-1-14	lehnert_seehaefen01_1891-4737-54	annotator1	4.0	 	abbauen	3
humboldt_aequinoktial03_1859-726-26	berg_ostasien04_1873-4792-15	annotator1	2.0	 	abbauen	3
2532889X_1962-12-13_01_083.tcf.xml-9-12	gerstner_mechanik03_1834-7860-24	annotator1	2.0	 	abbauen	3
2532889X_1977-08-26_01_087.tcf.xml-25-45	2532889X_1962-12-13_01_083.tcf.xml-9-12	annotator1	4.0	 	abbauen	3
quenstedt_mineralogie_1854-14153-23	humboldt_gutachten_1838-109-17	annotator1	4.0	 	abbauen	3
2532889X_1986-12-30_01_048.tcf.xml-58-32	beck_eisen02_1895-19648-14	annotator1	2.0	 	abbauen	3
baumstark_encyclopaedie_1835-3425-29	2532889X_1959-10-10_01_117.tcf.xml-33-26	annotator1	3.0	 	abbauen	3
beck_eisen02_1895-1381-74	2532889X_1977-08-26_01_087.tcf.xml-25-45	annotator1	2.0	 	abbauen	3
baumstark_encyclopaedie_1835-3469-13	humboldt_aequinoktial03_1859-726-26	annotator1	3.0	 	abbauen	3
baumstark_encyclopaedie_1835-3469-13	beck_eisen03_1897-15223-9	annotator1	4.0	 	abbauen	3
2532889X_1973-06-30_01_194.tcf.xml-47-22	berg_ostasien04_1873-4792-15	annotator1	2.0	 	abbauen	3
humboldt_gutachten_1838-60-41	peschel_voelkerkunde_1874-3546-43	annotator1	4.0	 	abbauen	3
2532889X_1977-08-26_01_087.tcf.xml-25-45	humboldt_bogota_1853-257-34	annotator1	2.0	 	abbauen	3
2532889X_1975-02-24_01_093.tcf.xml-21-36	26120215_1970_07_23_01_183.tcf.xml-22-11	annotator1	4.0	 	abbauen	3
26120215_1981_07_08_01_073.tcf.xml-4-23	beck_eisen02_1895-8983-27	annotator1	3.0	 	abbauen	3
2532889X_1986-12-30_01_048.tcf.xml-58-32	2532889X_1969-09-07_01_200.tcf.xml-37-16	annotator1	4.0	 	abbauen	3
beck_eisen02_1895-19646-33	2532889X_1947-07-02_01_047.tcf.xml-15-13	annotator1	3.0	 	abbauen	3
2532889X_1973-04-28_01_168.tcf.xml-22-53	beck_eisen02_1895-703-21	annotator1	3.0	 	abbauen	3
beck_eisen02_1895-1381-74	2532889X_1985-04-03_01_036.tcf.xml-7-19	annotator1	2.0	 	abbauen	3
baumstark_encyclopaedie_1835-12861-16	baumstark_encyclopaedie_1835-3530-19	annotator1	3.0	 	abbauen	3
2532889X_1986-01-14_01_031.tcf.xml-60-15	26120215_1985_09_11_01_030.tcf.xml-63-27	annotator1	4.0	 	abbauen	3
ledebur_eisenhuettenkunde_1884-8934-38	2532889X_1947-07-02_01_047.tcf.xml-15-13	annotator1	3.0	 	abbauen	3
2532889X_1971-09-08_01_056.tcf.xml-14-40	quenstedt_mineralogie_1854-14158-25	annotator1	2.0	 	abbauen	3
berg_ostasien04_1873-4058-13	berg_ostasien04_1873-4792-15	annotator1	3.0	 	abbauen	3
humboldt_gutachten_1838-60-41	humboldt_aequinoktial03_1859-726-26	annotator1	3.0	 	abbauen	3
baumstark_encyclopaedie_1835-3469-13	berg_ostasien04_1873-4792-15	annotator1	3.0	 	abbauen	3
beck_eisen02_1895-1004-17	humboldt_aequinoktial02_1859-3475-27	annotator1	4.0	 	abbauen	3
2532889X_1962-12-13_01_083.tcf.xml-9-12	beck_eisen02_1895-1384-18	annotator1	2.0	 	abbauen	3
2532889X_1978-06-09_01_083.tcf.xml-2-32	26120215_1984_11_18_01_041.tcf.xml-9-21	annotator1	2.0	 	abbauen	3
ledebur_eisenhuettenkunde_1884-9090-10	berg_ostasien04_1873-4792-15	annotator1	2.0	 	abbauen	3
baumstark_encyclopaedie_1835-3361-21	quenstedt_mineralogie_1854-14153-23	annotator1	2.0	 	abbauen	3
beck_eisen01_1884-5379-8	2532889X_1959-10-10_01_117.tcf.xml-33-26	annotator1	4.0	 	abbauen	3
beck_eisen01_1884-8131-33	beck_eisen03_1897-15223-9	annotator1	4.0	 	abbauen	3
baumstark_encyclopaedie_1835-3425-45	humboldt_gutachten_1838-109-17	annotator1	3.0	 	abbauen	3
nn_maehrisches166_1893-368-17	gerstner_mechanik03_1834-7860-24	annotator1	2.0	 	abbauen	3
baumstark_encyclopaedie_1835-3477-40	humboldt_gutachten_1838-109-17	annotator1	3.0	 	abbauen	3
quenstedt_mineralogie_1854-11683-34	2532889X_1982-05-27_01_152.tcf.xml-34-7	annotator1	3.0	 	abbauen	3
beck_eisen02_1895-1004-17	peschel_voelkerkunde_1874-3546-43	annotator1	4.0	 	abbauen	3
quenstedt_mineralogie_1854-14153-23	26120215_1984_11_18_01_041.tcf.xml-9-21	annotator1	2.0	 	abbauen	3
berg_ostasien04_1873-4058-13	2532889X_1959-10-10_01_117.tcf.xml-33-26	annotator1	3.0	 	abbauen	3
beck_eisen03_1897-14128-14	humboldt_aequinoktial02_1859-3475-27	annotator1	3.0	 	abbauen	3
beck_eisen03_1897-15223-9	2532889X_1987-11-27_01_026.tcf.xml-8-26	annotator1	3.0	 	abbauen	3
26120215_1955_07_30_01_004.tcf.xml-20-38	baumstark_encyclopaedie_1835-3530-19	annotator1	2.0	 	abbauen	3
beck_eisen02_1895-1381-74	peschel_voelkerkunde_1874-3546-43	annotator1	4.0	 	abbauen	3
26120215_1955_07_30_01_004.tcf.xml-20-38	peschel_voelkerkunde_1874-3546-43	annotator1	2.0	 	abbauen	3
2532889X_1971-09-08_01_056.tcf.xml-14-40	beck_eisen02_1895-20360-26	annotator1	2.0	 	abbauen	3
beck_eisen03_1897-17058-5	humboldt_aequinoktial03_1859-726-26	annotator1	3.0	 	abbauen	3
quenstedt_mineralogie_1854-11683-34	beck_eisen02_1895-19457-11	annotator1	4.0	 	abbauen	3
beck_eisen03_1897-15224-3	26120215_1979_07_18_01_037.tcf.xml-75-26	annotator1	2.0	 	abbauen	3
2532889X_1978-06-09_01_083.tcf.xml-2-32	2532889X_1947-07-02_01_047.tcf.xml-15-13	annotator1	3.0	 	abbauen	3
2532889X_1977-01-01_01_162.tcf.xml-63-12	beck_eisen02_1895-18933-5	annotator1	2.0	 	abbauen	3
beck_eisen01_1884-5379-8	baumstark_encyclopaedie_1835-3361-21	annotator1	3.0	 	abbauen	3
quenstedt_mineralogie_1854-11683-34	beck_eisen02_1895-18933-5	annotator1	3.0	 	abbauen	3
beck_eisen03_1897-17058-5	beck_eisen02_1895-703-21	annotator1	3.0	 	abbauen	3
2532889X_1985-03-12_01_066.tcf.xml-11-12	26120215_1984_11_18_01_041.tcf.xml-9-21	annotator1	2.0	 	abbauen	3
beck_eisen03_1897-15224-3	baumstark_encyclopaedie_1835-3361-21	annotator1	3.0	 	abbauen	3
2532889X_1973-04-28_01_168.tcf.xml-22-53	2532889X_1947-07-02_01_047.tcf.xml-15-13	annotator1	2.0	 	abbauen	3
26120215_1979_07_18_01_037.tcf.xml-75-26	2532889X_1973-06-30_01_194.tcf.xml-47-22	annotator1	2.0	 	abbauen	3
2532889X_1960-06-09_01_020.tcf.xml-2-27	beck_eisen02_1895-19648-14	annotator1	2.0	 	abbauen	3
26120215_1974_02_16_01_247.tcf.xml-4-30	26120215_1979_07_18_01_037.tcf.xml-75-26	annotator1	2.0	 	abbauen	3
2532889X_1978-06-09_01_083.tcf.xml-2-32	baumstark_encyclopaedie_1835-3361-21	annotator1	2.0	 	abbauen	3
26120215_1981_07_08_01_073.tcf.xml-4-23	2532889X_1947-07-02_01_047.tcf.xml-15-13	annotator1	4.0	 	abbauen	3
beck_eisen01_1884-8131-33	beck_eisen02_1895-8983-27	annotator1	4.0	 	abbauen	3
quenstedt_mineralogie_1854-14153-23	beck_eisen02_1895-19457-11	annotator1	4.0	 	abbauen	3
26120215_1986_10_10_01_075.tcf.xml-7-19	baumstark_encyclopaedie_1835-3530-19	annotator1	2.0	 	abbauen	3
baumstark_encyclopaedie_1835-12861-16	26120215_1979_07_18_01_037.tcf.xml-75-26	annotator1	3.0	 	abbauen	3
26120215_1970_09_26_01_179.tcf.xml-10-20	berg_ostasien04_1873-4792-15	annotator1	3.0	 	abbauen	3
26120215_1966_02_09_01_027.tcf.xml-55-17	2532889X_1990-04-28_01_305.tcf.xml-4-29	annotator1	4.0	 	abbauen	3
26120215_1982_01_21_01_056.tcf.xml-8-30	baumstark_encyclopaedie_1835-3361-21	annotator1	2.0	 	abbauen	3
baumstark_encyclopaedie_1835-3510-14	gerstner_mechanik03_1834-7860-24	annotator1	2.0	 	abbauen	3
ledebur_eisenhuettenkunde_1884-9090-10	humboldt_aequinoktial03_1859-726-26	annotator1	4.0	 	abbauen	3
beck_eisen03_1897-15224-3	gerstner_mechanik03_1834-7860-24	annotator1	2.0	 	abbauen	3
beck_eisen03_1897-15224-3	gerstner_mechanik03_1834-8939-9	annotator1	4.0	 	abbauen	3
beck_eisen02_1895-18933-5	beck_eisen02_1895-1384-18	annotator1	3.0	 	abbauen	3
26120215_1979_07_18_01_037.tcf.xml-75-26	gerstner_mechanik03_1834-7860-24	annotator1	2.0	 	abbauen	3
baumstark_encyclopaedie_1835-3425-45	beck_eisen02_1895-703-21	annotator1	3.0	 	abbauen	3
beck_eisen02_1895-1381-74	26120215_1988_11_23_01_007.tcf.xml-33-33	annotator1	2.0	 	abbauen	3
2532889X_1973-04-28_01_168.tcf.xml-22-53	baumstark_encyclopaedie_1835-3530-19	annotator1	4.0	 	abbauen	3
2532889X_1978-07-21_01_096.tcf.xml-14-30	beck_eisen03_1897-15223-9	annotator6	3.0	 	abbauen	3
humboldt_bogota_1853-228-17	humboldt_aequinoktial03_1859-726-26	annotator6	4.0	 	abbauen	3
beck_eisen02_1895-18933-5	2532889X_1959-10-10_01_117.tcf.xml-33-26	annotator6	4.0	 	abbauen	3
baumstark_encyclopaedie_1835-3477-6	beck_eisen02_1895-703-21	annotator6	3.0	 	abbauen	3
beck_eisen01_1884-8131-33	beck_eisen02_1895-8983-27	annotator6	4.0	 	abbauen	3
2532889X_1985-03-12_01_066.tcf.xml-11-12	26120215_1984_11_18_01_041.tcf.xml-9-21	annotator6	2.0	 	abbauen	3
26120215_1970_09_26_01_179.tcf.xml-10-20	humboldt_aequinoktial02_1859-3475-27	annotator6	2.0	 	abbauen	3
26120215_1989_07_26_01_156.tcf.xml-20-11	baumstark_encyclopaedie_1835-3361-21	annotator6	2.0	 	abbauen	3
26120215_1970_07_23_01_183.tcf.xml-22-11	beck_eisen02_1895-1381-74	annotator6	2.0	 	abbauen	3
2532889X_1971-09-08_01_056.tcf.xml-14-40	baumstark_encyclopaedie_1835-3398-12	annotator6	2.0	 	abbauen	3
2532889X_1947-07-02_01_047.tcf.xml-15-13	gerstner_mechanik03_1834-8939-9	annotator6	3.0	 	abbauen	3
26120215_1955_07_30_01_004.tcf.xml-20-38	2532889X_1986-12-30_01_048.tcf.xml-58-32	annotator6	3.0	 	abbauen	3
berg_ostasien04_1873-4792-15	26120215_1984_11_18_01_041.tcf.xml-9-21	annotator6	4.0	 	abbauen	3
26120215_1970_07_23_01_183.tcf.xml-22-11	26120215_1984_11_18_01_041.tcf.xml-9-21	annotator6	2.0	 	abbauen	3
2532889X_1969-09-07_01_200.tcf.xml-37-16	2532889X_1947-07-02_01_047.tcf.xml-15-13	annotator6	2.0	 	abbauen	3
2532889X_1973-06-30_01_194.tcf.xml-47-22	beck_eisen02_1895-703-21	annotator6	4.0	 	abbauen	3
26120215_1984_11_18_01_041.tcf.xml-9-21	26120215_1990_07_28_01_810.tcf.xml-15-12	annotator6	3.0	 	abbauen	3
lehnert_seehaefen01_1891-4737-54	2532889X_1987-11-27_01_026.tcf.xml-8-26	annotator6	2.0	 	abbauen	3
26120215_1955_07_30_01_004.tcf.xml-20-38	baumstark_encyclopaedie_1835-3530-19	annotator6	2.0	 	abbauen	3
beck_eisen03_1897-15224-3	baumstark_encyclopaedie_1835-3361-21	annotator6	4.0	 	abbauen	3
26120215_1981_03_25_01_020.tcf.xml-9-1	2532889X_1986-12-30_01_048.tcf.xml-58-32	annotator6	3.0	 	abbauen	3
2532889X_1968-01-24_01_048.tcf.xml-4-12	beck_eisen02_1895-8983-27	annotator6	2.0	 	abbauen	3
2532889X_1986-01-14_01_031.tcf.xml-60-15	26120215_1985_09_11_01_030.tcf.xml-63-27	annotator6	4.0	 	abbauen	3
2532889X_1971-09-08_01_056.tcf.xml-14-40	beck_eisen03_1897-17045-9	annotator6	2.0	 	abbauen	3
humboldt_gutachten_1838-60-41	peschel_voelkerkunde_1874-3546-43	annotator6	4.0	 	abbauen	3
beck_eisen02_1895-1009-4	2532889X_1959-10-10_01_117.tcf.xml-33-26	annotator6	4.0	 	abbauen	3
beck_eisen01_1884-8131-33	2532889X_1947-07-02_01_047.tcf.xml-15-13	annotator6	4.0	 	abbauen	3
26120215_1979_07_18_01_037.tcf.xml-75-26	humboldt_aequinoktial03_1859-726-26	annotator6	2.0	 	abbauen	3
baumstark_encyclopaedie_1835-12861-16	2532889X_1947-07-02_01_047.tcf.xml-15-13	annotator6	4.0	 	abbauen	3
2532889X_1963-03-05_01_016.tcf.xml-3-16	beck_eisen02_1895-8983-27	annotator6	2.0	 	abbauen	3
baumstark_encyclopaedie_1835-3425-45	humboldt_gutachten_1838-109-17	annotator6	2.0	 	abbauen	3
baumstark_encyclopaedie_1835-3477-40	26120215_1984_11_18_01_041.tcf.xml-9-21	annotator6	4.0	 	abbauen	3
beck_eisen02_1895-13263-28	beck_eisen02_1895-19457-11	annotator6	4.0	 	abbauen	3
beck_eisen01_1884-1203-25	beck_eisen02_1895-703-21	annotator6	4.0	 	abbauen	3
2532889X_1966-08-06_01_046.tcf.xml-13-5	humboldt_bogota_1853-257-34	annotator6	2.0	 	abbauen	3
quenstedt_mineralogie_1854-14153-23	26120215_1979_07_18_01_037.tcf.xml-75-26	annotator6	3.0	 	abbauen	3
beck_eisen03_1897-17058-5	beck_eisen02_1895-703-21	annotator6	4.0	 	abbauen	3
gerstner_mechanik03_1834-8939-9	2532889X_1959-10-10_01_117.tcf.xml-33-26	annotator6	4.0	 	abbauen	3
26120215_1970_09_26_01_179.tcf.xml-10-20	berg_ostasien04_1873-4792-15	annotator6	4.0	 	abbauen	3
beck_eisen03_1897-14128-14	2532889X_1982-05-27_01_152.tcf.xml-34-7	annotator6	4.0	 	abbauen	3
baumstark_encyclopaedie_1835-3469-13	berg_ostasien04_1873-4792-15	annotator6	2.0	 	abbauen	3
baumstark_encyclopaedie_1835-12861-16	lehnert_seehaefen01_1891-4737-54	annotator6	4.0	 	abbauen	3
peschel_voelkerkunde_1874-3546-36	2532889X_1959-10-10_01_117.tcf.xml-33-26	annotator6	4.0	 	abbauen	3
beck_eisen02_1895-1381-74	26120215_1988_11_23_01_007.tcf.xml-33-33	annotator6	3.0	 	abbauen	3
2532889X_1971-09-08_01_056.tcf.xml-14-40	2532889X_1968-01-24_01_048.tcf.xml-4-12	annotator6	3.0	 	abbauen	3
2532889X_1964-09-02_01_107.tcf.xml-102-33	26120215_1986_12_31_01_041.tcf.xml-4-25	annotator6	4.0	 	abbauen	3
2532889X_1972-11-27_01_085.tcf.xml-12-5	2532889X_1947-07-02_01_047.tcf.xml-15-13	annotator6	2.0	 	abbauen	3
26120215_1955_07_30_01_004.tcf.xml-20-38	peschel_voelkerkunde_1874-3546-43	annotator6	2.0	 	abbauen	3
2532889X_1988-03-25_01_045.tcf.xml-6-23	humboldt_bogota_1853-257-34	annotator6	3.0	 	abbauen	3
