lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
Kubikmeter	2532889X_1952-03-18_01_078.tcf.xml-18-9	clausius_waermetheorie_1856-439-22	Abtransportiert wurden ' 51250 ganze Steine -und 1978 Kubikmeter Schutt.	Daraus erhält man, wenn man das Volumen eines Kilogramm Dampf bei 100 ° im Maximum der Dichte nach Gay-Lussac zu 1,696 Cubikmeter annimmt, und bedenkt, dass der dabei stattfindende Druck von einer Atmosphäre 10333 Kilogrm. auf ein Quadratmeter beträgt, und man für irgend eine andere Temperatur t das Volumen und den Druck unter Zugrundelegung derselben Einheiten mit v und p bezeichnet, die Gleichung: (28) [Formel]. Hierin braucht man nur noch für p die aus der Spannungsreihe bekannten Werthe zu setzen, um für jede Temperatur das unter jenen Voraussetzungen richtige Volumen berechnen zu können.	54:64	119:129	3.5
Kubikmeter	2532889X_1953-11-12_01_042.tcf.xml-27-11	2532889X_1966-02-05_01_082.tcf.xml-14-15	Bei Anwendung dieses Ladegerätes in zwei Schienten beträgt die Produktivität 60 Kubikmeter in der Stunde.	Das Kombinat hat sich das Ziel gesetzt bis zum 20. Jahrestag der SED fünf Millionen Kubikmeter Stadtgas, 1000 Tonnen Benzin, 200 Tonnen Schwefel, 26300 Tonnen Rohkohle, 200 Tonnen Teer und 500 Tonnen Heizöl zusätzlich zu gewinnen.	80:90	84:94	4.0
Kubikmeter	2532889X_1955-12-14_01_011.tcf.xml-14-5	2532889X_1989-12-30_01_152.tcf.xml-11-24	Er beschloß, täglich zwei Kubikmeter Kohle mehr auf der Grundlage technisch begründeter Arbeitsnormen zu fördern. Seinem Aufruf folgten bisher 29 Häuer aus seiner Abteilung.	Wie war die Luftbelastunaf 24-Stunden-Mittelwert der Schwefeldioxidbelastung für Berlin, herausgegeben von der Bezirkshygieneinspektion am Freitag, 15 Uhr: Mitte 0,23 Milligramm pro Kubikmeter, Prenzlauer Berg 0,29, Friede richshain 0,19, Marzahn 0,11, Köpenick 0,17.	26:36	182:192	3.5
Kubikmeter	2532889X_1956-07-21_01_026.tcf.xml-28-6	schliemann_trojanische_1874-1801-4	Seit Freitagmorgen gibt die Eder-Talsperre 150 Kubikmeter Wasser pro Sekunde ab.	Die Fortschaffung dieses 5760 Kubikmeter enthaltenden, ungeheuern Blocks von hartem Schutt und Steinen wird dadurch sehr erleichtert, dass derselbe an meinen grossen vorjährigen Einschnitt stösst, welcher vom nördlichen Bergabhang bis zum Thurm ganz horizontal geht und sich daher ausgezeichnet zur Anwendung der „man-carts“ eignet.	47:57	30:40	4.0
Kubikmeter	2532889X_1957-05-10_01_023.tcf.xml-8-16	2532889X_1966-02-05_01_082.tcf.xml-14-15	Eine weitere Mehrbelastung der Bewohner von Okriftel tritt durch Erhöhung des Wasserpreises um fünf Pfennig je Kubikmeter ein.	Das Kombinat hat sich das Ziel gesetzt bis zum 20. Jahrestag der SED fünf Millionen Kubikmeter Stadtgas, 1000 Tonnen Benzin, 200 Tonnen Schwefel, 26300 Tonnen Rohkohle, 200 Tonnen Teer und 500 Tonnen Heizöl zusätzlich zu gewinnen.	111:121	84:94	4.0
Kubikmeter	2532889X_1957-05-10_01_023.tcf.xml-8-16	26120215_1980_12_31_01_017.tcf.xml-12-5	Eine weitere Mehrbelastung der Bewohner von Okriftel tritt durch Erhöhung des Wasserpreises um fünf Pfennig je Kubikmeter ein.	Eine Leistungssteigerung um 8 000 Kubikmeter täglich soll mit nur fünfzig Prozent der Investitionen erreicht werden, die für ein neues Wasserwerk dieser Größenordnung erforderlich wären.	111:121	34:44	3.5
Kubikmeter	2532889X_1957-05-10_01_023.tcf.xml-8-16	gercke_torpedowaffe_1898-76-16	Eine weitere Mehrbelastung der Bewohner von Okriftel tritt durch Erhöhung des Wasserpreises um fünf Pfennig je Kubikmeter ein.	Auf dem Boden jedes Bootes befand sich auf einem Fundamente aus Mauerwerk eine Sprengkammer von 1 Kubikmeter Inhalt.	111:121	98:108	4.0
Kubikmeter	2532889X_1957-05-10_01_023.tcf.xml-8-16	gerstner_mechanik03_1834-5454-19	Eine weitere Mehrbelastung der Bewohner von Okriftel tritt durch Erhöhung des Wasserpreises um fünf Pfennig je Kubikmeter ein.	Die Mailänder Oncia gibt bei Annahme der angeführten Abmessungsresultate in einem Tage 24. 60. 2,18555 = 3147,19 Kubikmeter = 99641 N. Oe. Kubikfuss = 461,3 N. Oe.	111:121	113:123	3.0
Kubikmeter	2532889X_1957-05-10_01_023.tcf.xml-8-16	humboldt_kosmos01_1845-1377-39	Eine weitere Mehrbelastung der Bewohner von Okriftel tritt durch Erhöhung des Wasserpreises um fünf Pfennig je Kubikmeter ein.	Betrachten wir die Erde als einen wirklichen Magnet, so sind wir genöthigt, nach dem Ausspruch des tiefsinnigen Gründers einer allgemeinen Theorie des Erdmagnetismus, Friedrich Gauß, durchschnittlich wenigstens jedem Theile der Erde, der ein Achtel Cubikmeter, d. i. 3 7/10 Cubikfuß, groß ist, eine eben so starke Magnetisirung beizulegen, als ein einpfündiger Magnetstab enthält.	111:121	249:259	3.5
Kubikmeter	2532889X_1957-05-10_01_023.tcf.xml-8-16	krafft_landwirthschaft01_1875-5033-23	Eine weitere Mehrbelastung der Bewohner von Okriftel tritt durch Erhöhung des Wasserpreises um fünf Pfennig je Kubikmeter ein.	Zur Aufbewahrung des Grünfutters benöthigt man für 100 Kilogr. Klee, Mischling rc. 0.75—1 Cubikmeter, für eine Fuhre zu 800 Kilogr. 6—8 Cubikmeter.	111:121	136:146	4.0
