lemma	identifier1	identifier2	judgment	cosine_similarity
attack	fic_1824_7211.txt-3045-8	fic_1856_2470.txt-7252-13	4.0	0.8509951233863831
attack	fic_1824_7211.txt-3045-8	mag_1828_553929.txt-364-34	3.0	0.5249142050743103
attack	fic_1824_7211.txt-3045-8	mag_1854_555935.txt-131-30	4.0	0.5620293617248535
attack	fic_1824_7212.txt-597-16	fic_1844_3928.txt-3118-8	4.0	0.908896803855896
attack	fic_1824_7212.txt-597-16	mag_1828_553929.txt-364-34	2.6666666666666665	0.5443912744522095
attack	fic_1827_2832.txt-890-31	news_1967_726451.txt-39-2	4.0	0.873310923576355
attack	fic_1827_2832.txt-890-31	news_1991_612479.txt-40-20	3.0	0.6904240846633911
attack	fic_1827_9759.txt-3739-20	fic_1838_7086.txt-2732-33	3.5	0.44859468936920166
attack	fic_1827_9759.txt-3739-20	fic_1982_780070.txt-3698-5	2.5	0.7929717898368835
attack	fic_1827_9759.txt-3739-20	mag_1828_553929.txt-364-34	4.0	0.9192696213722229
attack	fic_1831_7210.txt-1507-8	fic_1856_2470.txt-7252-13	4.0	0.7698996067047119
attack	fic_1831_7210.txt-1507-8	fic_1968_781997.txt-4233-2	4.0	0.8408639430999756
attack	fic_1831_7210.txt-1507-8	mag_1828_553929.txt-364-34	3.5	0.650153398513794
attack	fic_1831_7210.txt-1507-8	news_1989_669714.txt-32-21	4.0	0.8315565586090088
attack	fic_1833_7239.txt-1694-15	fic_1838_7086.txt-2732-33	4.0	0.9301296472549438
attack	fic_1833_7239.txt-1694-15	mag_1846_555400.txt-243-7	3.0	0.5476489067077637
attack	fic_1833_7239.txt-1694-15	news_1991_612479.txt-40-20	3.0	0.8070473074913025
attack	fic_1833_7239.txt-1694-15	news_2001_661977.txt-17-13	2.0	0.5555925369262695
attack	fic_1833_7239.txt-1694-15	nf_1840_768793.txt-1045-33	4.0	0.8857582807540894
attack	fic_1833_7239.txt-1694-15	nf_1845_747928.txt-826-66	2.0	0.8607233762741089
attack	fic_1834_2652.txt-2410-34	mag_1828_553929.txt-364-34	2.5	0.8164585828781128
attack	fic_1834_2652.txt-2410-34	news_1982_671107.txt-19-96	4.0	0.6815999150276184
attack	fic_1834_2652.txt-5065-36	mag_1828_553929.txt-364-34	2.75	0.5438624620437622
attack	fic_1834_2652.txt-5065-36	mag_1845_555245.txt-299-1	3.0	0.555493950843811
attack	fic_1835_7016.txt-2023-9	fic_1838_7086.txt-2732-33	3.75	0.6768785715103149
attack	fic_1835_7016.txt-2023-9	mag_1846_555400.txt-243-7	3.0	0.4535290002822876
attack	fic_1835_7016.txt-2023-9	news_1991_612479.txt-40-20	3.0	0.6985645294189453
attack	fic_1835_7134.txt-2235-79	mag_1828_553929.txt-364-34	2.6	0.5564783811569214
attack	fic_1835_7134.txt-2235-79	mag_1845_555245.txt-299-1	3.3333333333333335	0.5630574226379395
attack	fic_1835_7142.txt-807-41	mag_1828_553929.txt-364-34	3.0	0.5177981853485107
