lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
artikulieren	VVFIN	1966	2	2532889X_1966-07-09_01_121.tcf.xml-18-14	 	Menschen erscheinen reduziert auf simple Ansprüche und Überlegungen, selbst Ihr Widerspruch ist kaum artikuliert:	101:112	0:113	Menschen erscheinen reduziert auf simple Ansprüche und Überlegungen , selbst Ihr Widerspruch ist kaum artikuliert :	14	0:16	Mensch erscheinen reduzieren auf simpel Anspruch und Überlegung , selbst ihr Widerspruch sein kaum artikulieren :	NN VVFIN VVPP APPR ADJA NN KON NN $, ADV PPOSAT NN VAFIN ADV VVFIN $.	
artikulieren	VVFIN	1978	2	2532889X_1978-12-20_01_052.tcf.xml-23-1	 	Mitunter artikuliert sich in ihnen auch etwas von einer Bereitschaft zur aktiven Verteidigung des	9:20	0:97	Mitunter artikuliert sich in ihnen auch etwas von einer Bereitschaft zur aktiven Verteidigung des	1	0:14	mitunter artikulieren sich in sie auch etwas von eine Bereitschaft zur aktiv Verteidigung d	ADV VVFIN PRF APPR PPER ADV ADV APPR ART NN APPRART ADJA NN ART	
artikulieren	VVFIN	1980	2	2532889X_1980-03-05_01_060.tcf.xml-18-5	 	Autoren und Regisseure dieser Werke artikulieren hier etwas von der bedrückenden Last, der sich Millionen Menschen im kapitalistischen Allitag ausgesetzt sehen, der sozialen Unsicherheit, der Sorge um das Morgen.	36:48	0:212	Autoren und Regisseure dieser Werke artikulieren hier etwas von der bedrückenden Last , der sich Millionen Menschen im kapitalistischen Allitag ausgesetzt sehen , der sozialen Unsicherheit , der Sorge um das Morgen .	5	0:33	Autor und Regisseur diese Werk artikulieren hier etwas von d bedrückend Last , die sich Million Mensch im kapitalistisch Allitag aussetzen sehen , d sozial Unsicherheit , d Sorge um d Morgen .	NN KON NN PDAT NN VVFIN ADV ADV APPR ART ADJA NN $, PRELS PRF NN NN APPRART ADJA NN VVPP VVINF $, ART ADJA NN $, ART NN APPR ART NN $.	
artikulieren	VVFIN	1981	2	2532889X_1981-03-21_01_043.tcf.xml-24-31	 	Als Wegbereiter der sowjetischen Reportagefotografie erklären sie sich in einer den sozialen Inhalt der neuen Epoche erschließenden Fotografie, die sich in nüchterner wie fotoästhetisch verdichteter Bildsprache zum Zwecke öffentlicher Mitteilung artikuliert.	246:257	0:258	Als Wegbereiter der sowjetischen Reportagefotografie erklären sie sich in einer den sozialen Inhalt der neuen Epoche erschließenden Fotografie , die sich in nüchterner wie fotoästhetisch verdichteter Bildsprache zum Zwecke öffentlicher Mitteilung artikuliert .	31	0:33	als Wegbereiter d sowjetisch Reportagefotografie erklären sie sich in eine d sozial Inhalt d neu Epoche erschließend Fotografie , die sich in nüchtern wie fotoästhetisch verdichtet Bildsprache zum Zwecke öffentlich Mitteilung artikulieren .	KOUS NN ART ADJA NN VVFIN PPER PRF APPR ART ART ADJA NN ART ADJA NN ADJA NN $, PRELS PRF APPR ADJD KOKOM ADJD ADJA NN APPRART NN ADJA NN VVFIN $.	
artikulieren	VVFIN	1981	2	2532889X_1981-06-09_01_110.tcf.xml-14-1	 	Hier artikulierte sich ein zeitgemäßer, sozialistischer deutscher Patriotismus, Keime eines neuen sozialistischen deutschen nationalen Selbstbewußtseins begannen sich zu regen.	5:17	0:176	Hier artikulierte sich ein zeitgemäßer , sozialistischer deutscher Patriotismus , Keime eines neuen sozialistischen deutschen nationalen Selbstbewußtseins begannen sich zu regen .	1	0:22	hier artikulieren sich eine zeitgemäß , sozialistisch deutsch Patriotismus , Keim eine neu sozialistisch deutsch national Selbstbewußtsein beginnen sich zu rege .	ADV VVFIN PRF ART ADJA $, ADJA ADJA NN $, NN ART ADJA ADJA ADJA ADJA NN VVFIN PRF APPR ADJA $.	
artikulieren	VVFIN	1982	2	2532889X_1982-11-11_01_053.tcf.xml-14-7	 	Das Geschieh ts-Verständnis der jungen Generation artikuliert sich unter anderem in der Darstellung von Stätten der Revolution.	50:61	0:127	Das Geschieh ts- Verständnis der jungen Generation artikuliert sich unter anderem in der Darstellung von Stätten der Revolution .	7	0:19	die geschehen ts- Verständnis d jung Generation artikulieren sich unter ander in d Darstellung von Stätte d Revolution .	PDS VVFIN TRUNC NN ART ADJA NN VVFIN PRF APPR PIS APPR ART NN APPR NN ART NN $.	
artikulieren	VVFIN	1985	2	2532889X_1985-12-07_01_368.tcf.xml-21-8	 	Wosnessenski weiß sich in diesem gesellschaftlichen Bezug und artikuliert seine politische Verantwortung als Dichter.	62:73	0:117	Wosnessenski weiß sich in diesem gesellschaftlichen Bezug und artikuliert seine politische Verantwortung als Dichter .	8	0:15	Wosnessenski wissen sich in diese gesellschaftlich Bezug und artikulieren seine politisch Verantwortung als Dichter .	NE VVFIN PRF APPR PDAT ADJA NN KON VVFIN PPOSAT ADJA NN KOKOM NN $.	
artikulieren	VVPP	1987	2	2532889X_1987-01-26_01_063.tcf.xml-22-22	 	So bekamen wir ein kurzes mystisches Kultspiel zu -sehen, in dem lendengeschürzte Gestalten in Trance schreitend, kriechend, gestikulierend und artikulierend ein weihevolles Ritual zelebrieren.	144:157	0:193	So bekamen wir ein kurzes mystisches Kultspiel zu -sehen , in dem lendengeschürzte Gestalten in Trance schreitend , kriechend , gestikulierend und artikulierend ein weihevolles Ritual zelebrieren .	22	0:28	so bekommen wir eine kurz mystisch Kultspiel zu -sehen , in d lendengeschürzt Gestalt in Trance schreiten , kriechen , gestikulieren und artikulieren eine weihevoll Ritual zelebrieren .	ADV VVFIN PPER ART ADJA ADJA NN APPR TRUNC $, APPR ART ADJA NN APPR NN VVPP $, VVPP $, VVPP KON VVPP ART ADJA NN VVINF $.	
artikulieren	VVFIN	1987	2	2532889X_1987-08-21_01_113.tcf.xml-26-18	 	Der Wille des Volkes und die Frage.Warum können wir nicht alle miteinander in Frieden leben? ' artikuliert sich heute mit größerem Nachdruck, und die Politiker reagieren darauf mit größerer Bereitschaft.	95:106	0:203	Der Wille des Volkes und die Frage .Warum können wir nicht alle miteinander in Frieden leben ? ' artikuliert sich heute mit größerem Nachdruck , und die Politiker reagieren darauf mit größerer Bereitschaft .	18	0:34	d Wille d Volk und d Frage .warum können wir nicht alle miteinander in Frieden leben ? ' artikulieren sich heute mit groß Nachdruck , und d Politiker reagieren darauf mit groß Bereitschaft .	ART NN ART NN KON ART NN NE VMFIN PPER PTKNEG PIS ADV APPR NN VVINF $. $( VVFIN PRF ADV APPR ADJA NN $, KON ART NN VVFIN PAV APPR ADJA NN $.	
artikulieren	VVFIN	1987	2	2532889X_1987-09-18_01_055.tcf.xml-5-5	 	Und zugleich wird der Wunsch artikuliert „daß die Kritiker Spaß verstehen".	29:40	0:75	Und zugleich wird der Wunsch artikuliert „ daß die Kritiker Spaß verstehen " .	5	0:14	und zugleich werden d Wunsch artikulieren „ daß d Kritiker Spaß verstehen " .	KON ADV VAFIN ART NN VVFIN $( KOUS ART NN NN VVINF $( $.	
artikulieren	VVINF	1988	2	2532889X_1988-08-20_01_267.tcf.xml-12-30	 	Ob Huhn gekocht, gegrillt, paniert, weiße Bohnen mit Speck, Powideldatschkerln oder Moussaka... man wundert sich, was für verrückte Ideen sich hier zu artikulieren wußten.	151:163	0:171	Ob Huhn gekocht , gegrillt , paniert , weiße Bohnen mit Speck , Powideldatschkerln oder Moussaka . . . man wundert sich , was für verrückte Ideen sich hier zu artikulieren wußten .	30	0:33	ob Huhn kochen , gegrillt , panieren , weiß Bohne mit Speck , Powideldatschkerln oder Moussaka . . . man wundern sich , was für verrückt Idee sich hier zu artikulieren wissen .	KOUS NN VVPP $, ADJD $, VVFIN $, ADJA NN APPR NN $, NE KON NN $. $. $. PIS VVFIN PRF $, PRELS APPR ADJA NN PRF ADV PTKZU VVINF VVFIN $.	
artikulieren	VVINF	1990	2	2532889X_1990-01-17_01_045.tcf.xml-71-15	 	Notwendig ist aber darüber hinaus, die spezifischen Fraueninteressen ' und -bedürfnisse öffentlich wirksamer zu artikulieren, sie in den politischen Entscheidungsprozeß einzubringen und einzufordern.	112:124	0:199	Notwendig ist aber darüber hinaus , die spezifischen Fraueninteressen ' und -bedürfnisse öffentlich wirksamer zu artikulieren , sie in den politischen Entscheidungsprozeß einzubringen und einzufordern .	15	0:26	notwendig sein aber darüber hinaus , d spezifisch Fraueninteresse ' und -Bedürfnisse öffentlich wirksam zu artikulieren , sie in d politisch Entscheidungsprozeß einbringen und einfordern .	ADJD VAFIN ADV PAV PTKVZ $, ART ADJA NN $( KON NN ADJD ADJD PTKZU VVINF $, PPER APPR ART ADJA NN VVIZU KON VVIZU $.	
artikulieren	VVINF	1990	2	2532889X_1990-06-05_01_087.tcf.xml-33-37	 	Dieser Beschluß richte sich „kaum verhüllt gegen einen Teil der linken Opposition, die vielleicht den sozialen Protest, der sich spätestens im Herbst, gegen die jetzige Form der Vereinigung Deutschlands erheben wird, mit artikulieren wird.	221:233	0:239	Dieser Beschluß richte sich „ kaum verhüllt gegen einen Teil der linken Opposition , die vielleicht den sozialen Protest , der sich spätestens im Herbst , gegen die jetzige Form der Vereinigung Deutschlands erheben wird , mit artikulieren wird .	37	0:40	diese Beschluß richten sich „ kaum verhüllt gegen eine Teil d link Opposition , die vielleicht d sozial Protest , die sich spätestens im Herbst , gegen d jetzig Form d Vereinigung Deutschland erheben werden , mit artikulieren werden .	PDAT NN VVFIN PRF $( ADV ADJD APPR ART NN ART ADJA NN $, PRELS ADV ART ADJA NN $, PRELS PRF ADV APPRART NN $, APPR ART ADJA NN ART NN NE VVINF VAFIN $, APPR VVINF VAFIN $.	
artikulieren	VVFIN	1972	2	26120215_1972_08_21_01_116.tcf.xml-14-27	 	1956. in Melbourne — ■ Australien, war ich schon nicht mehr überrascht, höchstens von der Zusatzplage, wegen des zigtausendkilometerweiten Funkwellenweqes die Reportagen besonders artikuliert und langsam zu sprechen.	180:191	0:216	1956 . in Melbourne — ■ Australien , war ich schon nicht mehr überrascht , höchstens von der Zusatzplage , wegen des zigtausendkilometerweiten Funkwellenweqes die Reportagen besonders artikuliert und langsam zu sprechen .	27	0:33	1956 . in Melbourne — ■ Australien , sein ich schon nicht mehr überraschen , höchstens von d Zusatzplage , wegen d zigtausendkilometerweit Funkwellenweqes d Reportage besonders artikulieren und langsam zu sprechen .	CARD $. APPR NE $( $( NE $, VAFIN PPER ADV PTKNEG ADV VVPP $, ADV APPR ART NN $, APPR ART ADJA NN ART NN ADV VVFIN KON ADJD PTKZU VVINF $.	
artikulieren	VVFIN	1973	2	26120215_1973_04_10_01_136.tcf.xml-13-5	 	Schon im Frühwerk des Künstlers artikulierte sich ein soziales und politisches Gewissen.	32:44	0:88	Schon im Frühwerk des Künstlers artikulierte sich ein soziales und politisches Gewissen .	5	0:13	schon im Frühwerk d Künstler artikulieren sich eine sozial und politisch Gewissen .	ADV APPRART NN ART NN VVFIN PRF ART ADJA KON ADJA NN $.	
artikulieren	VVINF	1973	2	26120215_1973_08_31_01_082.tcf.xml-4-24	 	Das im Minsker Funktechnischen Institut entwickelte Gerät vermag aus einem Bestand von 64 In seinem „Gedächtnis" gespeicherten Lauten jeden beliebigen Satz zu artikulieren.	159:171	0:172	Das im Minsker Funktechnischen Institut entwickelte Gerät vermag aus einem Bestand von 64 In seinem „ Gedächtnis " gespeicherten Lauten jeden beliebigen Satz zu artikulieren .	24	0:26	die im Minsker funktechnisch Institut entwickelt Gerät vermögen aus eine Bestand von 64 in seine „ Gedächtnis " gespeichert Laute jede beliebig Satz zu artikulieren .	PDS APPRART NN ADJA NN ADJA NN VVFIN APPR ART NN APPR CARD APPR PPOSAT $( NN $( ADJA NN PIAT ADJA NN PTKZU VVINF $.	
artikulieren	VVFIN	1976	2	26120215_1976_12_07_01_188.tcf.xml-12-11	 	Im „Unbedeutenden" von 1846 ist dieser Gegensatz am deutlichsten artikuliert.	65:76	0:77	Im „ Unbedeutenden " von 1846 ist dieser Gegensatz am deutlichsten artikuliert .	11	0:13	im „ Unbedeutende " von 1846 sein diese Gegensatz am deutlich artikulieren .	APPRART $( NN $( APPR CARD VAFIN PDAT NN APPRART ADJA VVFIN $.	
artikulieren	VVINF	1982	2	26120215_1982_11_29_01_097.tcf.xml-47-17	 	Löwenthals Stimme war schwach und heiser, so als fehle ihm die Kraft, sich hörbarer zu artikulieren.	87:99	0:100	Löwenthals Stimme war schwach und heiser , so als fehle ihm die Kraft , sich hörbarer zu artikulieren .	17	0:19	Löwenthal Stimme sein schwach und heiser , so als fehlen er d Kraft , sich hörbar zu artikulieren .	NE NN VAFIN ADJD KON ADJD $, ADV KOKOM VVFIN PPER ART NN $, PRF ADJD PTKZU VVINF $.	
