lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
arm	study_usage_1	study_usage_2	and taking a knife from her pocket, she opened a vein in her little arm,	And those who remained at home had been heavily taxed to pay for the arms, ammunition; fortifications, and all the other endless expenses of a war.	68:71	69:73	1.0
arm	study_usage_1	study_usage_3	and taking a knife from her pocket, she opened a vein in her little arm,	and though he saw her within reach of his arm, yet the light of her eyes seemed as far off	68:71	42:45	4.0
arm	study_usage_1	study_usage_4	and taking a knife from her pocket, she opened a vein in her little arm,	overlooking an arm of the sea which, at low tide, was a black and stinking mud-flat	68:71	15:18	2.0
arm	study_usage_1	study_usage_5	and taking a knife from her pocket, she opened a vein in her little arm,	twelve miles of coastline lies in the southwest on the Gulf of Aqaba, an arm of the Red Sea.	68:71	73:76	2.0
arm	study_usage_1	study_usage_6	and taking a knife from her pocket, she opened a vein in her little arm,	,when the disembodied arm of the Statue of Liberty jets spectacularly out of the sandy beach.	68:71	22:25	3.0
part	fic_1966_10474.txt-9144-22	fic_2003_30073.txt-45-6	Port Smith was rife with citizens ' committees, study groups, and action teams composed of people who had not taken part in civic affairs before.	Sometimes that knowledge seemed the worst part of my loss.	116:120	42:46	2.0
part	fic_1966_10474.txt-9144-22	fic_2009_36422.txt-25-3	Port Smith was rife with citizens ' committees, study groups, and action teams composed of people who had not taken part in civic affairs before.	In several other parts of the world people are being denied their life, or stolen from their life to be sold.	116:120	17:22	2.0
part	fic_1966_10474.txt-9144-22	mag_1852_504512.txt-37-17	Port Smith was rife with citizens ' committees, study groups, and action teams composed of people who had not taken part in civic affairs before.	no means impossible that the theory may have been originated by several persons independently during the last part of the sixteenth and the early part of the seventeenth centuries.	116:120	110:114	1.0
part	fic_1966_10474.txt-9144-22	mag_1971_491323.txt-31-34	Port Smith was rife with citizens ' committees, study groups, and action teams composed of people who had not taken part in civic affairs before.	The Americans do not think that man and woman have either the duty or the right to per -- form the same offices, but they show an equal regard for both their respective parts; and.	116:120	169:174	3.0
part	fic_1966_10474.txt-9144-22	mag_1991_422282.txt-25-21	Port Smith was rife with citizens ' committees, study groups, and action teams composed of people who had not taken part in civic affairs before.	When a Washington, D.C., woman complained in the mid-1970s of retaliation by a supervisor after she refused to take part in an " after-hours affair, " a federal judge ruled that the 1964 Civil Rights Act, which bars sex discrimination, did not apply.	116:120	116:120	4.0
