lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
Gesichtsausdruck	2532889X_1949-02-10_01_041.tcf.xml-31-12	2532889X_1950-10-28_01_052.tcf.xml-29-31	Erst jetzt erkannte Artjuchim Pawel — seine Hand sank herab, sein Gesichtsausdruck verlor das Amtliche, aber sein Blick blieb fragend am Kasten haften.	Den Großbauern aus dem Werk Grau dosit" (Verborgenes Getreide), der der Ablieferung nicht nachkommt, war in erster Linie nicht am Umfang seines Bauches, sondern Im Gesichtsausdruck, in seiner Geste und Haltung zu erkennen, wurde als moralischer, nicht als physischer Typ gezeichnet.	66:82	164:180	4.0
Gesichtsausdruck	2532889X_1950-04-19_01_043.tcf.xml-11-25	beyer_poetik02_1883-12554-51	Er iährt anscheinend immer nur zur Regierung, ins Dorf wohl nur, wenn ein mißvergnügter Ex-Bürgermeister, dem man das reaktionäre Stinktier schon am Gesichtsausdruck anmerkt, ihm Flöhe über eine anerkannt fortschrittliche Bürgermeisterin Ins Ohr setzt.	Jhm stand der Messentext als solcher fest, er modelte nicht daran, dachte überhaupt nicht, hier Musik zu machen, sondern er gab sich eine Vorstellung des Jnhalts des heiligen Vorganges und schuf sich daraus ein Bild in Tönen, wie ein Fra Bartolomeo und Tizian sich eines in Gesichtsausdruck und Farbe schufen &c.“	149:165	274:290	3.0
Gesichtsausdruck	2532889X_1950-10-28_01_052.tcf.xml-29-31	2532889X_1951-06-13_01_045.tcf.xml-4-8	Den Großbauern aus dem Werk Grau dosit" (Verborgenes Getreide), der der Ablieferung nicht nachkommt, war in erster Linie nicht am Umfang seines Bauches, sondern Im Gesichtsausdruck, in seiner Geste und Haltung zu erkennen, wurde als moralischer, nicht als physischer Typ gezeichnet.	Er ist lebhaft und hat einen so sprechenden Gesichtsausdruck daß man auch, ohne seine Sprache zu kennen, weiß, wovon er spricht; Seit 1940 ist Ho Schuang-djing in	164:180	44:60	4.0
Gesichtsausdruck	2532889X_1950-10-28_01_052.tcf.xml-29-31	2532889X_1977-09-28_01_061.tcf.xml-42-23	Den Großbauern aus dem Werk Grau dosit" (Verborgenes Getreide), der der Ablieferung nicht nachkommt, war in erster Linie nicht am Umfang seines Bauches, sondern Im Gesichtsausdruck, in seiner Geste und Haltung zu erkennen, wurde als moralischer, nicht als physischer Typ gezeichnet.	„Selbstbildnis mit Modell (1974) oder „Melancholie" (1976), beide mit dem Kontrast zwischen dem fast elegischen Gesichtsausdruck des sitzenden Modells und dem Porträt auf der Staffelei, gehören zur permanenten Selbstüberprüfung des Künstlers.	164:180	112:128	3.0
Gesichtsausdruck	2532889X_1950-10-28_01_052.tcf.xml-29-31	26120215_1952_08_20_01_120.tcf.xml-16-10	Den Großbauern aus dem Werk Grau dosit" (Verborgenes Getreide), der der Ablieferung nicht nachkommt, war in erster Linie nicht am Umfang seines Bauches, sondern Im Gesichtsausdruck, in seiner Geste und Haltung zu erkennen, wurde als moralischer, nicht als physischer Typ gezeichnet.	Nichts war gleichzeitig so traurig und so mutig wie der Gesichtsausdruck dieser drei armen Tiere.	164:180	56:72	3.0
Gesichtsausdruck	2532889X_1950-10-28_01_052.tcf.xml-29-31	26120215_1962_08_05_01_426.tcf.xml-30-11	Den Großbauern aus dem Werk Grau dosit" (Verborgenes Getreide), der der Ablieferung nicht nachkommt, war in erster Linie nicht am Umfang seines Bauches, sondern Im Gesichtsausdruck, in seiner Geste und Haltung zu erkennen, wurde als moralischer, nicht als physischer Typ gezeichnet.	Dieser Zmatlik taumelte erst eine Weile hin und her mit dem Gesichtsausdruck eines gerade erwachten Menschen, und dann sah er den Kommissar aus hellblauen, vergißmeinnichtfarbigen Augen an.	164:180	60:76	4.0
Gesichtsausdruck	2532889X_1950-10-28_01_052.tcf.xml-29-31	26120215_1971_07_11_01_082.tcf.xml-5-15	Den Großbauern aus dem Werk Grau dosit" (Verborgenes Getreide), der der Ablieferung nicht nachkommt, war in erster Linie nicht am Umfang seines Bauches, sondern Im Gesichtsausdruck, in seiner Geste und Haltung zu erkennen, wurde als moralischer, nicht als physischer Typ gezeichnet.	Mir ist aufgefallen, daß die Wetterpropheten vor der Kamera nie jenen glücklichen und zufriedenen Gesichtsausdruck zeigen wie etwa die Programmansagcrinnen, die selbst bei Ankündigung der schrecklichsten Kriminalfälle keine Störung ihres seelischen Gleichgewichtes oder gar ihre Abscheu vor ülem in Aussicht stehenden VerbrecSen erkennen lassen.	164:180	98:114	3.0
Gesichtsausdruck	2532889X_1950-10-28_01_052.tcf.xml-29-31	fontane_brandenburg02_1863-6606-7	Den Großbauern aus dem Werk Grau dosit" (Verborgenes Getreide), der der Ablieferung nicht nachkommt, war in erster Linie nicht am Umfang seines Bauches, sondern Im Gesichtsausdruck, in seiner Geste und Haltung zu erkennen, wurde als moralischer, nicht als physischer Typ gezeichnet.	Sehr gutes Bild, lebensvoll; der Gesichtsausdruck freundlich, klug, fest und schlicht.	164:180	33:49	4.0
Gesichtsausdruck	2532889X_1950-10-28_01_052.tcf.xml-29-31	fontane_briest_1896-4719-27	Den Großbauern aus dem Werk Grau dosit" (Verborgenes Getreide), der der Ablieferung nicht nachkommt, war in erster Linie nicht am Umfang seines Bauches, sondern Im Gesichtsausdruck, in seiner Geste und Haltung zu erkennen, wurde als moralischer, nicht als physischer Typ gezeichnet.	Geheimrätin Zwicker, ihre Reisegefährtin, habe freilich die Frage nach dem Kurgemäßen dieser Zuthat aufgeworfen und sich aufs entschiedenste dagegen ausgesprochen, alles natürlich mit einem Gesichtsausdrucke, der so ziemlich das Gegenteil versichert habe; die Zwicker sei reizend, etwas frei, wahrscheinlich sogar mit einer Vergangenheit, aber höchst amüsant, und man könne viel, sehr viel von ihr lernen; nie habe sie sich, trotz ihrer fünfundzwanzig, so als Kind gefühlt, wie nach der Bekanntschaft mit dieser Dame.	164:180	190:207	4.0
Gesichtsausdruck	2532889X_1950-10-28_01_052.tcf.xml-29-31	vogt_briefe02_1851-5900-49	Den Großbauern aus dem Werk Grau dosit" (Verborgenes Getreide), der der Ablieferung nicht nachkommt, war in erster Linie nicht am Umfang seines Bauches, sondern Im Gesichtsausdruck, in seiner Geste und Haltung zu erkennen, wurde als moralischer, nicht als physischer Typ gezeichnet.	Die eigentlichen Malayen sind eher klein als groß, rein gelb wie Mahagoniholz, die Stirn hoch, die Augen eng geschlitzt, dunkel, die Nase dreieckig, die Nasenflügel sehr breit, der Bart gering; oft stehen die äußeren Augenwinkel etwas nach oben, wodurch der Gesichtsausdruck demjenigen der Chinesen ähnelt.	164:180	258:274	3.0
Gesichtsausdruck	2532889X_1951-06-13_01_045.tcf.xml-4-8	parthey_jugenderinnerungen01_1871-3358-13	Er ist lebhaft und hat einen so sprechenden Gesichtsausdruck daß man auch, ohne seine Sprache zu kennen, weiß, wovon er spricht; Seit 1940 ist Ho Schuang-djing in	Eine gedrungene, breitschultrige Gestalt von elastischen, kräftigen Bewegungen und sehr freundlichem Gesichtsausdrucke.	44:60	101:118	4.0
Gesichtsausdruck	2532889X_1953-09-08_01_035.tcf.xml-24-8	2532889X_1989-12-29_01_052.tcf.xml-2-16	Dann fragte er" sie mit einem groben Gesichtsausdruck:	Als unser außerordentlicher Parteitag in der Berliner Dynamo-Halle beriet, standen sympathische junge Leute mit ernstem Gesichtsausdruck am Portal.	37:53	120:136	4.0
Gesichtsausdruck	2532889X_1953-10-15_01_040.tcf.xml-56-9	2532889X_1964-07-28_01_070.tcf.xml-114-1	Der auflachende Schupo, ein ostpreußischer Bauernjunge mit idiotischem Gesichtsausdruck, schüttelte Fritz mit seinen großen Fäusten wie einen nassen Sack und drückte ihn erneut unter den spritzenden Wasserhahn.	Sein Gesichtsausdruck ist merkwürdig verklärt und ruhig, die Augen stehen groß und glänzend in dem mageren, gelblichbraunen Gesicht.	71:87	5:21	4.0
