lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
prop	fic_1823_7247.txt-95-5	mag_2001_415828.txt-39-5	1.0	mag_1992_423112.txt-49-15	2.0	fic_1989_780083.txt-3220-23	4.0			['fic_1989_780083.txt-3220-23', 'mag_1992_423112.txt-49-15', 'mag_2001_415828.txt-39-5']		3
prop	nf_1815_747659.txt-290-15	nf_1853_747976.txt-766-13	1.0	mag_1999_407567.txt-213-23	3.0	fic_1828_7245.txt-2986-54	4.0	mag_1992_423112.txt-49-15	2.0	['fic_1828_7245.txt-2986-54', 'mag_1999_407567.txt-213-23', 'mag_1992_423112.txt-49-15', 'nf_1853_747976.txt-766-13']		4
prop	fic_1846_7284.txt-2196-19	fic_1972_23885.txt-275-0	4.0	nf_1995_773714.txt-414-2	2.0			mag_1999_407567.txt-213-23	3.0	['fic_1972_23885.txt-275-0', 'mag_1999_407567.txt-213-23', 'nf_1995_773714.txt-414-2']		3
prop	nf_1834_747938.txt-958-29	mag_1999_407567.txt-162-3	2.0	fic_1993_1040092.txt-4839-8	3.0	news_1999_653855.txt-50-16	1.0	nf_1827_748059.txt-405-4	4.0	['nf_1827_748059.txt-405-4', 'fic_1993_1040092.txt-4839-8', 'mag_1999_407567.txt-162-3', 'news_1999_653855.txt-50-16']		4
prop	fic_1836_7052.txt-4150-12	fic_2007_51980.txt-175-11	1.0			mag_1846_565511.txt-313-15	4.0	mag_2001_415828.txt-39-5	2.0	['mag_1846_565511.txt-313-15', 'mag_2001_415828.txt-39-5', 'fic_2007_51980.txt-175-11']		3
prop	fic_1827_7269.txt-1407-29	mag_2001_415721.txt-12-0	1.0	fic_1821_8837.txt-339-72	3.0	nf_1852_771569.txt-1387-44	4.0	fic_2004_49120.txt-502-13	2.0	['nf_1852_771569.txt-1387-44', 'fic_1821_8837.txt-339-72', 'fic_2004_49120.txt-502-13', 'mag_2001_415721.txt-12-0']		4
prop	nf_1853_747976.txt-766-13	fic_1965_780079.txt-2652-12	3.0	mag_1976_431910.txt-23-21	1.0	mag_1970_251882.txt-11-14	2.0	nf_1829_747740.txt-1267-59	4.0	['nf_1829_747740.txt-1267-59', 'fic_1965_780079.txt-2652-12', 'mag_1970_251882.txt-11-14', 'mag_1976_431910.txt-23-21']		4
prop	nf_1817_747573.txt-1921-24			news_2000_627632.txt-352-3	2.0	mag_2001_415828.txt-39-5	1.0	fic_1849_9494.txt-2989-18	4.0	['fic_1849_9494.txt-2989-18', 'news_2000_627632.txt-352-3', 'mag_2001_415828.txt-39-5']		3
prop	mag_1845_565423.txt-235-23	mag_1999_407567.txt-213-23	2.0	nf_1834_747938.txt-225-8	4.0	fic_1990_13890.txt-97-5	1.0			['nf_1834_747938.txt-225-8', 'mag_1999_407567.txt-213-23', 'fic_1990_13890.txt-97-5']		3
prop	mag_1855_566633.txt-100-33	mag_2001_415828.txt-39-5	1.0	news_2000_627632.txt-352-3	2.0	fic_1860_8033.txt-1670-1	4.0	news_1991_649955.txt-51-15	3.0	['fic_1860_8033.txt-1670-1', 'news_1991_649955.txt-51-15', 'news_2000_627632.txt-352-3', 'mag_2001_415828.txt-39-5']		4
prop	nf_1849_748137.txt-1459-7	fic_1981_10674.txt-3797-34	3.0	fic_1972_23885.txt-275-0	2.0	fic_1854_9230.txt-3826-23	1.0	fic_1831_8376.txt-4413-52	4.0	['fic_1831_8376.txt-4413-52', 'fic_1981_10674.txt-3797-34', 'fic_1972_23885.txt-275-0', 'fic_1854_9230.txt-3826-23']		4
prop	mag_1860_506638.txt-138-42	mag_1995_414330.txt-68-28	1.0	mag_1992_423112.txt-49-15	2.0	nf_1832_758144.txt-2561-24	3.0	fic_1831_8376.txt-4413-52	4.0	['fic_1831_8376.txt-4413-52', 'nf_1832_758144.txt-2561-24', 'mag_1992_423112.txt-49-15', 'mag_1995_414330.txt-68-28']		4
prop	fic_1854_9230.txt-3826-23	mag_2005_418336.txt-5-25	2.0	fic_1841_8303.txt-251-4	3.0	fic_1821_8837.txt-339-72	1.0	fic_1860_8033.txt-1670-1	4.0	['fic_1860_8033.txt-1670-1', 'fic_1841_8303.txt-251-4', 'mag_2005_418336.txt-5-25', 'fic_1821_8837.txt-339-72']		4
prop	fic_1843_7208.txt-12595-1	fic_1960_16323.txt-2867-10	1.0	nf_1852_771569.txt-1387-44	4.0	mag_1845_565423.txt-235-23	2.0	fic_1821_8837.txt-339-72	3.0	['nf_1852_771569.txt-1387-44', 'fic_1821_8837.txt-339-72', 'mag_1845_565423.txt-235-23', 'fic_1960_16323.txt-2867-10']		4
prop	fic_1831_8376.txt-4413-52	mag_1846_565511.txt-313-15	3.0	news_1991_654850.txt-50-13	2.0	news_1999_653855.txt-50-16	1.0	fic_1836_7052.txt-4150-12	4.0	['fic_1836_7052.txt-4150-12', 'mag_1846_565511.txt-313-15', 'news_1991_654850.txt-50-13', 'news_1999_653855.txt-50-16']		4
prop	fic_1845_7170.txt-1407-14	fic_1989_780083.txt-3220-23	4.0			fic_1980_10672.txt-2568-7	1.0	mag_1970_251882.txt-11-14	2.0	['fic_1989_780083.txt-3220-23', 'mag_1970_251882.txt-11-14', 'fic_1980_10672.txt-2568-7']		3
prop	mag_1852_526381.txt-100-2	fic_1966_12053.txt-74-2	3.0	mag_2001_415828.txt-39-5	1.0			mag_1845_587497.txt-301-16	4.0	['mag_1845_587497.txt-301-16', 'fic_1966_12053.txt-74-2', 'mag_2001_415828.txt-39-5']		3
prop	fic_1821_8837.txt-339-72	fic_1831_8376.txt-4413-52	3.0	mag_1974_491462.txt-214-8	4.0	fic_1831_8376.txt-2883-3	2.0	mag_1982_298040.txt-5-21	1.0	['mag_1974_491462.txt-214-8', 'fic_1831_8376.txt-4413-52', 'fic_1831_8376.txt-2883-3', 'mag_1982_298040.txt-5-21']		4
prop	nf_1832_758144.txt-2561-24	mag_1998_390828.txt-234-12	2.0	fic_1847_1094.txt-3380-5	3.0	mag_2002_398686.txt-12-27	1.0	mag_1978_318523.txt-5-12	4.0	['mag_1978_318523.txt-5-12', 'fic_1847_1094.txt-3380-5', 'mag_1998_390828.txt-234-12', 'mag_2002_398686.txt-12-27']		4
