reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
fic_1823_7247.txt-95-5	mag_2001_415828.txt-39-5	0.7482266426086426	mag_1992_423112.txt-49-15	0.6465864181518555	fic_1989_780083.txt-3220-23	0.6652137637138367	missing_usage	0.0	['mag_2001_415828.txt-39-5', 'fic_1989_780083.txt-3220-23', 'mag_1992_423112.txt-49-15']	['fic_1989_780083.txt-3220-23', 'mag_1992_423112.txt-49-15', 'mag_2001_415828.txt-39-5']
nf_1815_747659.txt-290-15	nf_1853_747976.txt-766-13	0.854501485824585	mag_1999_407567.txt-213-23	0.8374176621437073	fic_1828_7245.txt-2986-54	0.8045440912246704	mag_1992_423112.txt-49-15	0.5271251797676086	['nf_1853_747976.txt-766-13', 'mag_1999_407567.txt-213-23', 'fic_1828_7245.txt-2986-54', 'mag_1992_423112.txt-49-15']	['fic_1828_7245.txt-2986-54', 'mag_1999_407567.txt-213-23', 'mag_1992_423112.txt-49-15', 'nf_1853_747976.txt-766-13']
fic_1846_7284.txt-2196-19	fic_1972_23885.txt-275-0	0.43107303977012634	nf_1995_773714.txt-414-2	0.38814154267311096	missing_usage	0.4500594735145569	mag_1999_407567.txt-213-23	0.0	['fic_1972_23885.txt-275-0', 'nf_1995_773714.txt-414-2', 'mag_1999_407567.txt-213-23']	['fic_1972_23885.txt-275-0', 'mag_1999_407567.txt-213-23', 'nf_1995_773714.txt-414-2']
nf_1834_747938.txt-958-29	mag_1999_407567.txt-162-3	0.3194845914840698	fic_1993_1040092.txt-4839-8	0.510135293006897	news_1999_653855.txt-50-16	0.6309959292411804	nf_1827_748059.txt-405-4	0.8405660390853882	['nf_1827_748059.txt-405-4', 'news_1999_653855.txt-50-16', 'fic_1993_1040092.txt-4839-8', 'mag_1999_407567.txt-162-3']	['nf_1827_748059.txt-405-4', 'fic_1993_1040092.txt-4839-8', 'mag_1999_407567.txt-162-3', 'news_1999_653855.txt-50-16']
fic_1836_7052.txt-4150-12	fic_2007_51980.txt-175-11	0.7291994094848633	missing_usage	0.8318966031074524	mag_1846_565511.txt-313-15	0.6148813962936401	mag_2001_415828.txt-39-5	0.0	['fic_2007_51980.txt-175-11', 'mag_1846_565511.txt-313-15', 'mag_2001_415828.txt-39-5']	['mag_1846_565511.txt-313-15', 'mag_2001_415828.txt-39-5', 'fic_2007_51980.txt-175-11']
fic_1827_7269.txt-1407-29	mag_2001_415721.txt-12-0	0.5125264525413513	fic_1821_8837.txt-339-72	0.5836420059204102	nf_1852_771569.txt-1387-44	0.7828668355941772	fic_2004_49120.txt-502-13	0.5714093446731567	['nf_1852_771569.txt-1387-44', 'fic_1821_8837.txt-339-72', 'fic_2004_49120.txt-502-13', 'mag_2001_415721.txt-12-0']	['nf_1852_771569.txt-1387-44', 'fic_1821_8837.txt-339-72', 'fic_2004_49120.txt-502-13', 'mag_2001_415721.txt-12-0']
nf_1853_747976.txt-766-13	fic_1965_780079.txt-2652-12	0.42822688817977905	mag_1976_431910.txt-23-21	0.38746803998947144	mag_1970_251882.txt-11-14	0.4767049551010132	nf_1829_747740.txt-1267-59	0.48270249366760254	['nf_1829_747740.txt-1267-59', 'mag_1970_251882.txt-11-14', 'fic_1965_780079.txt-2652-12', 'mag_1976_431910.txt-23-21']	['nf_1829_747740.txt-1267-59', 'fic_1965_780079.txt-2652-12', 'mag_1970_251882.txt-11-14', 'mag_1976_431910.txt-23-21']
nf_1817_747573.txt-1921-24	missing_usage	0.45775535702705383	news_2000_627632.txt-352-3	0.44177377223968506	mag_2001_415828.txt-39-5	0.5545167922973633	fic_1849_9494.txt-2989-18	0.0	['mag_2001_415828.txt-39-5', 'news_2000_627632.txt-352-3', 'fic_1849_9494.txt-2989-18']	['fic_1849_9494.txt-2989-18', 'news_2000_627632.txt-352-3', 'mag_2001_415828.txt-39-5']
mag_1845_565423.txt-235-23	mag_1999_407567.txt-213-23	0.850116491317749	nf_1834_747938.txt-225-8	0.2948669195175171	fic_1990_13890.txt-97-5	0.556064784526825	missing_usage	0.0	['mag_1999_407567.txt-213-23', 'fic_1990_13890.txt-97-5', 'nf_1834_747938.txt-225-8']	['nf_1834_747938.txt-225-8', 'mag_1999_407567.txt-213-23', 'fic_1990_13890.txt-97-5']
mag_1855_566633.txt-100-33	mag_2001_415828.txt-39-5	0.8007839918136597	news_2000_627632.txt-352-3	0.6899774074554443	fic_1860_8033.txt-1670-1	0.5205860137939453	news_1991_649955.txt-51-15	0.5755210518836975	['mag_2001_415828.txt-39-5', 'news_2000_627632.txt-352-3', 'news_1991_649955.txt-51-15', 'fic_1860_8033.txt-1670-1']	['fic_1860_8033.txt-1670-1', 'news_1991_649955.txt-51-15', 'news_2000_627632.txt-352-3', 'mag_2001_415828.txt-39-5']
