reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
fic_1820_7562.txt-525-2	fic_1976_10612.txt-3153-12	0.5867300033569336	fic_1964_10452.txt-922-18	0.9270012378692627	mag_2001_407931.txt-27-9	0.49944746494293213	missing_usage	0.0	['fic_1964_10452.txt-922-18', 'fic_1976_10612.txt-3153-12', 'mag_2001_407931.txt-27-9']	['fic_1964_10452.txt-922-18', 'mag_2001_407931.txt-27-9', 'fic_1976_10612.txt-3153-12']
fic_1824_7278.txt-1568-20	fic_1856_7698.txt-529-9	0.4273833632469177	fic_1852_69.txt-5987-9	0.5840065479278564	missing_usage	0.42067843675613403	fic_1997_54603.txt-36-13	0.0	['fic_1852_69.txt-5987-9', 'fic_1856_7698.txt-529-9', 'fic_1997_54603.txt-36-13']	['fic_1856_7698.txt-529-9', 'fic_1852_69.txt-5987-9', 'fic_1997_54603.txt-36-13']
fic_1848_7193.txt-10121-1	fic_1848_7193.txt-10971-18	0.6371135711669922	fic_1824_7278.txt-1568-20	0.6294100284576416	fic_1835_7339.txt-1086-45	0.6814317107200623	missing_usage	0.0	['fic_1835_7339.txt-1086-45', 'fic_1848_7193.txt-10971-18', 'fic_1824_7278.txt-1568-20']	['fic_1848_7193.txt-10971-18', 'fic_1835_7339.txt-1086-45', 'fic_1824_7278.txt-1568-20']
fic_1840_7057.txt-4202-0	fic_1849_7333.txt-787-43	0.4612240791320801	fic_1812_8987.txt-1407-11	0.6005462408065796	missing_usage	0.5475411415100098	fic_2007_34216.txt-23-23	0.0	['fic_1812_8987.txt-1407-11', 'fic_1849_7333.txt-787-43', 'fic_2007_34216.txt-23-23']	['fic_1812_8987.txt-1407-11', 'fic_2007_34216.txt-23-23', 'fic_1849_7333.txt-787-43']
fic_1860_2807.txt-2886-19	mag_1963_244008.txt-14-2	0.43104201555252075	missing_usage	0.647518515586853	fic_1845_7162.txt-1020-51	0.43030834197998047	fic_2009_36395.txt-19-14	0.0	['mag_1963_244008.txt-14-2', 'fic_1845_7162.txt-1020-51', 'fic_2009_36395.txt-19-14']	['fic_1845_7162.txt-1020-51', 'mag_1963_244008.txt-14-2', 'fic_2009_36395.txt-19-14']
fic_1860_9188.txt-1406-18	fic_1849_7333.txt-787-43	0.25457268953323364	fic_1854_9193.txt-6819-5	0.9065508842468262	mag_1960_204866.txt-23-12	0.3481350541114807	fic_1835_7272.txt-1369-10	0.8287274837493896	['fic_1854_9193.txt-6819-5', 'fic_1835_7272.txt-1369-10', 'mag_1960_204866.txt-23-12', 'fic_1849_7333.txt-787-43']	['fic_1854_9193.txt-6819-5', 'fic_1835_7272.txt-1369-10', 'fic_1849_7333.txt-787-43', 'mag_1960_204866.txt-23-12']
fic_1843_7208.txt-7858-16	fic_1984_14568.txt-1281-14	0.808772623538971	fic_2009_36555.txt-338-10	0.9594731330871582	fic_1992_40270.txt-88-18	0.6049720048904419	fic_1817_8785.txt-165-25	0.6290914416313171	['fic_2009_36555.txt-338-10', 'fic_1984_14568.txt-1281-14', 'fic_1817_8785.txt-165-25', 'fic_1992_40270.txt-88-18']	['fic_1984_14568.txt-1281-14', 'fic_2009_36555.txt-338-10', 'fic_1992_40270.txt-88-18', 'fic_1817_8785.txt-165-25']
fic_1855_9098.txt-2073-8	fic_1849_7230.txt-2460-19	0.7623544335365295	fic_1835_7272.txt-1369-10	0.8502305746078491	fic_1848_7154.txt-1881-30	0.4612952768802643	missing_usage	0.0	['fic_1835_7272.txt-1369-10', 'fic_1849_7230.txt-2460-19', 'fic_1848_7154.txt-1881-30']	['fic_1849_7230.txt-2460-19', 'fic_1835_7272.txt-1369-10', 'fic_1848_7154.txt-1881-30']
fic_1835_7339.txt-1086-45	mag_2007_387965.txt-24-10	0.6521559953689575	mag_1990_388655.txt-38-20	0.43625885248184204	missing_usage	0.6244240999221802	mag_2005_422872.txt-32-7	0.0	['mag_2007_387965.txt-24-10', 'mag_1990_388655.txt-38-20', 'mag_2005_422872.txt-32-7']	['mag_1990_388655.txt-38-20', 'mag_2007_387965.txt-24-10', 'mag_2005_422872.txt-32-7']
fic_1853_3465.txt-426-13	news_1977_733054.txt-45-14	0.5760351419448853	fic_1978_10634.txt-6656-6	0.6227221488952637	missing_usage	0.6486564874649048	fic_1846_8891.txt-2192-12	0.0	['fic_1978_10634.txt-6656-6', 'news_1977_733054.txt-45-14', 'fic_1846_8891.txt-2192-12']	['fic_1846_8891.txt-2192-12', 'fic_1978_10634.txt-6656-6', 'news_1977_733054.txt-45-14']
fic_1827_8772.txt-128-25	missing_usage	0.9184397459030151	news_1994_606820.txt-64-12	0.29969561100006104	fic_1849_7333.txt-787-43	0.2977665066719055	mag_1980_494008.txt-84-36	0.0	['news_1994_606820.txt-64-12', 'fic_1849_7333.txt-787-43', 'mag_1980_494008.txt-84-36']	['news_1994_606820.txt-64-12', 'fic_1849_7333.txt-787-43', 'mag_1980_494008.txt-84-36']
fic_1849_7230.txt-2460-19	fic_2006_51259.txt-1869-16	0.6821726560592651	fic_2007_34216.txt-23-23	0.7591623067855835	missing_usage	0.6222347021102905	fic_1860_2807.txt-2886-19	0.0	['fic_2007_34216.txt-23-23', 'fic_2006_51259.txt-1869-16', 'fic_1860_2807.txt-2886-19']	['fic_2006_51259.txt-1869-16', 'fic_2007_34216.txt-23-23', 'fic_1860_2807.txt-2886-19']
nf_1855_748018.txt-1729-11	fic_2009_36395.txt-19-14	0.5572446584701538	fic_1857_9075.txt-1980-10	0.8801143169403076	missing_usage	0.8856703042984009	fic_1843_7208.txt-7858-16	0.0	['fic_1857_9075.txt-1980-10', 'fic_2009_36395.txt-19-14', 'fic_1843_7208.txt-7858-16']	['fic_1857_9075.txt-1980-10', 'fic_1843_7208.txt-7858-16', 'fic_2009_36395.txt-19-14']
fic_1842_7206.txt-4992-65	mag_1963_244008.txt-14-2	0.6364628076553345	fic_1849_7333.txt-787-43	0.6187924146652222	missing_usage	0.6782083511352539	fic_1845_7162.txt-1020-51	0.0	['mag_1963_244008.txt-14-2', 'fic_1849_7333.txt-787-43', 'fic_1845_7162.txt-1020-51']	['fic_1845_7162.txt-1020-51', 'mag_1963_244008.txt-14-2', 'fic_1849_7333.txt-787-43']
fic_1845_7183.txt-2743-8	fic_1853_9158.txt-662-54	0.5487284660339355	fic_1849_7333.txt-787-43	0.3694968819618225	missing_usage	0.7615721225738525	fic_1961_10411.txt-7836-20	0.0	['fic_1853_9158.txt-662-54', 'fic_1849_7333.txt-787-43', 'fic_1961_10411.txt-7836-20']	['fic_1961_10411.txt-7836-20', 'fic_1853_9158.txt-662-54', 'fic_1849_7333.txt-787-43']
fic_1848_7341.txt-2550-10	fic_2008_36192.txt-52-7	0.7137892842292786	mag_2005_377098.txt-17-9	0.7563940286636353	missing_usage	0.7533365488052368	fic_1835_7339.txt-1086-45	0.0	['mag_2005_377098.txt-17-9', 'fic_2008_36192.txt-52-7', 'fic_1835_7339.txt-1086-45']	['fic_1835_7339.txt-1086-45', 'mag_2005_377098.txt-17-9', 'fic_2008_36192.txt-52-7']
