reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
fic_1854_8328.txt-1016-3	fic_1983_10709.txt-343-8	0.9094088077545166	mag_2004_412399.txt-58-6	0.9069626331329346	mag_1996_65462.txt-65-39	0.9400484561920166	missing_usage	0.0	['mag_1996_65462.txt-65-39', 'fic_1983_10709.txt-343-8', 'mag_2004_412399.txt-58-6']	['mag_2004_412399.txt-58-6', 'mag_1996_65462.txt-65-39', 'fic_1983_10709.txt-343-8']
nf_1837_757476.txt-2144-13	fic_2001_31316.txt-50-1	0.8804100751876831	mag_2004_413914.txt-8-10	0.9194803237915039	mag_1996_65462.txt-65-39	0.8585509061813354	missing_usage	0.0	['mag_2004_413914.txt-8-10', 'fic_2001_31316.txt-50-1', 'mag_1996_65462.txt-65-39']	['mag_2004_413914.txt-8-10', 'mag_1996_65462.txt-65-39', 'fic_2001_31316.txt-50-1']
nf_1853_748464.txt-1055-15	mag_1996_65462.txt-65-39	0.9089584350585938	fic_1987_780057.txt-4-23	0.9421106576919556	nf_1962_774336.txt-1678-7	0.9458290338516235	missing_usage	0.0	['nf_1962_774336.txt-1678-7', 'fic_1987_780057.txt-4-23', 'mag_1996_65462.txt-65-39']	['fic_1987_780057.txt-4-23', 'nf_1962_774336.txt-1678-7', 'mag_1996_65462.txt-65-39']
mag_1849_525380.txt-118-33	mag_2001_416328.txt-35-6	0.9007582664489746	missing_usage	0.9217727184295654	mag_1853_555823.txt-95-26	0.888171911239624	mag_1966_217503.txt-11-21	0.0	['mag_2001_416328.txt-35-6', 'mag_1853_555823.txt-95-26', 'mag_1966_217503.txt-11-21']	['mag_1853_555823.txt-95-26', 'mag_1966_217503.txt-11-21', 'mag_2001_416328.txt-35-6']
nf_1844_747892.txt-594-56	mag_1994_399546.txt-22-13	0.9294544458389282	news_1997_610552.txt-116-41	0.9766963720321655	fic_2001_31316.txt-50-1	0.8988772630691528	missing_usage	0.0	['news_1997_610552.txt-116-41', 'mag_1994_399546.txt-22-13', 'fic_2001_31316.txt-50-1']	['news_1997_610552.txt-116-41', 'fic_2001_31316.txt-50-1', 'mag_1994_399546.txt-22-13']
nf_1830_754783.txt-1737-11	missing_usage	0.9512945413589478	fic_1971_10546.txt-2465-10	0.8295308351516724	fic_2006_28577.txt-54-7	0.8660874366760254	mag_1996_65462.txt-65-39	0.0	['fic_2006_28577.txt-54-7', 'fic_1971_10546.txt-2465-10', 'mag_1996_65462.txt-65-39']	['fic_1971_10546.txt-2465-10', 'mag_1996_65462.txt-65-39', 'fic_2006_28577.txt-54-7']
fic_1856_2655.txt-1899-10	fic_1988_780086.txt-4115-8	0.6690427660942078	news_2005_623926.txt-191-27	0.9020965099334717	nf_1837_757476.txt-2144-13	0.922000527381897	mag_2000_412355.txt-132-8	0.9138762354850769	['nf_1837_757476.txt-2144-13', 'mag_2000_412355.txt-132-8', 'news_2005_623926.txt-191-27', 'fic_1988_780086.txt-4115-8']	['fic_1988_780086.txt-4115-8', 'mag_2000_412355.txt-132-8', 'nf_1837_757476.txt-2144-13', 'news_2005_623926.txt-191-27']
fic_1833_7059.txt-366-53	news_2005_623926.txt-191-27	0.9525412917137146	missing_usage	0.8944718837738037	mag_1996_65462.txt-65-39	0.9488564729690552	mag_1967_274923.txt-17-19	0.0	['news_2005_623926.txt-191-27', 'mag_1996_65462.txt-65-39', 'mag_1967_274923.txt-17-19']	['news_2005_623926.txt-191-27', 'mag_1967_274923.txt-17-19', 'mag_1996_65462.txt-65-39']
nf_1852_748165.txt-2923-19	fic_1988_780086.txt-4115-8	0.4176328182220459	news_1998_610643.txt-49-47	0.9223727583885193	fic_2001_31316.txt-50-1	0.8464629650115967	missing_usage	0.0	['news_1998_610643.txt-49-47', 'fic_2001_31316.txt-50-1', 'fic_1988_780086.txt-4115-8']	['news_1998_610643.txt-49-47', 'fic_2001_31316.txt-50-1', 'fic_1988_780086.txt-4115-8']
mag_1853_555823.txt-95-26	news_1973_730633.txt-16-5	0.8217072486877441	fic_1993_1040060.txt-5217-8	0.9601946473121643	fic_1827_7168.txt-1308-148	0.3505917489528656	mag_1993_408277.txt-77-13	0.21725602447986603	['fic_1993_1040060.txt-5217-8', 'news_1973_730633.txt-16-5', 'fic_1827_7168.txt-1308-148', 'mag_1993_408277.txt-77-13']	['fic_1993_1040060.txt-5217-8', 'news_1973_730633.txt-16-5', 'mag_1993_408277.txt-77-13', 'fic_1827_7168.txt-1308-148']
mag_1850_525559.txt-174-41	missing_usage	0.5475828647613525	fic_1976_13976.txt-2004-6	0.7744303941726685	fic_1843_7208.txt-2803-15	0.7943598031997681	fic_1961_4163.txt-241-17	0.0	['fic_1843_7208.txt-2803-15', 'fic_1976_13976.txt-2004-6', 'fic_1961_4163.txt-241-17']	['fic_1843_7208.txt-2803-15', 'fic_1961_4163.txt-241-17', 'fic_1976_13976.txt-2004-6']
nf_1837_757476.txt-2889-24	nf_1848_747893.txt-3340-8	0.9796583652496338	fic_1988_780086.txt-4115-8	0.4692752957344055	fic_2006_28074.txt-156-5	0.9081894755363464	missing_usage	0.0	['nf_1848_747893.txt-3340-8', 'fic_2006_28074.txt-156-5', 'fic_1988_780086.txt-4115-8']	['nf_1848_747893.txt-3340-8', 'fic_2006_28074.txt-156-5', 'fic_1988_780086.txt-4115-8']
mag_1849_525337.txt-223-10	mag_1966_217503.txt-11-21	0.9126393795013428	mag_2001_414793.txt-112-11	0.7373727560043335	fic_1827_7168.txt-1308-148	0.5668977499008179	missing_usage	0.0	['mag_1966_217503.txt-11-21', 'mag_2001_414793.txt-112-11', 'fic_1827_7168.txt-1308-148']	['mag_2001_414793.txt-112-11', 'mag_1966_217503.txt-11-21', 'fic_1827_7168.txt-1308-148']
fic_1843_7208.txt-2803-15	missing_usage	0.8181626796722412	mag_1831_554110.txt-117-17	0.8610551953315735	nf_1824_747448.txt-3494-10	0.791634202003479	mag_2001_415715.txt-107-3	0.0	['mag_1831_554110.txt-117-17', 'nf_1824_747448.txt-3494-10', 'mag_2001_415715.txt-107-3']	['mag_2001_415715.txt-107-3', 'mag_1831_554110.txt-117-17', 'nf_1824_747448.txt-3494-10']
fic_2006_28074.txt-156-5	fic_1998_43217.txt-5-16	0.9390243291854858	missing_usage	0.8837814331054688	news_1997_621111.txt-98-72	0.9471157193183899	nf_1824_747448.txt-3494-10	0.0	['news_1997_621111.txt-98-72', 'fic_1998_43217.txt-5-16', 'nf_1824_747448.txt-3494-10']	['fic_1998_43217.txt-5-16', 'news_1997_621111.txt-98-72', 'nf_1824_747448.txt-3494-10']
mag_2001_416328.txt-35-6	nf_1837_757476.txt-2889-17	0.9636566638946533	missing_usage	0.5901333093643188	fic_1983_10709.txt-343-8	0.8164716958999634	fic_1998_43217.txt-5-16	0.0	['nf_1837_757476.txt-2889-17', 'fic_1983_10709.txt-343-8', 'fic_1998_43217.txt-5-16']	['nf_1837_757476.txt-2889-17', 'fic_1983_10709.txt-343-8', 'fic_1998_43217.txt-5-16']
mag_1966_217503.txt-11-21	fic_2006_28074.txt-156-5	0.9002007246017456	fic_1987_10753.txt-2050-13	0.9634277820587158	news_1997_610552.txt-116-41	0.7327929735183716	mag_2005_422919.txt-46-25	0.7798463106155396	['fic_1987_10753.txt-2050-13', 'fic_2006_28074.txt-156-5', 'mag_2005_422919.txt-46-25', 'news_1997_610552.txt-116-41']	['fic_2006_28074.txt-156-5', 'news_1997_610552.txt-116-41', 'fic_1987_10753.txt-2050-13', 'mag_2005_422919.txt-46-25']
mag_2006_427857.txt-556-27	nf_1972_774260.txt-1588-31	0.9478633999824524	fic_1996_42182.txt-585-10	0.317209929227829	missing_usage	0.8580433130264282	mag_1849_525380.txt-118-33	0.0	['nf_1972_774260.txt-1588-31', 'fic_1996_42182.txt-585-10', 'mag_1849_525380.txt-118-33']	['nf_1972_774260.txt-1588-31', 'fic_1996_42182.txt-585-10', 'mag_1849_525380.txt-118-33']
nf_1995_773497.txt-168-33	mag_1993_410419.txt-70-8	0.9772925972938538	missing_usage	0.8344815969467163	mag_1996_65462.txt-65-39	0.7016609907150269	fic_1987_16030.txt-2495-3	0.0	['mag_1993_410419.txt-70-8', 'mag_1996_65462.txt-65-39', 'fic_1987_16030.txt-2495-3']	['mag_1993_410419.txt-70-8', 'mag_1996_65462.txt-65-39', 'fic_1987_16030.txt-2495-3']
mag_1994_352087.txt-4-12	mag_2005_422919.txt-46-25	0.6408475637435913	fic_1993_1040060.txt-5217-8	0.6850621700286865	mag_1993_408277.txt-77-13	0.7042160630226135	fic_1827_7168.txt-1308-148	0.36218810081481934	['mag_1993_408277.txt-77-13', 'fic_1993_1040060.txt-5217-8', 'mag_2005_422919.txt-46-25', 'fic_1827_7168.txt-1308-148']	['mag_1993_408277.txt-77-13', 'fic_1993_1040060.txt-5217-8', 'mag_2005_422919.txt-46-25', 'fic_1827_7168.txt-1308-148']
news_1994_620115.txt-167-13	fic_2001_31316.txt-50-1	0.8361576795578003	fic_1856_2655.txt-1899-10	0.8766065835952759	missing_usage	0.959609866142273	nf_1853_748464.txt-824-40	0.0	['fic_1856_2655.txt-1899-10', 'fic_2001_31316.txt-50-1', 'nf_1853_748464.txt-824-40']	['nf_1853_748464.txt-824-40', 'fic_1856_2655.txt-1899-10', 'fic_2001_31316.txt-50-1']
