lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
edge	fic_1844_7148.txt-70-51	fic_1845_7317.txt-4325-19	4.0	fic_1975_10598.txt-6073-22	3.0	nf_1836_748113.txt-1250-63	1.0			['fic_1845_7317.txt-4325-19', 'fic_1975_10598.txt-6073-22', 'nf_1836_748113.txt-1250-63']		3
edge	nf_1848_754438.txt-774-22	mag_2005_424824.txt-73-5	1.0	nf_1851_747930.txt-141-2	2.0	mag_2004_416046.txt-55-2	4.0	fic_1967_10486.txt-2261-15	3.0	['mag_2004_416046.txt-55-2', 'fic_1967_10486.txt-2261-15', 'nf_1851_747930.txt-141-2', 'mag_2005_424824.txt-73-5']		4
edge	fic_1845_7316.txt-2581-17	mag_2004_416046.txt-55-2	4.0	mag_1979_480129.txt-32-13	2.0	mag_1827_553853.txt-237-20	1.0	fic_1823_7249.txt-942-61	3.0	['mag_2004_416046.txt-55-2', 'fic_1823_7249.txt-942-61', 'mag_1979_480129.txt-32-13', 'mag_1827_553853.txt-237-20']		4
edge	mag_1832_564345.txt-20-16	fic_1823_7249.txt-942-61	1.0	fic_1835_7281.txt-1358-22	3.0	mag_2002_414884.txt-39-4	4.0	mag_1990_342665.txt-15-8	2.0	['mag_2002_414884.txt-39-4', 'fic_1835_7281.txt-1358-22', 'mag_1990_342665.txt-15-8', 'fic_1823_7249.txt-942-61']		4
edge	fic_1834_7252.txt-779-29	fic_1987_780087.txt-2935-4	4.0	fic_1971_10544.txt-1029-25	3.0	mag_2004_416046.txt-55-2	1.0			['fic_1987_780087.txt-2935-4', 'fic_1971_10544.txt-1029-25', 'mag_2004_416046.txt-55-2']		3
edge	nf_1823_747803.txt-436-30	fic_1836_7052.txt-121-7	1.0	fic_2007_34283.txt-0-19	2.0	fic_2004_780511.txt-2666-15	3.0			['fic_2004_780511.txt-2666-15', 'fic_2007_34283.txt-0-19', 'fic_1836_7052.txt-121-7']		3
edge	mag_1827_553853.txt-237-20	fic_1836_7052.txt-121-7	2.0	mag_2005_424824.txt-73-5	1.0	fic_1993_25008.txt-4285-5	3.0	fic_1982_10690.txt-8911-15	4.0	['fic_1982_10690.txt-8911-15', 'fic_1993_25008.txt-4285-5', 'fic_1836_7052.txt-121-7', 'mag_2005_424824.txt-73-5']		4
edge	nf_1836_748113.txt-2066-7	news_1985_669476.txt-14-16	4.0	mag_1827_553853.txt-237-20	3.0	fic_1995_53078.txt-343-9	2.0	news_1985_671429.txt-20-24	1.0	['news_1985_669476.txt-14-16', 'mag_1827_553853.txt-237-20', 'fic_1995_53078.txt-343-9', 'news_1985_671429.txt-20-24']		4
edge	fic_1853_9142.txt-3541-10	fic_1849_7216.txt-7668-5	4.0	mag_2005_424824.txt-73-5	1.0	fic_1975_10598.txt-6073-22	3.0			['fic_1849_7216.txt-7668-5', 'fic_1975_10598.txt-6073-22', 'mag_2005_424824.txt-73-5']		3
edge	fic_1853_4303.txt-4574-29	mag_2002_396610.txt-150-5	4.0			nf_1827_747521.txt-883-28	3.0	fic_1965_23823.txt-131-41	2.0	['mag_2002_396610.txt-150-5', 'nf_1827_747521.txt-883-28', 'fic_1965_23823.txt-131-41']		3
