identifier1	identifier2	annotator	judgment	comment	lemma	round
2532889X_1949-12-18_01_043.tcf.xml-10-4	brehm_thierleben03_1866-17462-9	annotator1	2	 	packen	3
wilamowitz_tragoedie_1889-1510-204	26120215_1952_01_10_01_133.tcf.xml-47-6	annotator1	4	 	packen	3
26120215_1953_03_22_01_033.tcf.xml-48-1	humboldt_aequinoktial03_1859-2466-14	annotator1	2	 	packen	3
humboldt_aequinoktial03_1859-2466-14	brehm_thierleben03_1866-14924-7	annotator1	4	 	packen	3
werner_seeleben_1880-317-7	26120215_1965_04_09_01_070.tcf.xml-13-6	annotator1	2	 	packen	3
2532889X_1983-07-09_01_079.tcf.xml-21-6	pocci_komoedienbuechlein06_1877-4243-32	annotator1	2	 	packen	3
2532889X_1975-09-20_01_181.tcf.xml-6-2	arnim_wunderhorn01_1806-826-9	annotator1	2	 	packen	3
brehm_thierleben01_1864-14429-21	2532889X_1962-07-27_01_128.tcf.xml-21-12	annotator1	2	 	packen	3
2532889X_1984-07-14_01_126.tcf.xml-159-9	2532889X_1983-07-09_01_079.tcf.xml-21-6	annotator1	2	 	packen	3
conradi_adam_1889-6908-36	26120215_1979_12_27_01_295.tcf.xml-65-19	annotator1	2	 	packen	3
kretzer_timpe_1888-2578-1	holz_hamlet_1889-366-24	annotator1	3	 	packen	3
2532889X_1968-09-30_01_074.tcf.xml-75-0	2532889X_1983-07-09_01_079.tcf.xml-21-6	annotator1	4	 	packen	3
2532889X_1968-09-30_01_074.tcf.xml-75-0	2532889X_1958-12-25_01_356.tcf.xml-37-25	annotator1	2	 	packen	3
brehm_thierleben03_1866-17462-9	26120215_1952_01_10_01_133.tcf.xml-47-6	annotator1	2	 	packen	3
26120215_1952_09_26_01_041.tcf.xml-3-1	wilamowitz_tragoedie_1889-1510-204	annotator1	3	 	packen	3
boelsche_liebesleben01_1898-4993-6	2532889X_1983-07-09_01_079.tcf.xml-21-6	annotator1	2	 	packen	3
26120215_1974_08_18_01_333.tcf.xml-30-23	2532889X_1948-12-28_01_044.tcf.xml-63-19	annotator1	4	 	packen	3
2532889X_1960-07-18_01_060.tcf.xml-11-40	26120215_1983_04_02_01_116.tcf.xml-58-5	annotator1	3	 	packen	3
immermann_muenchhausen01_1838-1857-8	stifter_nachsommer03_1857-1324-1	annotator1	3	 	packen	3
2532889X_1968-09-30_01_074.tcf.xml-75-0	brehm_thierleben03_1866-3327-21	annotator1	2	 	packen	3
2532889X_1973-05-26_01_177.tcf.xml-23-91	arnim_wunderhorn01_1806-826-9	annotator1	2	 	packen	3
