lemma	identifier	context	indexes_target_token	context_normalized
Knotenpunkt	mohr_fachwerk01_1874-150-3	Wenn man diesen Knotenpunkt mit Eins belastet und die sechs überzähligen Konstruktionstheile beseitigt, so erzeugt jene Belastung in dem übrig bleibenden einfachen Fachwerk die Spannungen u, welche im Kräfteplan Fig. 13 Blatt 610 konstruirt und in die vorletzte Vertikalreihe der Tabelle eingetragen sind.	16:27	Wenn man diesen Knotenpunkt mit Eins belastet und die sechs überzähligen Konstruktionsteile beseitigt , so erzeugt jene Belastung in dem übrig bleibenden einfachen Fachwerk die Spannungen u , welche im Kräfteplan Fig. 13 Blatt 610 konstruiert und in die vorletzte Vertikalreihe der Tabelle eingetragen sind .
Knotenpunkt	treitschke_geschichte05_1894-7592-14	Man wußte noch nicht und konnte nur durch die Erfahrung lernen, was ein Knotenpunkt im Bahnverkehr bedeutet.	72:83	Man wußte noch nicht und konnte nur durch die Erfahrung lernen , was ein Knotenpunkt im Bahnverkehr bedeutet .
Knotenpunkt	rein_japan01_1881-1467-15	Die bewaldeten Rücken treten jedoch geschlossener und höher auf, je mehr man sich dem Knotenpunkte nähert.	86:98	Die bewaldeten Rücken treten jedoch geschlossener und höher auf , je mehr man sich dem Knotenpunkte nähert .
Knotenpunkt	wundt_medizinische_1867-1513-1	Die Knotenpunkte schwingender Saiten lassen sich leicht ermitteln, indem man an verschiedenen Stellen leichte Körperchen, z. B. Holzsplitterchen, Papierstücke, auf die Saite legt.	4:16	Die Knotenpunkte schwingender Saiten lassen sich leicht ermitteln , indem man an verschiedenen Stellen leichte Körperchen , z. B. Holzsplitterchen , Papierstücke , auf die Saite legt .
Knotenpunkt	ludwig_physiologie01_1852-3219-21	Eine weitere Betrachtung unserer Figur zeigt, dass mit der wachsenden Entfernung des Punktes 1 auf der Sehachse K D vom Knotenpunkte K auch der Abstand der Punkte 3, 2 von 4 zunehmen muss, wenn sie verschwinden sollen.	120:132	Eine weitere Betrachtung unserer Figur zeigt , dass mit der wachsenden Entfernung des Punktes 1 auf der Sehachse K D vom Knotenpunkte K auch der Abstand der Punkte 3 , 2 von 4 zunehmen muss , wenn sie verschwinden sollen .
Knotenpunkt	schubert_naturwissenschaft_1808-2613-18	Wir erhalten dann aber, wenn wir im ersteren Falle 51 ° 23 ′ 33 ″ von dem Knotenpunkte der Vesta aufwärts zählen, 51 ° 56 ′ 7 ″ der Länge, und genau eben so, wenn wir 84 ° 55 ′ 8″ von dem des Mercur abziehen, 51 ° 56 ′ 7 ″.	74:86	Wir erhalten dann aber , wenn wir im ersteren Falle 51 ° 23 ' 33 " von dem Knotenpunkte der Vesta aufwärts zählen , 51 ° 56 ' 7 " der Länge , und genau eben so , wenn wir 84 ° 55 ' 8" von dem des Merkur abziehen , 51 ° 56 ' 7 " .
Knotenpunkt	vischer_aesthetik030204_1857-1481-153	Es folgt daher auf diese erste Durchführung ein selbst wieder kunstreich ausgeführter, mit Thema und Gegensatz jedoch blos verwandter „Zwischensatz,“ der zu einer neuen Durchführung überleitet, in welcher die Ordnung des Eintritts der Stimmen und damit die contrapunctischen Verhältnisse unter ihnen andere sind als das erste Mal u. s. f. Wenn die Fuge dem Schluß sich nähert, tritt passend die sogen. Engführung ein, d. h. die Stimmen treten näher zusammen, fassen das Thema auf, und zwar in der Weise des strengern Kanons nicht gleichzeitig, sondern kurz nach einander eintretend, so daß eine eng verschlungene Stimmführung entsteht, die von sehr guter Wirkung ist; denn dieses nähere Zusammentreten der Stimmen und ihre Vereinigung im Thema stellt sowohl einen Einheits-und Beruhigungspunct dar, gegenüber den vielfachen und weiten Ausschreitungen, welche sie im Verlauf der Fuge unternommen haben, als zugleich einen Knotenpunct, an welchem die bis jetzt zerstreuten und freier wirkenden Kräfte zusammenrücken, auf einander eindringen, sich in einander verwickeln, um erst, nachdem so auch diese engste, gespannteste Form der Stimmenverflechtung erschöpft ist, in und mit der Lösung der Spannung vom Schauplatz abzutreten.	921:932	Es folgt daher auf diese erste Durchführung ein selbst wieder kunstreich ausgeführter , mit Thema und Gegensatz jedoch bloß verwandter " Zwischensatz , " der zu einer neuen Durchführung überleitet , in welcher die Ordnung des Eintritts der Stimmen und damit die kontrapunktischen Verhältnisse unter ihnen andere sind als das erste Mal u. s. f. Wenn die Fuge dem Schluß sich nähert , tritt passend die sogen. Engführung ein , d. h. die Stimmen treten näher zusammen , fassen das Thema auf , und zwar in der Weise des strengeren Kanons nicht gleichzeitig , sondern kurz nach einander eintretend , so daß eine eng verschlungene Stimmführung entsteht , die von sehr guter Wirkung ist ; denn dieses nähere Zusammentreten der Stimmen und ihre Vereinigung im Thema stellt sowohl einen Einheits- und Beruhigungspunkt dar , gegenüber den vielfachen und weiten Ausschreitungen , welche sie im Verlauf der Fuge unternommen haben , als zugleich einen Knotenpunkt , an welchem die bis jetzt zerstreuten und freier wirkenden Kräfte zusammenrücken , auf einander eindringen , sich in einander verwickeln , um erst , nachdem so auch diese engste , gespannteste Form der Stimmenverflechtung erschöpft ist , in und mit der Lösung der Spannung vom Schauplatz abzutreten .
Knotenpunkt	valentin_entwicklungsgeschichte_1835-6748-32	Während in dem Jejunum und Ileum jede zottenförmige Umkleidung der oberen Lage einer wahren Zotte der unteren Lage entspricht, so ist dieses in den dikken Gedärmen nur bei den in den Knotenpunkten befindlichen Zotten der Fall.	183:196	Während in dem Jejunum und Ileum jede zottenförmige Umkleidung der oberen Lage einer wahren Zotte der unteren Lage entspricht , so ist dieses in den dicken Gedärmen nur bei den in den Knotenpunkten befindlichen Zotten der Fall .
Knotenpunkt	wundt_medizinische_1867-4750-38	Da bei der letzteren Aufgabe die Wahl der Strahlen, deren Durchschnittspunkt aufgesucht wird, freigestellt ist, so verfolgt man am zweckmässigsten 1) denjenigen von a ausgehenden Strahl, der vor der Brechung nach dem ersten Knotenpunkt gerichtet ist, und 2) denjenigen Strahl, der vor der Brechung der Axe parallel ist: der erstere geht nach der Brechung seiner früheren Richtung parallel durch den zweiten Knotenpunkt, und der letztere geht nach der Brechung durch den zweiten Brennpunkt.	224:235	Da bei der letzteren Aufgabe die Wahl der Strahlen , deren Durchschnittspunkt aufgesucht wird , freigestellt ist , so verfolgt man am zweckmässigsten 1 ) denjenigen von a ausgehenden Strahl , der vor der Brechung nach dem ersten Knotenpunkt gerichtet ist , und 2 ) denjenigen Strahl , der vor der Brechung der Achse parallel ist : der erstere geht nach der Brechung seiner früheren Richtung parallel durch den zweiten Knotenpunkt , und der letztere geht nach der Brechung durch den zweiten Brennpunkt .
Knotenpunkt	robert_griechische_1881-1128-27	Denn giebt die nähere oder weitere Beziehung, in welcher die Ereignisse zu dem Haupthelden Achilleus stehen, den Massstab für ihre Geltung als „Kern-und Knotenpunkte der Sage“ ab, wie das doch offenbar Brunns Anschauung ist, welcher Abschnitt der Ilias hat dann mehr Anspruch auf diesen Titel, als die grösste Heldenthat seines Freundes Patroklos, die dieser in den Waffen des Achilleus verrichtet, bei der Zeus selbst nicht hindernd einzuschreiten wagt, die seinem Tod unmittelbar vorhergeht und das Wiedereingreifen des Achilleus in den Kampf sowie seine Versöhnung mit Agamemnon vorbereitet?	153:165	Denn gibt die nähere oder weitere Beziehung , in welcher die Ereignisse zu dem Haupthelden Achilleus stehen , den Massstab für ihre Geltung als " Kern- und Knotenpunkte der Sage " ab , wie das doch offenbar Brunns Anschauung ist , welcher Abschnitt der Ilias hat dann mehr Anspruch auf diesen Titel , als die größte Heldentat seines Freundes Patroklos , die dieser in den Waffen des Achilleus verrichtet , bei der Zeus selbst nicht hindernd einzuschreiten wagt , die seinem Tod unmittelbar vorhergeht und das Wiedereingreifen des Achilleus in den Kampf sowie seine Versöhnung mit Agamemnon vorbereitet ?
