lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos	context_normalized
abdecken	VVPP	1877	1	wanderley_bauconstructionslehre01_1877-3217-23	 	Auch die Oberfläche des Gesimses besteht aus Brettern, die zum Schutze gegen die Nässe u. s. w. mit Zinkblech (g) abgedeckt wird.	114:123	0:129	Auch die Oberfläche des Geſimſes beſteht aus Brettern , die zum Schutze gegen die Näſſe u. ſ. w. mit Zinkblech ( g ) abgedeckt wird .	23	0:26	auch d Oberfläche d Gesims bestehen aus Brett , die zum Schutz gegen d Nässe u. s. W. mit Zinkblech ( G ) abdecken werden .	ADV ART NN ART NN VVFIN APPR NN $, PRELS APPRART NN APPR ART NN APPR VVIMP NE APPR NN $( NE $( VVPP VAFIN $.	Auch die Oberfläche des Gesimses besteht aus Brettern , die zum Schutze gegen die Nässe u. s. w. mit Zinkblech ( g ) abgedeckt wird .
abdecken	VVPP	1848	1	nn_nrhz105_1848-528-34	 	Die Revolte entbrennt auf's Wüthendste wieder, da man die freigegebenen Gefangenen heute wieder verhaftet hatte(!!!).Soeben ertönt Rottenfeuer des Militärs in der Johannisgasse, wo zwei Barrikaden errichtet und mehrere Häuser abgedeckt sind.	226:235	0:241	Die Revolte entbrennt auf's Wüthendste wieder , da man die freigegebenen Gefangenen heute wieder verhaftet hatte( !!! ) .Soeben ertönt Rottenfeuer des Militärs in der Johannisgasse , wo zwei Barrikaden errichtet und mehrere Häuser abgedeckt sind .	34	0:37	d Revolte entbrennen aufs wütend wieder , da man d freigegeben Gefangene heute wieder verhaften haben !!! ) .soeben ertönen Rottenfeuer d Militär in d Johannisgasse , wo zwei Barrikade errichten und mehrere Haus abdecken sein .	ART NN VVFIN APPRART ADJA ADV $, KOUS PIS ART ADJA NN ADV ADV VVPP VAFIN $. $( NE VVFIN NN ART NN APPR ART NN $, PWAV CARD NN VVPP KON PIAT NN VVPP VAFIN $.	Die Revolte entbrennt auf's Wütendste wieder , da man die freigegebenen Gefangenen heute wieder verhaftet hatte !!! ) .Soeben ertönt Rottenfeuer des Militärs in der Johannisgasse , wo zwei Barrikaden errichtet und mehrere Häuser abgedeckt sind .
abdecken	VVPP	1878	1	wanderley_bauconstructionslehre02_1878-1492-27	 	Der Absatz über dem Unterbaugesims wird entweder als Wasserschlag schräg ablaufend in Cement und Dachziegeln oder mit einer Rollschicht in Cementmörtel, oder mit Sandstein-resp. Schieferplatten abgedeckt.	194:203	0:204	Der Abſatz über dem Unterbaugeſims wird entweder als Waſſerſchlag ſchräg ablaufend in Cement und Dachziegeln oder mit einer Rollſchicht in Cementmörtel , oder mit Sandſtein- reſp. Schieferplatten abgedeckt .	27	0:29	d Absatz über d Unterbaugesims werden entweder als Wasserschlag schräg ablaufen in Zement und Dachziegel oder mit eine Rolleschicht in Zementmörtel , oder mit sandstein- resp. Schieferplatte abdecken .	ART NN APPR ART NN VAFIN ADV KOKOM NN ADJD VVPP APPR NN KON NN KON APPR ART NN APPR NN $, KON APPR TRUNC ADJA NN VVPP $.	Der Absatz über dem Unterbaugesims wird entweder als Wasserschlag schräg ablaufend in Zement und Dachziegeln oder mit einer Rollschicht in Zementmörtel , oder mit Sandstein- resp. Schieferplatten abgedeckt .
abdecken	VVPP	1884	1	ledebur_eisenhuettenkunde_1884-1065-38	 	Diese Oefen haben entweder rechteckige Grundform, sind oben durch ein Tonnengewölbe überspannt und etwa 15 m lang, 3.5 bis 5 m breit und ebenso hoch; oder sie sind cylindrisch gebaut und oben durch ein Kuppelgewölbe abgedeckt bei 8.5 m Durchmesser, und 3.5 m Höhe bis zum Gewölbe; oder endlich sie haben Kegelform bei 8.5 bis 9 m Durchmesser an der Grundfläche und 6 bis 8.5 m Höhe.	216:225	0:382	Diese Oefen haben entweder rechteckige Grundform , sind oben durch ein Tonnengewölbe überspannt und etwa 15 m lang , 3.5 bis 5 m breit und ebenso hoch ; oder sie sind cylindrisch gebaut und oben durch ein Kuppelgewölbe abgedeckt bei 8.5 m Durchmesser , und 3.5 m Höhe bis zum Gewölbe ; oder endlich sie haben Kegelform bei 8.5 bis 9 m Durchmesser an der Grundfläche und 6 bis 8.5 m Höhe .	38	0:73	diese Ofen haben entweder rechteckig Grundform , sein oben durch eine Tonnengewölbe überspannen und etwa 15 M lang , 3.5 bis 5 M breit und ebenso hoch ; oder sie sein zylindrisch bauen und oben durch eine Kuppelgewölbe abdecken bei 8.5 M Durchmesser , und 3.5 M Höhe bis zum Gewölbe ; oder endlich sie haben Kegelform bei 8.5 bis 9 M Durchmesser an d Grundfläche und 6 bis 8.5 M Höhe .	PDAT NN VAFIN KON ADJA NN $, VAFIN ADV APPR ART NN VVPP KON ADV CARD NN ADJD $, CARD APPR CARD NN ADJD KON ADV ADJD $. KON PPER VAFIN ADJD VVPP KON ADV APPR ART NN VVPP APPR CARD NN NN $, KON CARD NN NN APPR APPRART NN $. KON ADV PPER VAFIN NN APPR CARD APPR CARD NN NN APPR ART NN KON CARD APPR CARD NN NN $.	Diese Öfen haben entweder rechteckige Grundform , sind oben durch ein Tonnengewölbe überspannt und etwa 15 m lang , 3.5 bis 5 m breit und ebenso hoch ; oder sie sind zylindrisch gebaut und oben durch ein Kuppelgewölbe abgedeckt bei 8.5 m Durchmesser , und 3.5 m Höhe bis zum Gewölbe ; oder endlich sie haben Kegelform bei 8.5 bis 9 m Durchmesser an der Grundfläche und 6 bis 8.5 m Höhe .
abdecken	VVPP	1884	1	ledebur_eisenhuettenkunde_1884-5694-22	 	Hier sind sechs Oeffnungen o o für ebenso viele Windformen angebracht; p ist eine siebente Oeffnung, welche durch den Tümpel abgedeckt und vorn durch den Wallstein geschlossen wird (offene Brust).	125:134	0:196	Hier sind sechs Oeffnungen o o für ebenso viele Windformen angebracht ; p ist eine siebente Oeffnung , welche durch den Tümpel abgedeckt und vorn durch den Wallstein geschlossen wird ( offene Brust ) .	22	0:35	hier sein sechs Öffnung o o für ebenso viel Windform anbringen ; p sein eine siebent Öffnung , welche durch d Tümpel abdecken und vorn durch d Wallstein schließen werden ( offen Brust ) .	ADV VAFIN CARD NN FM FM APPR ADV PIAT NN VVPP $. XY VAFIN ART ADJA NN $, PRELS APPR ART NN VVPP KON ADV APPR ART NN VVPP VAFIN $( ADJA NN $( $.	Hier sind sechs Öffnungen o o für ebenso viele Windformen angebracht ; p ist eine siebente Öffnung , welche durch den Tümpel abgedeckt und vorn durch den Wallstein geschlossen wird ( offene Brust ) .
abdecken	VVPP	1877	1	wanderley_bauconstructionslehre01_1877-2488-7	 	Das Dach wurde mit Zinkblech Nr. 12 abgedeckt, dagegen die Rinnen aus sogenanntem Schüsselblech hergestellt.	36:45	0:108	Das Dach wurde mit Zinkblech Nr. 12 abgedeckt , dagegen die Rinnen aus ſogenanntem Schüſſelblech hergeſtellt .	7	0:17	d Dach werden mit Zinkblech Nr. 12 abdecken , dagegen d Rinne aus sogenannt Schüsselblech herstellen .	ART NN VAFIN APPR NN NN CARD VVPP $, PAV ART NN APPR ADJA NN VVPP $.	Das Dach wurde mit Zinkblech Nr. 12 abgedeckt , dagegen die Rinnen aus sogenanntem Schüsselblech hergestellt .
abdecken	VVPP	1877	1	wanderley_bauconstructionslehre01_1877-1526-77	 	Bei hölzernen Planken (Umwährungen) sind Bretterwände nach Fig. 222 sehr üblich; für bessere Anlagen verdienen aber die Anordnungen nach Fig. 222 A—B und 224 A—B den Vorzug, wobei gehobelte und gespundete Pfähle in Entfernungen von 1,25m von einander gestellt (sie stehen entweder auf Schwellen oder sie stecken im Erdboden, in welchem Falle das untere Ende verkohlt und getheert wird, damit das Holzwerk nicht verdirbt) und oberhalb mit einem Helme abgedeckt werden.	450:459	0:467	Bei hölzernen Planken ( Umwährungen ) ſind Bretterwände nach Fig. 222 ſehr üblich ; für beſſere Anlagen verdienen aber die Anordnungen nach Fig. 222 A—B und 224 A—B den Vorzug , wobei gehobelte und geſpundete Pfähle in Entfernungen von 1,25m von einander geſtellt ( ſie ſtehen entweder auf Schwellen oder ſie ſtecken im Erdboden , in welchem Falle das untere Ende verkohlt und getheert wird , damit das Holzwerk nicht verdirbt ) und oberhalb mit einem Helme abgedeckt werden .	77	0:80	bei hölzern Planke ( Umwehrunge ) sein Bretterwand nach Fig. 222 sehr üblich ; für gut Anlage verdienen aber d Anordnung nach Fig. 222 A--B und 224 A--B d Vorzug , wobei gehobelt und gespundet Pfahl in Entfernung von 1,25m von einander stellen ( sie stehen entweder auf Schwelle oder sie stecken im Erdboden , in welchem Falle d unter Ende verkohlen und teern werden , damit d Holzwerk nicht verderben ) und oberhalb mit eine Helm abdecken werden .	APPR ADJA NN $( NN $( VAFIN NN APPR NN CARD ADV ADJD $. APPR ADJA NN VVFIN ADV ART NN APPR NN CARD NN KON CARD NN ART NN $, PWAV ADJA KON ADJA NN APPR NN APPR CARD APPR ADV VVPP $( PPER VVFIN KON APPR NN KON PPER VVFIN APPRART NN $, APPR PWAT NN ART ADJA NN VVPP KON VVPP VAFIN $, KOUS ART NN PTKNEG VVFIN $( KON APPR APPR ART NN VVPP VAINF $.	Bei hölzernen Planken ( Umwehrungen ) sind Bretterwände nach Fig. 222 sehr üblich ; für bessere Anlagen verdienen aber die Anordnungen nach Fig. 222 A--B und 224 A--B den Vorzug , wobei gehobelte und gespundete Pfähle in Entfernungen von 1,25m von einander gestellt ( sie stehen entweder auf Schwellen oder sie stecken im Erdboden , in welchem Falle das untere Ende verkohlt und geteert wird , damit das Holzwerk nicht verdirbt ) und oberhalb mit einem Helme abgedeckt werden .
abdecken	VVPP	1895	1	polenz_buettnerbauer_1895-6066-22	 	Die Häuser eng bei einander, den Nachbarn gleichend, wie ein Ei dem anderen, weißgetüncht, kahl, mit Ziegeln abgedeckt.	109:118	0:119	Die Häuſer eng bei einander , den Nachbarn gleichend , wie ein Ei dem anderen , weißgetüncht , kahl , mit Ziegeln abgedeckt .	22	0:24	d Haus eng bei einander , d Nachbar gleichen , wie eine Ei d ander , weißgetüncht , kahl , mit Ziegel abdecken .	ART NN ADJD APPR PRF $, ART NN VVPP $, PWAV ART NN ART ADJA $, ADJD $, ADJD $, APPR NN VVPP $.	Die Häuser eng bei einander , den Nachbarn gleichend , wie ein Ei dem anderen , weißgetüncht , kahl , mit Ziegeln abgedeckt .
abdecken	VVPP	1878	1	wanderley_bauconstructionslehre02_1878-2133-43	 	Schutzdächer ordnet man mindestens 60zm über die größte Breite des Gerüstes, sie dürfen niemals über den Rinnstein nach dem Straßendamme hinüber treten, müssen von allen freien Seiten mit einer 60zm hohen geschlossenen Brüstung versehen und mit 3zm starken Brettern derartig doppelt abgedeckt sein, daß die obersten Bretter die Fugen der unteren höher bedecken.	283:292	0:361	Schutzdächer ordnet man mindeſtens 60zm über die größte Breite des Gerüſtes , ſie dürfen niemals über den Rinnſtein nach dem Straßendamme hinüber treten , müſſen von allen freien Seiten mit einer 60zm hohen geſchloſſenen Brüſtung verſehen und mit 3zm ſtarken Brettern derartig doppelt abgedeckt ſein , daß die oberſten Bretter die Fugen der unteren höher bedecken .	43	0:57	Schutzdach ordnen man mindestens 60zm über d groß Breite d Gerüst , sie dürfen niemals über d Rinnstein nach d Straßendamm hinüber treten , müssen von alle frei Seite mit eine 60zm hoch geschließen Brüstung versehen und mit 3zm stark Brett derartig doppelt abdecken sein , daß d ober Brett d Fuge d unter hoch bedecken .	NN VVFIN PIS ADV CARD APPR ART ADJA NN ART NN $, PPER VMFIN ADV APPR ART NN APPR ART NN ADV VVINF $, VMFIN APPR PIAT ADJA NN APPR ART CARD ADJA ADJA NN VVPP KON APPR CARD ADJA NN ADJD ADJD VVPP VAINF $, KOUS ART ADJA NN ART NN ART ADJA ADJD VVFIN $.	Schutzdächer ordnet man mindestens 60zm über die größte Breite des Gerüstes , sie dürfen niemals über den Rinnstein nach dem Straßendamme hinüber treten , müssen von allen freien Seiten mit einer 60zm hohen geschlossenen Brüstung versehen und mit 3zm starken Brettern derartig doppelt abgedeckt sein , daß die obersten Bretter die Fugen der unteren höher bedecken .
abdecken	VVFIN	1837	1	grimm_maerchen02_1837-2514-36	 	Woner de so ordele gredt het, so dänke d’ Törhüeter de chönn nid lüge, und lönde ine, und se händ au rächt gha, denn wo der Hans si Chratte vor em Chönig abdeckt, so sind goldgäle Öpfel füre cho.	154:161	0:195	Woner de so ordele gredt het , so daͤnke d’ Toͤrhuͤeter de choͤnn nid luͤge , und loͤnde ine , und se haͤnd au raͤcht gha , denn wo der Hans si Chratte vor em Choͤnig abdeckt , so sind goldgaͤle Öpfel fuͤre cho .	36	0:45	Wohner De so Ordele gereden haben , so denken D' Torhüter De Chönn Nid lügen , und Lönde inne , und se Hand Au rächen Gha , denn wo d Hans Si Kratt vor em König abdecken , so sein Goldgäle Öpfel führen Cho .	NE NE ADV NE VVPP VAFIN $, ADV VVFIN NE NN NE NE NE VVFIN $, KON NE PTKVZ $, KON FM NN NE VVFIN NE $, KON PWAV ART NE NE NN APPR XY NE VVFIN $, ADV VAFIN NE NE VVFIN NE $.	Wohner de so ordele geredet hat , so denke d' Torhüter de chönn nid lüge , und lönde inne , und se Hände au rächt gha , denn wo der Hans si Kratte vor em König abdeckt , so sind goldgäle Öpfel führe cho .
