lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
record	nf_1831_764842.txt-1011-24	mag_2004_415362.txt-103-15	1.0	nf_1856_769137.txt-638-6	3.0	mag_1987_88962.txt-50-28	2.0	nf_1849_749269.txt-358-17	4.0	['nf_1849_749269.txt-358-17', 'nf_1856_769137.txt-638-6', 'mag_1987_88962.txt-50-28', 'mag_2004_415362.txt-103-15']		4
record	fic_1835_7353.txt-1855-15	news_1978_733514.txt-23-7	1.0	fic_1845_7295.txt-6579-25	2.0	nf_1857_767292.txt-2345-1	4.0	mag_1859_591206.txt-213-18	3.0	['nf_1857_767292.txt-2345-1', 'mag_1859_591206.txt-213-18', 'fic_1845_7295.txt-6579-25', 'news_1978_733514.txt-23-7']		4
record	fic_1860_1171.txt-1939-20	mag_2002_385360.txt-30-3	1.0	nf_1857_767292.txt-2345-1	3.0	fic_1847_7094.txt-171-58	4.0	news_1981_670937.txt-48-7	2.0	['fic_1847_7094.txt-171-58', 'nf_1857_767292.txt-2345-1', 'news_1981_670937.txt-48-7', 'mag_2002_385360.txt-30-3']		4
record	fic_1827_7169.txt-0-35	news_2003_628509.txt-80-6	2.0	mag_1998_399430.txt-31-10	1.0	nf_1836_748113.txt-721-23	4.0	mag_2000_403677.txt-77-3	3.0	['nf_1836_748113.txt-721-23', 'mag_2000_403677.txt-77-3', 'news_2003_628509.txt-80-6', 'mag_1998_399430.txt-31-10']		4
record	mag_1859_591206.txt-213-18	mag_2002_421280.txt-35-1	1.0	nf_1857_767292.txt-2345-1	3.0	mag_1998_399430.txt-31-10	2.0			['nf_1857_767292.txt-2345-1', 'mag_1998_399430.txt-31-10', 'mag_2002_421280.txt-35-1']		3
record	fic_1848_7193.txt-7829-13	mag_1980_485877.txt-172-10	3.0			mag_2000_403677.txt-77-3	2.0	mag_1845_565459.txt-399-11	4.0	['mag_1845_565459.txt-399-11', 'mag_1980_485877.txt-172-10', 'mag_2000_403677.txt-77-3']		3
record	mag_1846_565552.txt-221-22			nf_1963_774144.txt-230-48	3.0	news_2009_646797.txt-73-17	4.0	mag_1975_107266.txt-40-12	2.0	['news_2009_646797.txt-73-17', 'nf_1963_774144.txt-230-48', 'mag_1975_107266.txt-40-12']		3
record	nf_1826_747833.txt-780-2	fic_1835_7353.txt-1855-15	4.0	mag_1987_88962.txt-50-28	2.0	mag_2006_398617.txt-90-13	1.0	news_2003_628509.txt-80-6	3.0	['fic_1835_7353.txt-1855-15', 'news_2003_628509.txt-80-6', 'mag_1987_88962.txt-50-28', 'mag_2006_398617.txt-90-13']		4
record	nf_1843_747650.txt-1611-58	mag_2006_398617.txt-90-13	2.0	mag_1856_556222.txt-23-13	3.0	fic_1827_7169.txt-0-35	4.0			['fic_1827_7169.txt-0-35', 'mag_1856_556222.txt-23-13', 'mag_2006_398617.txt-90-13']		3
record	nf_1834_747634.txt-366-9			nf_1841_772625.txt-1562-5	4.0	mag_1962_311690.txt-9-8	2.0	mag_1856_556222.txt-19-23	3.0	['nf_1841_772625.txt-1562-5', 'mag_1856_556222.txt-19-23', 'mag_1962_311690.txt-9-8']		3
record	mag_1851_555704.txt-569-35	fic_1975_10600.txt-4362-31	4.0			nf_1992_773879.txt-884-9	1.0	mag_2002_421280.txt-35-1	3.0	['fic_1975_10600.txt-4362-31', 'mag_2002_421280.txt-35-1', 'nf_1992_773879.txt-884-9']		3
record	nf_1849_749269.txt-358-17	mag_1962_311690.txt-9-8	1.0	fic_1845_7295.txt-6579-25	4.0	mag_1960_243020.txt-16-7	2.0			['fic_1845_7295.txt-6579-25', 'mag_1960_243020.txt-16-7', 'mag_1962_311690.txt-9-8']		3
record	nf_1856_769137.txt-638-6	fic_2001_31378.txt-80-16	4.0	mag_2000_403677.txt-77-3	1.0	news_1968_726910.txt-21-6	2.0	nf_1826_747833.txt-780-2	3.0	['fic_2001_31378.txt-80-16', 'nf_1826_747833.txt-780-2', 'news_1968_726910.txt-21-6', 'mag_2000_403677.txt-77-3']		4
record	mag_1845_565418.txt-35-6	mag_1827_553857.txt-44-34	4.0	mag_1962_311690.txt-9-8	1.0			nf_1836_748113.txt-721-23	3.0	['mag_1827_553857.txt-44-34', 'nf_1836_748113.txt-721-23', 'mag_1962_311690.txt-9-8']		3
record	nf_1849_749269.txt-1658-33	news_1979_734499.txt-40-2	3.0	mag_2004_415362.txt-103-15	1.0	news_1973_730777.txt-21-16	4.0	mag_1991_343958.txt-7-19	2.0	['news_1973_730777.txt-21-16', 'news_1979_734499.txt-40-2', 'mag_1991_343958.txt-7-19', 'mag_2004_415362.txt-103-15']		4
record	fic_1860_1171.txt-1826-6			fic_1995_39281.txt-144-16	1.0	mag_1846_565552.txt-221-22	4.0	mag_1977_287660.txt-20-8	2.0	['mag_1846_565552.txt-221-22', 'mag_1977_287660.txt-20-8', 'fic_1995_39281.txt-144-16']		3
record	nf_1841_762742.txt-3083-15			mag_1962_311690.txt-9-8	1.0	fic_1835_7353.txt-1855-15	4.0	news_1981_670937.txt-48-7	3.0	['fic_1835_7353.txt-1855-15', 'news_1981_670937.txt-48-7', 'mag_1962_311690.txt-9-8']		3
record	fic_1850_7304.txt-363-30			mag_2002_385360.txt-30-3	2.0	news_2006_604898.txt-32-11	1.0	fic_1827_7169.txt-0-35	4.0	['fic_1827_7169.txt-0-35', 'mag_2002_385360.txt-30-3', 'news_2006_604898.txt-32-11']		3
record	nf_1857_767292.txt-2345-1	mag_2002_421280.txt-35-1	1.0	news_2006_604898.txt-32-11	2.0	mag_1856_556222.txt-19-23	4.0	fic_1860_1171.txt-1939-20	3.0	['mag_1856_556222.txt-19-23', 'fic_1860_1171.txt-1939-20', 'news_2006_604898.txt-32-11', 'mag_2002_421280.txt-35-1']		4
record	mag_1847_555441.txt-301-6	mag_2006_398617.txt-90-13	1.0	mag_1972_314265.txt-13-24	3.0	news_1979_734499.txt-40-2	4.0			['news_1979_734499.txt-40-2', 'mag_1972_314265.txt-13-24', 'mag_2006_398617.txt-90-13']		3
record	fic_1856_1552.txt-2858-25	fic_1860_1171.txt-1939-20	2.0	mag_1980_491486.txt-126-9	3.0	nf_1816_747562.txt-1827-6	4.0	mag_2002_421280.txt-35-1	1.0	['nf_1816_747562.txt-1827-6', 'mag_1980_491486.txt-126-9', 'fic_1860_1171.txt-1939-20', 'mag_2002_421280.txt-35-1']		4
record	fic_1824_7037.txt-90-10	mag_1980_485877.txt-172-10	3.0			fic_1849_7230.txt-1532-38	4.0	news_1978_733514.txt-23-7	1.0	['fic_1849_7230.txt-1532-38', 'mag_1980_485877.txt-172-10', 'news_1978_733514.txt-23-7']		3
record	fic_1845_7295.txt-6579-25			mag_1961_205956.txt-13-6	3.0	nf_1849_749269.txt-358-17	4.0	fic_1835_7353.txt-1855-15	2.0	['nf_1849_749269.txt-358-17', 'mag_1961_205956.txt-13-6', 'fic_1835_7353.txt-1855-15']		3
record	nf_1836_748113.txt-721-23	mag_1846_565552.txt-221-22	4.0	mag_1984_432205.txt-64-8	2.0	mag_1845_565418.txt-35-6	3.0	news_1978_733514.txt-23-7	1.0	['mag_1846_565552.txt-221-22', 'mag_1845_565418.txt-35-6', 'mag_1984_432205.txt-64-8', 'news_1978_733514.txt-23-7']		4
record	fic_1844_800.txt-888-18	fic_2000_52612.txt-32-51	4.0	nf_1855_748146.txt-649-12	3.0	news_1989_668984.txt-52-13	2.0	news_1963_723497.txt-47-2	1.0	['fic_2000_52612.txt-32-51', 'nf_1855_748146.txt-649-12', 'news_1989_668984.txt-52-13', 'news_1963_723497.txt-47-2']		4
record	nf_1848_747434.txt-2817-30	mag_2004_415362.txt-103-15	1.0	mag_1962_311690.txt-9-8	2.0	mag_1849_555588.txt-42-6	4.0	mag_1859_591206.txt-213-18	3.0	['mag_1849_555588.txt-42-6', 'mag_1859_591206.txt-213-18', 'mag_1962_311690.txt-9-8', 'mag_2004_415362.txt-103-15']		4
