reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
fic_1860_9165.txt-1649-9	nf_1855_747674.txt-451-9	0.6616986989974976	fic_1823_7213.txt-703-26	0.37891027331352234	nf_1982_773998.txt-376-16	0.2682732045650482	fic_1848_7009.txt-4137-35	0.4137536883354187	['nf_1855_747674.txt-451-9', 'fic_1848_7009.txt-4137-35', 'fic_1823_7213.txt-703-26', 'nf_1982_773998.txt-376-16']	['nf_1982_773998.txt-376-16', 'nf_1855_747674.txt-451-9', 'fic_1848_7009.txt-4137-35', 'fic_1823_7213.txt-703-26']
fic_1845_7103.txt-1406-17	fic_1993_25010.txt-3586-24	0.8109990954399109	nf_1844_747892.txt-136-21	0.6869772672653198	mag_2004_394945.txt-12-4	0.31299781799316406	news_1997_610581.txt-53-4	0.36728036403656006	['fic_1993_25010.txt-3586-24', 'nf_1844_747892.txt-136-21', 'news_1997_610581.txt-53-4', 'mag_2004_394945.txt-12-4']	['nf_1844_747892.txt-136-21', 'news_1997_610581.txt-53-4', 'mag_2004_394945.txt-12-4', 'fic_1993_25010.txt-3586-24']
nf_1855_750257.txt-948-64	fic_1845_7162.txt-2071-19	0.8161022067070007	missing_usage	0.5240018367767334	fic_1845_7103.txt-1406-17	0.6779910326004028	nf_1827_747521.txt-840-21	0.0	['fic_1845_7162.txt-2071-19', 'fic_1845_7103.txt-1406-17', 'nf_1827_747521.txt-840-21']	['fic_1845_7162.txt-2071-19', 'fic_1845_7103.txt-1406-17', 'nf_1827_747521.txt-840-21']
nf_1859_749190.txt-550-6	fic_1840_7681.txt-1992-35	0.8615826964378357	fic_1859_9220.txt-4102-44	0.4917953610420227	fic_1839_7011.txt-254-12	0.6286154389381409	mag_2007_389994.txt-60-31	0.7566312551498413	['fic_1840_7681.txt-1992-35', 'mag_2007_389994.txt-60-31', 'fic_1839_7011.txt-254-12', 'fic_1859_9220.txt-4102-44']	['fic_1840_7681.txt-1992-35', 'fic_1839_7011.txt-254-12', 'fic_1859_9220.txt-4102-44', 'mag_2007_389994.txt-60-31']
fic_1834_8947.txt-2024-13	fic_1823_7213.txt-703-26	0.42992088198661804	fic_2009_36961.txt-181-4	0.3867397904396057	fic_1855_9773.txt-1608-9	0.7598955631256104	fic_1994_41224.txt-249-6	0.11355166137218475	['fic_1855_9773.txt-1608-9', 'fic_1823_7213.txt-703-26', 'fic_2009_36961.txt-181-4', 'fic_1994_41224.txt-249-6']	['fic_1855_9773.txt-1608-9', 'fic_2009_36961.txt-181-4', 'fic_1994_41224.txt-249-6', 'fic_1823_7213.txt-703-26']
mag_1843_555146.txt-498-35	fic_1834_7047.txt-1090-58	0.5145213603973389	fic_2003_29944.txt-53-10	0.35653257369995117	nf_1835_747966.txt-690-8	0.9304810762405396	mag_2007_389994.txt-60-31	0.7248935699462891	['nf_1835_747966.txt-690-8', 'mag_2007_389994.txt-60-31', 'fic_1834_7047.txt-1090-58', 'fic_2003_29944.txt-53-10']	['nf_1835_747966.txt-690-8', 'mag_2007_389994.txt-60-31', 'fic_1834_7047.txt-1090-58', 'fic_2003_29944.txt-53-10']
fic_1843_7208.txt-7787-16	fic_1847_2352.txt-2533-11	0.42682990431785583	mag_1993_135889.txt-43-10	0.3354758024215698	nf_1827_747521.txt-859-41	0.48634040355682373	fic_1860_9165.txt-1649-9	0.6436585187911987	['fic_1860_9165.txt-1649-9', 'nf_1827_747521.txt-859-41', 'fic_1847_2352.txt-2533-11', 'mag_1993_135889.txt-43-10']	['fic_1860_9165.txt-1649-9', 'nf_1827_747521.txt-859-41', 'fic_1847_2352.txt-2533-11', 'mag_1993_135889.txt-43-10']
fic_1855_604.txt-1903-14	fic_2009_36961.txt-181-4	0.7463856339454651	fic_1845_7170.txt-1583-10	0.34206289052963257	fic_1824_7279.txt-968-62	0.2858942747116089	fic_1847_2352.txt-771-30	0.3603816032409668	['fic_2009_36961.txt-181-4', 'fic_1847_2352.txt-771-30', 'fic_1845_7170.txt-1583-10', 'fic_1824_7279.txt-968-62']	['fic_2009_36961.txt-181-4', 'fic_1845_7170.txt-1583-10', 'fic_1824_7279.txt-968-62', 'fic_1847_2352.txt-771-30']
fic_1827_8772.txt-128-9	fic_1859_9220.txt-4102-44	0.6013848781585693	missing_usage	0.36096101999282837	fic_1856_9852.txt-1753-8	0.6169558763504028	fic_1995_39237.txt-68-4	0.0	['fic_1856_9852.txt-1753-8', 'fic_1859_9220.txt-4102-44', 'fic_1995_39237.txt-68-4']	['fic_1856_9852.txt-1753-8', 'fic_1995_39237.txt-68-4', 'fic_1859_9220.txt-4102-44']
fic_1851_3300.txt-3435-25	fic_1962_10417.txt-7726-22	0.7117241621017456	nf_1832_771858.txt-209-6	0.44174066185951233	news_1998_626742.txt-36-23	0.28409165143966675	fic_1859_9220.txt-4102-44	0.5410588979721069	['fic_1962_10417.txt-7726-22', 'fic_1859_9220.txt-4102-44', 'nf_1832_771858.txt-209-6', 'news_1998_626742.txt-36-23']	['fic_1859_9220.txt-4102-44', 'fic_1962_10417.txt-7726-22', 'news_1998_626742.txt-36-23', 'nf_1832_771858.txt-209-6']
