lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order
attack	fic_1846_7679.txt-262-9	fic_1854_9193.txt-8301-13	3.0	mag_1828_553929.txt-364-34	2.0	mag_1970_282294.txt-7-3	1.0	mag_1992_396000.txt-164-14	4.0	['mag_1992_396000.txt-164-14', 'fic_1854_9193.txt-8301-13', 'mag_1828_553929.txt-364-34', 'mag_1970_282294.txt-7-3']
attack	fic_1833_7239.txt-1694-15	fic_1838_7086.txt-2732-33	4.0	mag_1846_555400.txt-243-7	3.0	news_2001_661977.txt-17-13	2.0			['fic_1838_7086.txt-2732-33', 'mag_1846_555400.txt-243-7', 'news_2001_661977.txt-17-13']
attack	fic_1852_2364.txt-6112-60	fic_1838_7086.txt-2732-33	4.0	mag_1993_424232.txt-41-14	2.0	news_1991_612479.txt-40-20	3.0			['fic_1838_7086.txt-2732-33', 'news_1991_612479.txt-40-20', 'mag_1993_424232.txt-41-14']
attack	fic_1838_7085.txt-2157-17	fic_1858_1282.txt-1444-24	2.0	fic_2009_36778.txt-461-18	3.0	mag_2007_387325.txt-12-20	1.0	nf_1836_749613.txt-2695-7	4.0	['nf_1836_749613.txt-2695-7', 'fic_2009_36778.txt-461-18', 'fic_1858_1282.txt-1444-24', 'mag_2007_387325.txt-12-20']
attack	fic_1853_9142.txt-2686-17	fic_1835_7309.txt-3267-10	1.0	fic_1848_1279.txt-1511-47	2.0	fic_1993_25035.txt-820-7	4.0	fic_2009_36778.txt-461-18	3.0	['fic_1993_25035.txt-820-7', 'fic_2009_36778.txt-461-18', 'fic_1848_1279.txt-1511-47', 'fic_1835_7309.txt-3267-10']
attack	mag_1828_553929.txt-364-34	fic_1824_7211.txt-3045-8	3.0	fic_1827_9759.txt-3739-20	4.0	fic_1844_3928.txt-3498-7	2.0			['fic_1827_9759.txt-3739-20', 'fic_1824_7211.txt-3045-8', 'fic_1844_3928.txt-3498-7']
attack	fic_1858_1282.txt-1444-24	fic_1838_7085.txt-2157-17	2.0	fic_1982_780051.txt-4396-7	3.0	mag_1999_397639.txt-186-35	4.0			['mag_1999_397639.txt-186-35', 'fic_1982_780051.txt-4396-7', 'fic_1838_7085.txt-2157-17']
attack	mag_1840_586558.txt-356-49	fic_1859_9037.txt-2260-41	3.0	fic_1998_43533.txt-4-2	2.0	news_1998_626765.txt-4-8	4.0			['news_1998_626765.txt-4-8', 'fic_1859_9037.txt-2260-41', 'fic_1998_43533.txt-4-2']
attack	mag_1825_553609.txt-140-54	fic_1848_1279.txt-1511-47	2.0	mag_1994_425594.txt-9-10	3.0	news_1967_726451.txt-39-2	4.0			['news_1967_726451.txt-39-2', 'mag_1994_425594.txt-9-10', 'fic_1848_1279.txt-1511-47']
attack	fic_1848_7009.txt-1181-32	fic_1839_7024.txt-2377-9	4.0	fic_1982_780070.txt-3698-5	2.0	fic_2009_36778.txt-461-18	3.0			['fic_1839_7024.txt-2377-9', 'fic_2009_36778.txt-461-18', 'fic_1982_780070.txt-3698-5']
