lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
graft	nf_1850_747863.txt-1739-22	nf_1999_775055.txt-95-13	2.0	mag_1980_491544.txt-125-11	3.0	nf_1850_747863.txt-398-51	4.0	mag_1962_206362.txt-4-16	1.0	['nf_1850_747863.txt-398-51', 'mag_1980_491544.txt-125-11', 'nf_1999_775055.txt-95-13', 'mag_1962_206362.txt-4-16']		4
graft	nf_1850_747863.txt-3421-26	fic_1960_23766.txt-261-28	1.0	nf_1845_747928.txt-801-22	4.0			nf_1980_774261.txt-641-30	3.0	['nf_1845_747928.txt-801-22', 'nf_1980_774261.txt-641-30', 'fic_1960_23766.txt-261-28']		3
graft	nf_1858_747890.txt-1297-7	news_1974_731379.txt-69-18	2.0	nf_1850_747863.txt-1739-22	4.0	mag_1969_214820.txt-18-23	1.0			['nf_1850_747863.txt-1739-22', 'news_1974_731379.txt-69-18', 'mag_1969_214820.txt-18-23']		3
graft	nf_1858_747890.txt-2264-51	mag_1977_431930.txt-27-6	1.0			news_1972_730156.txt-21-5	2.0	nf_1845_747928.txt-409-38	4.0	['nf_1845_747928.txt-409-38', 'news_1972_730156.txt-21-5', 'mag_1977_431930.txt-27-6']		3
graft	nf_1850_747863.txt-383-8	mag_1969_214820.txt-18-23	3.0	nf_1839_747931.txt-294-29	4.0	fic_1974_13208.txt-891-12	1.0			['nf_1839_747931.txt-294-29', 'mag_1969_214820.txt-18-23', 'fic_1974_13208.txt-891-12']		3
graft	nf_1850_747863.txt-398-25			fic_1960_23766.txt-261-28	1.0	news_1974_731379.txt-69-18	2.0	nf_1839_747931.txt-291-1	4.0	['nf_1839_747931.txt-291-1', 'news_1974_731379.txt-69-18', 'fic_1960_23766.txt-261-28']		3
graft	nf_1845_747928.txt-273-14	nf_1850_747863.txt-1327-9	1.0	fic_1967_10488.txt-2994-1	3.0			nf_1850_747863.txt-1832-20	4.0	['nf_1850_747863.txt-1832-20', 'fic_1967_10488.txt-2994-1', 'nf_1850_747863.txt-1327-9']		3
graft	nf_1845_747928.txt-207-71	mag_1977_431931.txt-461-9	4.0	nf_1999_775055.txt-95-13	3.0	fic_2007_51914.txt-819-13	2.0	fic_1960_23766.txt-261-28	1.0	['mag_1977_431931.txt-461-9', 'nf_1999_775055.txt-95-13', 'fic_2007_51914.txt-819-13', 'fic_1960_23766.txt-261-28']		4
graft	nf_1845_747928.txt-295-1	nf_1980_774261.txt-641-30	3.0	mag_2003_385728.txt-83-21	1.0	mag_1999_399117.txt-58-13	2.0	nf_1981_773834.txt-1049-3	4.0	['nf_1981_773834.txt-1049-3', 'nf_1980_774261.txt-641-30', 'mag_1999_399117.txt-58-13', 'mag_2003_385728.txt-83-21']		4
graft	nf_1845_747928.txt-436-4			fic_2007_51914.txt-819-13	3.0	nf_1839_747931.txt-294-29	4.0	fic_1964_781989.txt-1164-40	1.0	['nf_1839_747931.txt-294-29', 'fic_2007_51914.txt-819-13', 'fic_1964_781989.txt-1164-40']		3
