lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
tip	fic_1830_7238.txt-330-33	fic_1858_1282.txt-2252-32	4.0	fic_1843_7039.txt-2779-6	1.0			fic_1980_10659.txt-1489-9	3.0	['fic_1858_1282.txt-2252-32', 'fic_1980_10659.txt-1489-9', 'fic_1843_7039.txt-2779-6']		3
tip	fic_1839_7067.txt-1486-47	fic_1835_5605.txt-2415-40	4.0			fic_1859_270.txt-401-88	3.0	fic_1985_780045.txt-3491-17	1.0	['fic_1835_5605.txt-2415-40', 'fic_1859_270.txt-401-88', 'fic_1985_780045.txt-3491-17']		3
tip	mag_1837_554498.txt-233-5	mag_1992_395772.txt-56-17	2.0	news_1989_670385.txt-31-8	3.0	fic_1850_7953.txt-1479-29	1.0	fic_1827_7168.txt-796-7	4.0	['fic_1827_7168.txt-796-7', 'news_1989_670385.txt-31-8', 'mag_1992_395772.txt-56-17', 'fic_1850_7953.txt-1479-29']		4
tip	nf_1854_755030.txt-2999-17	fic_1824_7277.txt-826-67	1.0			fic_1846_7036.txt-2226-29	3.0	fic_1853_3465.txt-250-43	4.0	['fic_1853_3465.txt-250-43', 'fic_1846_7036.txt-2226-29', 'fic_1824_7277.txt-826-67']		3
tip	fic_1854_7839.txt-1455-0			mag_1999_408516.txt-13-12	3.0	fic_2007_34343.txt-139-5	4.0	news_2004_635173.txt-48-0	1.0	['fic_2007_34343.txt-139-5', 'mag_1999_408516.txt-13-12', 'news_2004_635173.txt-48-0']		3
tip	fic_1841_8921.txt-336-16	mag_1828_553914.txt-171-18	3.0	fic_1975_780110.txt-1409-15	4.0	nf_1851_747930.txt-3721-17	2.0	news_2004_635173.txt-48-0	1.0	['fic_1975_780110.txt-1409-15', 'mag_1828_553914.txt-171-18', 'nf_1851_747930.txt-3721-17', 'news_2004_635173.txt-48-0']		4
tip	fic_1824_7277.txt-826-67	fic_1857_3100.txt-445-1	4.0	mag_2003_401197.txt-49-2	3.0	fic_1847_1094.txt-718-3	1.0	fic_1980_10659.txt-1489-9	2.0	['fic_1857_3100.txt-445-1', 'mag_2003_401197.txt-49-2', 'fic_1980_10659.txt-1489-9', 'fic_1847_1094.txt-718-3']		4
tip	fic_1847_2352.txt-1660-19	mag_2005_380198.txt-2-51	2.0	fic_1851_746.txt-3044-25	3.0	fic_2006_28613.txt-8-5	4.0	mag_1997_398795.txt-20-8	1.0	['fic_2006_28613.txt-8-5', 'fic_1851_746.txt-3044-25', 'mag_2005_380198.txt-2-51', 'mag_1997_398795.txt-20-8']		4
tip	fic_1838_7145.txt-1698-40	fic_1850_7953.txt-1480-26	4.0	mag_1982_325204.txt-14-26	2.0	fic_1835_5605.txt-2415-40	3.0	fic_2001_55735.txt-589-4	1.0	['fic_1850_7953.txt-1480-26', 'fic_1835_5605.txt-2415-40', 'mag_1982_325204.txt-14-26', 'fic_2001_55735.txt-589-4']		4
tip	fic_1840_7681.txt-2114-153	mag_2005_397558.txt-67-28	4.0	fic_1851_746.txt-9276-19	3.0	mag_1961_442000.txt-637-1	1.0	nf_1851_747930.txt-2962-24	2.0	['mag_2005_397558.txt-67-28', 'fic_1851_746.txt-9276-19', 'nf_1851_747930.txt-2962-24', 'mag_1961_442000.txt-637-1']		4
