lemma	identifier1	identifier2	context1	context2	indexes_target_token1	indexes_target_token2	judgment
vorweisen	2532889X_1946-10-20_01_020.tcf.xml-2-26	26120215_1973_01_11_01_051.tcf.xml-16-29	Heute morgen wurde in einigen Zeitungen eine unrichtige Nachricht darüber verbreitet, daß die Stimmberechtigten bei den" Wahleil am 20. Oktober in Berlin ihre Lebensmittelkarten vorzuweisen hätlen.	„Herr Brückner", sagte sie, „ich habe inzwischen den Bühnenportier Böttcher angewiesen, daß nur Personen das Haus verlassen dürfen, die ein solches Billett vorweisen."	178:189	156:165	4.0
vorweisen	2532889X_1946-10-20_01_020.tcf.xml-2-26	nn_nrhz099b_1848-302-29	Heute morgen wurde in einigen Zeitungen eine unrichtige Nachricht darüber verbreitet, daß die Stimmberechtigten bei den" Wahleil am 20. Oktober in Berlin ihre Lebensmittelkarten vorzuweisen hätlen.	Der Drucker erklärt, bis heute Abend 5 Uhr 29 Druckbogen von den zu der Waffenstillstandssache gehörigen Drucksachen fertig haben zu wollen. — 23 Bogen sind bereis fertig vorgewiesen.	178:189	171:182	3.0
vorweisen	2532889X_1948-08-21_01_034.tcf.xml-27-53	26120215_1954_06_15_01_011.tcf.xml-12-20	Eine Wissenschaft aber, die sich vom Volke losgelöst hat, der Praxis keine klaren Perspektiven, keine Orientierung und keine Siegesgewißheit gibt, verdient nicht, mit Wissenschaft bezeichnet zu werden Es ist daher kein Zufall, daß die Anhänger der weißmannschen Richtung in bezug auf praktische Errungenschaften auf der Tagung nichts vorzuweisen imstande waren.	In Baden-Württemberg führte Kriminalpolizei Haussuchungen bei Jugendlichen sowie Vernehmungen durch, wobei die Kriminalbeamten in keinem Falle einen richterlichen Befehl vorweisen konnten.	334:345	170:179	3.0
vorweisen	2532889X_1952-05-15_01_036.tcf.xml-2-46	2532889X_1985-10-26_01_196.tcf.xml-4-12	Der Schuster Marek aus Ratibor n Oberschlesien unterhält sich in seinem Dialekt mit seinem Leidensgefährten Ho rst, einem jungen Düsseldorfer, der keine Zuzugsgenehmigung bekommt, weil se ine Eltern bei einem Bombenangriff in Düsseldorf ums Leben kamen und er je tzt keinen -Wohnsitz" vorweisen kann.	Und bei beiden Dingen hat unser Jugendforscherkollektiv -Entwicklung der Lichtwellenleiter-Technik" einiges vorzuweisen.	285:294	108:119	3.0
vorweisen	2532889X_1952-05-15_01_036.tcf.xml-2-46	buechner_werke_1879-1466-19	Der Schuster Marek aus Ratibor n Oberschlesien unterhält sich in seinem Dialekt mit seinem Leidensgefährten Ho rst, einem jungen Düsseldorfer, der keine Zuzugsgenehmigung bekommt, weil se ine Eltern bei einem Bombenangriff in Düsseldorf ums Leben kamen und er je tzt keinen -Wohnsitz" vorweisen kann.	Der sechzehnjährige Knabe machte sich beherzt auf den Weg, ward aber, als er im Arresthause die Vorladung vorwies, nicht vor den fremden Beamten geführt, sondern zufällig vor einen Darmstädter Richter, welcher die Brüder sehr genau kannte, da Dr. Büchner sein Hausarzt war.	285:294	106:113	3.0
vorweisen	2532889X_1952-05-15_01_036.tcf.xml-2-46	burckhardt_cicerone_1855-11341-26	Der Schuster Marek aus Ratibor n Oberschlesien unterhält sich in seinem Dialekt mit seinem Leidensgefährten Ho rst, einem jungen Düsseldorfer, der keine Zuzugsgenehmigung bekommt, weil se ine Eltern bei einem Bombenangriff in Düsseldorf ums Leben kamen und er je tzt keinen -Wohnsitz" vorweisen kann.	(Joseph in den Brunnen gesenkt; an den Midianiter verkauft; die Tödtung des Böckleins; das mit dessen Blut gefärbte Kleid wird dem Jacob vorgewiesen etc.) An diesen in Form und Gedanken trefflichen Arbeiten machte auch der etwas ältere Genosse, Alfonso Lombardi, eine neue Schule durch.	285:294	137:148	3.0
vorweisen	2532889X_1952-05-15_01_036.tcf.xml-2-46	nettelbeck_lebensbeschreibung02_1821-593-16	Der Schuster Marek aus Ratibor n Oberschlesien unterhält sich in seinem Dialekt mit seinem Leidensgefährten Ho rst, einem jungen Düsseldorfer, der keine Zuzugsgenehmigung bekommt, weil se ine Eltern bei einem Bombenangriff in Düsseldorf ums Leben kamen und er je tzt keinen -Wohnsitz" vorweisen kann.	Der wachhabende Steuermann verwaltet sodann das gestrenge Richteramt; veranstaltet Untersuchungen, wobei Jeder sein Bündel vorweisen und auskramen muß, und wobei es seiner Gravität oft schwer genug wird, sich des Lachens zu enthalten, und verfügt endlich über den ertappten Dieb einige gelinde Peitschenhiebe.	285:294	123:132	3.0
vorweisen	2532889X_1952-05-15_01_036.tcf.xml-2-46	nn_nrhz081_1848-231-15	Der Schuster Marek aus Ratibor n Oberschlesien unterhält sich in seinem Dialekt mit seinem Leidensgefährten Ho rst, einem jungen Düsseldorfer, der keine Zuzugsgenehmigung bekommt, weil se ine Eltern bei einem Bombenangriff in Düsseldorf ums Leben kamen und er je tzt keinen -Wohnsitz" vorweisen kann.	Die Friststellung von 24 Stunden, binnen welcher nach dem Vorschlag des Verfassungsausschusses der Haussuchungsbefehl vorgewiesen werden soll, ist ganz überflüssig, denn ohne richterlichen Befehl, (wie der Ausschuß vorschreibt) darf ja keine Haussuchung vorgenommen werden.	285:294	118:129	4.0
vorweisen	2532889X_1954-12-23_01_074.tcf.xml-2-24	bechstein_dunkelgraf_1854-4071-23	Die Abteilung Handel und Versorgung beim Magistrat von Groß-Berlin teilt dazu mit. daß westdeutsche und westberliner Bürger, die eine vorschriftsmäßige Aufenthaltsgenehmigung vorweisen können, weiterhin ihre Rechnungen in Deutscher Mark der Deutschen Notenbank begleichen können.	So erschien er als ein feiner, gebildeter Weltmann an manchem Hofe, überall räthselhaft schnell eingeführt durch wenige Zeilen, die er vorwies; man zog ihn zu den fürstlichen Tafeln, erzeigte ihm Aufmerksamkeiten, unterhielt sich gerne mit ihm in der beliebten Modesprache der Höfe; aber da er nirgend lange verweilte, so ging seine Erscheinung gleich andern flüchtig vorüber und wurde schnell wieder vergessen.	175:184	135:142	4.0
vorweisen	2532889X_1954-12-23_01_074.tcf.xml-2-24	nn_nrhz099b_1848-302-29	Die Abteilung Handel und Versorgung beim Magistrat von Groß-Berlin teilt dazu mit. daß westdeutsche und westberliner Bürger, die eine vorschriftsmäßige Aufenthaltsgenehmigung vorweisen können, weiterhin ihre Rechnungen in Deutscher Mark der Deutschen Notenbank begleichen können.	Der Drucker erklärt, bis heute Abend 5 Uhr 29 Druckbogen von den zu der Waffenstillstandssache gehörigen Drucksachen fertig haben zu wollen. — 23 Bogen sind bereis fertig vorgewiesen.	175:184	171:182	3.0
