lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
beimischen	brehm_thierleben03_1866-3590-8			brehm_thierleben03_1866-17770-13	3.0	heine_reisebilder02_1827-189-11	2.0	26120215_1988_10_08_01_065.tcf.xml-10-11	4.0	['26120215_1988_10_08_01_065.tcf.xml-10-11', 'brehm_thierleben03_1866-17770-13', 'heine_reisebilder02_1827-189-11']		3
beimischen	beck_eisen03_1897-1018-26			varnhagen_rahel03_1834-8813-27	2.0	2532889X_1983-05-07_01_416.tcf.xml-36-15	3.0	menzel_maurer_1847-913-19	4.0	['menzel_maurer_1847-913-19', '2532889X_1983-05-07_01_416.tcf.xml-36-15', 'varnhagen_rahel03_1834-8813-27']		3
beimischen	schroeder_logik01_1890-714-61	rein_japan02_1886-8695-9	3.0	brandes_naturlehre03_1832-4092-50	2.0	humboldt_kosmos02_1847-70-39	4.0			['humboldt_kosmos02_1847-70-39', 'rein_japan02_1886-8695-9', 'brandes_naturlehre03_1832-4092-50']		3
beimischen	wackernagel_poetik_1873-1449-101			davidis_kochbuch_1879-4828-10	3.0	gottschall_poetik_1858-5642-17	4.0	26120215_1983_02_15_01_261.tcf.xml-9-12	2.0	['gottschall_poetik_1858-5642-17', 'davidis_kochbuch_1879-4828-10', '26120215_1983_02_15_01_261.tcf.xml-9-12']		3
beimischen	brandes_naturlehre03_1832-4092-50	humboldt_kosmos02_1847-70-39	2.0			virchow_cellularpathologie_1858-1824-33	4.0	2532889X_1955-05-15_01_027.tcf.xml-25-54	3.0	['virchow_cellularpathologie_1858-1824-33', '2532889X_1955-05-15_01_027.tcf.xml-25-54', 'humboldt_kosmos02_1847-70-39']		3
beimischen	griesinger_psychische_1845-467-38	brehm_thierleben03_1866-3590-8	2.0	26120215_1951_12_07_01_031.tcf.xml-42-17	3.0	26120215_1950_08_03_01_037.tcf.xml-25-26	4.0			['26120215_1950_08_03_01_037.tcf.xml-25-26', '26120215_1951_12_07_01_031.tcf.xml-42-17', 'brehm_thierleben03_1866-3590-8']		3
beimischen	ganswindt_faerberei_1889-6404-4	baumgart_poetik_1887-3056-15	3.0	2532889X_1964-02-22_01_111.tcf.xml-18-37	4.0	varnhagen_denkwuerdigkeiten01_1837-2867-20	2.0			['2532889X_1964-02-22_01_111.tcf.xml-18-37', 'baumgart_poetik_1887-3056-15', 'varnhagen_denkwuerdigkeiten01_1837-2867-20']		3
beimischen	treviranus_biologie04_1814-3613-34	2532889X_1977-01-15_01_259.tcf.xml-27-19	3.0	2532889X_1964-06-05_01_010.tcf.xml-10-8	4.0			brehm_thierleben03_1866-17770-13	2.0	['2532889X_1964-06-05_01_010.tcf.xml-10-8', '2532889X_1977-01-15_01_259.tcf.xml-27-19', 'brehm_thierleben03_1866-17770-13']		3
beimischen	vischer_aesthetik030203_1854-2658-32	humboldt_kosmos02_1847-31-30	4.0			2532889X_1981-08-31_01_039.tcf.xml-5-9	2.0	2532889X_1955-05-15_01_027.tcf.xml-25-54	3.0	['humboldt_kosmos02_1847-31-30', '2532889X_1955-05-15_01_027.tcf.xml-25-54', '2532889X_1981-08-31_01_039.tcf.xml-5-9']		3
beimischen	glueck_pandecten02verbesserungen_1800-2544-24	2532889X_1983-05-07_01_416.tcf.xml-36-15	2.0	2532889X_1964-12-25_01_079.tcf.xml-3-10	3.0	26120215_1951_12_07_01_031.tcf.xml-42-17	4.0			['26120215_1951_12_07_01_031.tcf.xml-42-17', '2532889X_1964-12-25_01_079.tcf.xml-3-10', '2532889X_1983-05-07_01_416.tcf.xml-36-15']		3
beimischen	thaer_landwirthschaft02_1810-2338-10	2532889X_1990-08-25_01_345.tcf.xml-26-6	4.0	humboldt_sprachbau_1826-23-31	3.0	immermann_muenchhausen01_1838-2398-13	2.0			['2532889X_1990-08-25_01_345.tcf.xml-26-6', 'humboldt_sprachbau_1826-23-31', 'immermann_muenchhausen01_1838-2398-13']		3
beimischen	brehm_thierleben03_1866-17770-13	niethammer_philantropinismus_1808-557-37	1.0	26120215_1948_03_28_01_299.tcf.xml-6-28	4.0	26120215_1978_11_23_01_103.tcf.xml-28-9	3.0	schroeder_logik01_1890-714-61	2.0	['26120215_1948_03_28_01_299.tcf.xml-6-28', '26120215_1978_11_23_01_103.tcf.xml-28-9', 'schroeder_logik01_1890-714-61', 'niethammer_philantropinismus_1808-557-37']		4
beimischen	thaer_landwirthschaft02_1810-4128-7	rein_japan02_1886-8695-9	3.0	treviranus_biologie04_1814-3613-34	4.0	2532889X_1977-06-18_01_206.tcf.xml-24-14	2.0			['treviranus_biologie04_1814-3613-34', 'rein_japan02_1886-8695-9', '2532889X_1977-06-18_01_206.tcf.xml-24-14']		3
beimischen	brehm_thierleben05_1869-10343-40	quenstedt_mineralogie_1854-6955-31	2.0			2532889X_1952-04-13_01_045.tcf.xml-30-7	4.0	blumenbach_kleineschriften_1800-297-33	3.0	['2532889X_1952-04-13_01_045.tcf.xml-30-7', 'blumenbach_kleineschriften_1800-297-33', 'quenstedt_mineralogie_1854-6955-31']		3
beimischen	quenstedt_mineralogie_1854-6955-31	blumenbach_kleineschriften_1800-297-33	3.0	2532889X_1948-08-01_01_053.tcf.xml-25-10	2.0			brandes_naturlehre03_1832-4092-50	4.0	['brandes_naturlehre03_1832-4092-50', 'blumenbach_kleineschriften_1800-297-33', '2532889X_1948-08-01_01_053.tcf.xml-25-10']		3
beimischen	niethammer_philantropinismus_1808-557-37	2532889X_1964-02-22_01_111.tcf.xml-18-37	2.0	schlegel_indier_1808-506-26	3.0	brehm_thierleben03_1866-17770-13	1.0	26120215_1978_11_23_01_103.tcf.xml-28-9	4.0	['26120215_1978_11_23_01_103.tcf.xml-28-9', 'schlegel_indier_1808-506-26', '2532889X_1964-02-22_01_111.tcf.xml-18-37', 'brehm_thierleben03_1866-17770-13']		4
beimischen	humboldt_kosmos02_1847-70-39	niethammer_philantropinismus_1808-557-37	3.0	schroeder_logik01_1890-714-61	4.0	2532889X_1965-09-19_01_120.tcf.xml-7-16	2.0			['schroeder_logik01_1890-714-61', 'niethammer_philantropinismus_1808-557-37', '2532889X_1965-09-19_01_120.tcf.xml-7-16']		3
beimischen	blumenbach_kleineschriften_1800-297-33	menzel_maurer_1847-2180-20	4.0	2532889X_1977-06-18_01_206.tcf.xml-24-14	3.0			niebuhr_roemische02_1812-1658-38	2.0	['menzel_maurer_1847-2180-20', '2532889X_1977-06-18_01_206.tcf.xml-24-14', 'niebuhr_roemische02_1812-1658-38']		3
