reference_usage	usage1	cosine_similarity1	usage2	cosine_similarity2	usage3	cosine_similarity3	usage4	cosine_similarity4	order	given_order
fic_1832_9478.txt-978-17	missing_usage	0.23616838455200195	mag_1981_293638.txt-1-8	0.6743738055229187	fic_1978_10636.txt-13922-16	0.7068617939949036	fic_1853_3819.txt-1598-15	0.0	['fic_1978_10636.txt-13922-16', 'mag_1981_293638.txt-1-8', 'fic_1853_3819.txt-1598-15']	['mag_1981_293638.txt-1-8', 'fic_1978_10636.txt-13922-16', 'fic_1853_3819.txt-1598-15']
fic_1849_7192.txt-4800-10	missing_usage	0.7641589641571045	fic_1811_8637.txt-503-12	0.647403359413147	fic_1967_10489.txt-6302-16	0.5272292494773865	fic_1964_781988.txt-1703-32	0.0	['fic_1811_8637.txt-503-12', 'fic_1967_10489.txt-6302-16', 'fic_1964_781988.txt-1703-32']	['fic_1811_8637.txt-503-12', 'fic_1967_10489.txt-6302-16', 'fic_1964_781988.txt-1703-32']
fic_1853_3819.txt-1598-15	fic_1850_7171.txt-7180-2	0.9337339401245117	fic_1832_9478.txt-978-17	0.7068617939949036	fic_1848_7341.txt-1750-2	0.6888173818588257	missing_usage	0.0	['fic_1850_7171.txt-7180-2', 'fic_1832_9478.txt-978-17', 'fic_1848_7341.txt-1750-2']	['fic_1850_7171.txt-7180-2', 'fic_1848_7341.txt-1750-2', 'fic_1832_9478.txt-978-17']
fic_1834_7029.txt-806-34	fic_1853_3819.txt-1598-15	0.7663520574569702	fic_1986_10741.txt-6708-15	0.6930798888206482	fic_1999_29005.txt-114-39	0.8137377500534058	fic_1855_604.txt-2870-69	0.724744439125061	['fic_1999_29005.txt-114-39', 'fic_1853_3819.txt-1598-15', 'fic_1855_604.txt-2870-69', 'fic_1986_10741.txt-6708-15']	['fic_1986_10741.txt-6708-15', 'fic_1853_3819.txt-1598-15', 'fic_1999_29005.txt-114-39', 'fic_1855_604.txt-2870-69']
mag_1850_555635.txt-181-63	mag_1985_123522.txt-5-22	0.3698456883430481	fic_1847_2352.txt-2257-5	0.6004011034965515	missing_usage	0.30349913239479065	fic_1855_604.txt-2870-69	0.0	['fic_1847_2352.txt-2257-5', 'mag_1985_123522.txt-5-22', 'fic_1855_604.txt-2870-69']	['fic_1847_2352.txt-2257-5', 'fic_1855_604.txt-2870-69', 'mag_1985_123522.txt-5-22']
fic_1851_3300.txt-2778-13	fic_1967_10489.txt-6302-16	0.36015185713768005	missing_usage	0.7337538003921509	fic_1976_16789.txt-540-22	0.6738572716712952	fic_1811_8637.txt-503-12	0.0	['fic_1976_16789.txt-540-22', 'fic_1967_10489.txt-6302-16', 'fic_1811_8637.txt-503-12']	['fic_1976_16789.txt-540-22', 'fic_1811_8637.txt-503-12', 'fic_1967_10489.txt-6302-16']
fic_1851_3300.txt-3435-47	fic_1838_7250.txt-1406-33	0.8356339931488037	missing_usage	0.8571399450302124	fic_1993_1040056.txt-5489-1	0.3062811493873596	mag_1850_555635.txt-181-63	0.0	['fic_1838_7250.txt-1406-33', 'fic_1993_1040056.txt-5489-1', 'mag_1850_555635.txt-181-63']	['fic_1993_1040056.txt-5489-1', 'fic_1838_7250.txt-1406-33', 'mag_1850_555635.txt-181-63']
fic_1814_8564.txt-320-50	fic_2006_51208.txt-18-20	0.7389471530914307	fic_1979_10650.txt-9974-9	0.876701831817627	missing_usage	0.715069055557251	fic_1834_8947.txt-332-1	0.0	['fic_1979_10650.txt-9974-9', 'fic_2006_51208.txt-18-20', 'fic_1834_8947.txt-332-1']	['fic_1979_10650.txt-9974-9', 'fic_1834_8947.txt-332-1', 'fic_2006_51208.txt-18-20']
fic_1974_10580.txt-881-3	fic_1811_8637.txt-501-3	0.8223651647567749	fic_1835_7014.txt-850-4	0.31791576743125916	nf_1856_755595.txt-1476-13	0.7667056918144226	missing_usage	0.0	['fic_1811_8637.txt-501-3', 'nf_1856_755595.txt-1476-13', 'fic_1835_7014.txt-850-4']	['nf_1856_755595.txt-1476-13', 'fic_1811_8637.txt-501-3', 'fic_1835_7014.txt-850-4']
news_1994_606788.txt-495-2	fic_1974_10580.txt-881-3	0.8095827102661133	fic_1993_25001.txt-1341-1	0.5771103501319885	mag_1981_293638.txt-1-8	0.1672571897506714	fic_2006_51208.txt-18-20	0.9546209573745728	['fic_2006_51208.txt-18-20', 'fic_1974_10580.txt-881-3', 'fic_1993_25001.txt-1341-1', 'mag_1981_293638.txt-1-8']	['fic_2006_51208.txt-18-20', 'fic_1974_10580.txt-881-3', 'fic_1993_25001.txt-1341-1', 'mag_1981_293638.txt-1-8']
