lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
circle	fic_1847_7152.txt-1569-4	fic_1961_781980.txt-1331-7	1.0	fic_1989_780083.txt-2098-19	2.0	nf_1844_747892.txt-1058-25	4.0	fic_1960_10398.txt-5951-5	3.0	['nf_1844_747892.txt-1058-25', 'fic_1960_10398.txt-5951-5', 'fic_1989_780083.txt-2098-19', 'fic_1961_781980.txt-1331-7']		4
circle	fic_1848_7992.txt-315-50	nf_1849_749269.txt-626-4	2.0	fic_1852_593.txt-1202-17	4.0	fic_1854_70.txt-1558-3	3.0			['fic_1852_593.txt-1202-17', 'fic_1854_70.txt-1558-3', 'nf_1849_749269.txt-626-4']		3
circle	fic_1849_2605.txt-638-26	nf_1849_749269.txt-626-4	2.0	fic_1835_8114.txt-434-8	4.0	fic_1852_593.txt-1202-17	3.0			['fic_1835_8114.txt-434-8', 'fic_1852_593.txt-1202-17', 'nf_1849_749269.txt-626-4']		3
circle	nf_1827_747521.txt-163-33	fic_1840_7164.txt-175-23	3.0			fic_1845_7162.txt-1633-28	4.0	fic_1833_7028.txt-1089-12	2.0	['fic_1845_7162.txt-1633-28', 'fic_1840_7164.txt-175-23', 'fic_1833_7028.txt-1089-12']		3
circle	fic_1846_7036.txt-2560-11	fic_1860_1171.txt-4644-35	2.0			fic_1847_7194.txt-1454-9	4.0	mag_1986_492547.txt-199-5	3.0	['fic_1847_7194.txt-1454-9', 'mag_1986_492547.txt-199-5', 'fic_1860_1171.txt-4644-35']		3
circle	fic_1846_8193.txt-686-26	fic_2005_780526.txt-2258-12	4.0	nf_2006_746843.txt-3-31	3.0			fic_1843_7039.txt-2109-16	1.0	['fic_2005_780526.txt-2258-12', 'nf_2006_746843.txt-3-31', 'fic_1843_7039.txt-2109-16']		3
circle	nf_1844_747892.txt-1058-25	fic_1853_7455.txt-645-20	3.0			fic_1993_1040095.txt-1060-4	2.0	fic_1847_7152.txt-1569-4	4.0	['fic_1847_7152.txt-1569-4', 'fic_1853_7455.txt-645-20', 'fic_1993_1040095.txt-1060-4']		3
circle	fic_1843_7039.txt-2109-16	fic_1833_7028.txt-1089-12	1.0	nf_1849_749269.txt-626-4	2.0	fic_1970_782000.txt-984-34	3.0	fic_1961_781980.txt-1331-7	4.0	['fic_1961_781980.txt-1331-7', 'fic_1970_782000.txt-984-34', 'nf_1849_749269.txt-626-4', 'fic_1833_7028.txt-1089-12']		4
circle	fic_1849_7230.txt-2441-6	fic_1827_7169.txt-2139-41	4.0	fic_1837_7452.txt-82-4	3.0	fic_2003_32193.txt-13-5	2.0	fic_1974_782013.txt-2184-9	1.0	['fic_1827_7169.txt-2139-41', 'fic_1837_7452.txt-82-4', 'fic_2003_32193.txt-13-5', 'fic_1974_782013.txt-2184-9']		4
circle	fic_1852_8028.txt-398-39	fic_1974_10588.txt-478-28	3.0			fic_1960_10398.txt-5951-5	2.0	fic_1837_8687.txt-961-1	4.0	['fic_1837_8687.txt-961-1', 'fic_1974_10588.txt-478-28', 'fic_1960_10398.txt-5951-5']		3
circle	fic_1853_9158.txt-568-37	fic_1838_7250.txt-2477-27	3.0			fic_1849_2605.txt-1633-35	4.0	nf_1849_749269.txt-626-4	2.0	['fic_1849_2605.txt-1633-35', 'fic_1838_7250.txt-2477-27', 'nf_1849_749269.txt-626-4']		3
