p_c_results_id	pair1_results	pair2_results	pair3_results	pair4_results	pair5_results	pair6_results
269|1	study_usage_1|study_usage_2:1:1.0	study_usage_1|study_usage_6:4:3.0	study_usage_1|study_usage_4:3:2.0	study_usage_1|study_usage_5:3:2.0	study_usage_1|study_usage_3:4:4.0
166|1	study_usage_1|study_usage_6:4:3.0	study_usage_1|study_usage_3:4:4.0	study_usage_1|study_usage_5:2:2.0	study_usage_1|study_usage_2:1:1.0	study_usage_1|study_usage_4:2:2.0
249|1	study_usage_1|study_usage_4:2:2.0	study_usage_1|study_usage_6:3:3.0	study_usage_1|study_usage_3:3:4.0	study_usage_1|study_usage_2:2:1.0	study_usage_1|study_usage_5:2:2.0
221|1	study_usage_1|study_usage_4:2:2.0	study_usage_1|study_usage_2:1:1.0	study_usage_1|study_usage_5:2:2.0	study_usage_1|study_usage_6:4:3.0	study_usage_1|study_usage_3:3:4.0
384|1	study_usage_1|study_usage_5:1:2.0	study_usage_1|study_usage_3:4:4.0	study_usage_1|study_usage_2:1:1.0	study_usage_1|study_usage_4:1:2.0	study_usage_1|study_usage_6:1:3.0
309|1	study_usage_1|study_usage_6:3:3.0	study_usage_1|study_usage_5:2:2.0	study_usage_1|study_usage_4:2:2.0	study_usage_1|study_usage_3:4:4.0	study_usage_1|study_usage_2:1:1.0
283|1	study_usage_1|study_usage_3:3:4.0	study_usage_1|study_usage_2:1:1.0	study_usage_1|study_usage_6:3:3.0	study_usage_1|study_usage_5:2:2.0	study_usage_1|study_usage_4:1:2.0
89|1	study_usage_1|study_usage_4:1:2.0	study_usage_1|study_usage_6:3:3.0	study_usage_1|study_usage_5:1:2.0	study_usage_1|study_usage_3:4:4.0	study_usage_1|study_usage_2:1:1.0
225|1	study_usage_1|study_usage_5:1:2.0	study_usage_1|study_usage_4:1:2.0	study_usage_1|study_usage_3:4:4.0	study_usage_1|study_usage_6:3:3.0	study_usage_1|study_usage_2:1:1.0
61|1	study_usage_1|study_usage_2:1:1.0	study_usage_1|study_usage_3:1:4.0	study_usage_1|study_usage_4:2:2.0	study_usage_1|study_usage_6:3:3.0	study_usage_1|study_usage_5:2:2.0
286|1	study_usage_1|study_usage_5:3:2.0	study_usage_1|study_usage_3:3:4.0	study_usage_1|study_usage_6:4:3.0	study_usage_1|study_usage_2:1:1.0	study_usage_1|study_usage_4:3:2.0
9|1	study_usage_1|study_usage_5:2:2.0	study_usage_1|study_usage_3:4:4.0	study_usage_1|study_usage_2:1:1.0	study_usage_1|study_usage_6:3:3.0	study_usage_1|study_usage_4:2:2.0
175|1	study_usage_1|study_usage_5:3:2.0	study_usage_1|study_usage_3:4:4.0	study_usage_1|study_usage_2:1:1.0	study_usage_1|study_usage_4:2:2.0	study_usage_1|study_usage_6:4:3.0
155|1	study_usage_1|study_usage_2:1:1.0	study_usage_1|study_usage_3:4:4.0	study_usage_1|study_usage_5:3:2.0	study_usage_1|study_usage_6:4:3.0	study_usage_1|study_usage_4:2:2.0
207|1	study_usage_1|study_usage_5:3:2.0	study_usage_1|study_usage_3:4:4.0	study_usage_1|study_usage_6:4:3.0	study_usage_1|study_usage_4:3:2.0	study_usage_1|study_usage_2:1:1.0
245|1	study_usage_1|study_usage_6:1:3.0	study_usage_1|study_usage_5:1:2.0	study_usage_1|study_usage_2:3:1.0	study_usage_1|study_usage_3:3:4.0	study_usage_1|study_usage_4:2:2.0
408|1	study_usage_1|study_usage_6:4:3.0	study_usage_1|study_usage_4:1:2.0	study_usage_1|study_usage_5:1:2.0	study_usage_1|study_usage_3:4:4.0	study_usage_1|study_usage_2:1:1.0
90|1	study_usage_1|study_usage_4:2:2.0	study_usage_1|study_usage_5:2:2.0	study_usage_1|study_usage_2:2:1.0	study_usage_1|study_usage_6:2:3.0	study_usage_1|study_usage_3:2:4.0
174|1	study_usage_1|study_usage_5:3:2.0	study_usage_1|study_usage_3:4:4.0	study_usage_1|study_usage_2:1:1.0	study_usage_1|study_usage_4:2:2.0	study_usage_1|study_usage_6:4:3.0
182|2	fic_1966_10474.txt-9144-22|fic_2009_36422.txt-25-3:2:2.0	fic_1966_10474.txt-9144-22|mag_1852_504512.txt-37-17:2:1.0	fic_1966_10474.txt-9144-22|fic_2003_30073.txt-45-6:3:2.0	fic_1966_10474.txt-9144-22|nf_1824_747685.txt-2190-18:2:2.0	fic_1966_10474.txt-9144-22|mag_1991_422282.txt-25-21:4:4.0	fic_1966_10474.txt-9144-22|mag_1971_491323.txt-31-34:2:3.0
305|2	fic_1966_10474.txt-9144-22|mag_1852_504512.txt-37-17:1:1.0	fic_1966_10474.txt-9144-22|mag_1991_422282.txt-25-21:3:4.0	fic_1966_10474.txt-9144-22|nf_1824_747685.txt-2190-18:3:2.0	fic_1966_10474.txt-9144-22|fic_2009_36422.txt-25-3:1:2.0	fic_1966_10474.txt-9144-22|mag_1971_491323.txt-31-34:1:3.0	fic_1966_10474.txt-9144-22|fic_2003_30073.txt-45-6:1:2.0
158|2	fic_1966_10474.txt-9144-22|mag_1991_422282.txt-25-21:4:4.0	fic_1966_10474.txt-9144-22|mag_1852_504512.txt-37-17:1:1.0	fic_1966_10474.txt-9144-22|nf_1824_747685.txt-2190-18:2:2.0	fic_1966_10474.txt-9144-22|fic_2003_30073.txt-45-6:2:2.0	fic_1966_10474.txt-9144-22|fic_2009_36422.txt-25-3:2:2.0	fic_1966_10474.txt-9144-22|mag_1971_491323.txt-31-34:3:3.0
14|2	fic_1966_10474.txt-9144-22|fic_2003_30073.txt-45-6:2:2.0	fic_1966_10474.txt-9144-22|nf_1824_747685.txt-2190-18:2:2.0	fic_1966_10474.txt-9144-22|mag_1971_491323.txt-31-34:3:3.0	fic_1966_10474.txt-9144-22|mag_1852_504512.txt-37-17:2:1.0	fic_1966_10474.txt-9144-22|mag_1991_422282.txt-25-21:4:4.0	fic_1966_10474.txt-9144-22|fic_2009_36422.txt-25-3:2:2.0
227|2	fic_1966_10474.txt-9144-22|fic_2009_36422.txt-25-3:2:2.0	fic_1966_10474.txt-9144-22|fic_2003_30073.txt-45-6:2:2.0	fic_1966_10474.txt-9144-22|mag_1971_491323.txt-31-34:3:3.0	fic_1966_10474.txt-9144-22|mag_1991_422282.txt-25-21:4:4.0	fic_1966_10474.txt-9144-22|nf_1824_747685.txt-2190-18:2:2.0	fic_1966_10474.txt-9144-22|mag_1852_504512.txt-37-17:2:1.0
267|2	fic_1966_10474.txt-9144-22|mag_1852_504512.txt-37-17:1:1.0	fic_1966_10474.txt-9144-22|nf_1824_747685.txt-2190-18:1:2.0	fic_1966_10474.txt-9144-22|fic_2009_36422.txt-25-3:1:2.0	fic_1966_10474.txt-9144-22|mag_1971_491323.txt-31-34:1:3.0	fic_1966_10474.txt-9144-22|fic_2003_30073.txt-45-6:1:2.0	fic_1966_10474.txt-9144-22|mag_1991_422282.txt-25-21:4:4.0
206|2	fic_1966_10474.txt-9144-22|mag_1971_491323.txt-31-34:2:3.0	fic_1966_10474.txt-9144-22|fic_2003_30073.txt-45-6:1:2.0	fic_1966_10474.txt-9144-22|mag_1991_422282.txt-25-21:4:4.0	fic_1966_10474.txt-9144-22|fic_2009_36422.txt-25-3:1:2.0	fic_1966_10474.txt-9144-22|nf_1824_747685.txt-2190-18:2:2.0	fic_1966_10474.txt-9144-22|mag_1852_504512.txt-37-17:1:1.0
380|2	fic_1966_10474.txt-9144-22|mag_1971_491323.txt-31-34:1:3.0	fic_1966_10474.txt-9144-22|mag_1991_422282.txt-25-21:3:4.0	fic_1966_10474.txt-9144-22|mag_1852_504512.txt-37-17:1:1.0	fic_1966_10474.txt-9144-22|fic_2009_36422.txt-25-3:1:2.0	fic_1966_10474.txt-9144-22|fic_2003_30073.txt-45-6:1:2.0	fic_1966_10474.txt-9144-22|nf_1824_747685.txt-2190-18:3:2.0
80|2	fic_1966_10474.txt-9144-22|nf_1824_747685.txt-2190-18:3:2.0	fic_1966_10474.txt-9144-22|fic_2009_36422.txt-25-3:2:2.0	fic_1966_10474.txt-9144-22|mag_1991_422282.txt-25-21:2:4.0	fic_1966_10474.txt-9144-22|mag_1852_504512.txt-37-17:1:1.0	fic_1966_10474.txt-9144-22|fic_2003_30073.txt-45-6:2:2.0	fic_1966_10474.txt-9144-22|mag_1971_491323.txt-31-34:3:3.0
379|2	fic_1966_10474.txt-9144-22|mag_1971_491323.txt-31-34:1:3.0	fic_1966_10474.txt-9144-22|mag_1991_422282.txt-25-21:3:4.0	fic_1966_10474.txt-9144-22|mag_1852_504512.txt-37-17:1:1.0	fic_1966_10474.txt-9144-22|fic_2009_36422.txt-25-3:1:2.0	fic_1966_10474.txt-9144-22|fic_2003_30073.txt-45-6:1:2.0	fic_1966_10474.txt-9144-22|nf_1824_747685.txt-2190-18:3:2.0
