lemma	identifier_ref	identifier1	judgment1	identifier2	judgment2	identifier3	judgment3	identifier4	judgment4	order	to_find	count
packen	arnim_wunderhorn01_1806-826-9	grimm_maerchen01_1819-518-8	4.0	hebel_schatzkaestlein_1811-1719-34	1.0	2532889X_1981-01-31_01_138.tcf.xml-94-19	2.0	grimm_maerchen01_1850-3832-1	3.0	['grimm_maerchen01_1819-518-8', 'grimm_maerchen01_1850-3832-1', '2532889X_1981-01-31_01_138.tcf.xml-94-19', 'hebel_schatzkaestlein_1811-1719-34']		4
packen	werner_seeleben_1880-317-7	pfeiffer_frauenfahrt03_1850-2074-18	1.0	brehm_thierleben06_1869-6608-28	3.0	26120215_1965_04_09_01_070.tcf.xml-13-6	2.0			['brehm_thierleben06_1869-6608-28', '26120215_1965_04_09_01_070.tcf.xml-13-6', 'pfeiffer_frauenfahrt03_1850-2074-18']		3
packen	blumenbach_kleineschriften_1800-440-19	2532889X_1990-09-13_01_217.tcf.xml-23-4	3.0	brehm_thierleben01_1864-10854-33	4.0	2532889X_1947-03-02_01_050.tcf.xml-28-23	2.0			['brehm_thierleben01_1864-10854-33', '2532889X_1990-09-13_01_217.tcf.xml-23-4', '2532889X_1947-03-02_01_050.tcf.xml-28-23']		3
packen	brehm_thierleben05_1869-5303-45	may_kurdistan_1892-13666-26	4.0			2532889X_1958-06-03_01_090.tcf.xml-4-12	1.0	2532889X_1983-07-09_01_079.tcf.xml-21-6	2.0	['may_kurdistan_1892-13666-26', '2532889X_1983-07-09_01_079.tcf.xml-21-6', '2532889X_1958-06-03_01_090.tcf.xml-4-12']		3
packen	grimm_maerchen02_1843-232-22	brehm_thierleben06_1869-6608-28	3.0			steinen_naturvoelker_1894-8234-1	2.0	26120215_1978_03_17_01_193.tcf.xml-10-3	1.0	['brehm_thierleben06_1869-6608-28', 'steinen_naturvoelker_1894-8234-1', '26120215_1978_03_17_01_193.tcf.xml-10-3']		3
packen	bauer_buehnenleben_1871-477-1	2532889X_1984-03-17_01_322.tcf.xml-7-6	3.0	2532889X_1981-12-21_01_037.tcf.xml-2-36	4.0	2532889X_1960-06-08_01_035.tcf.xml-29-19	2.0	26120215_1989_05_05_01_171.tcf.xml-12-16	1.0	['2532889X_1981-12-21_01_037.tcf.xml-2-36', '2532889X_1984-03-17_01_322.tcf.xml-7-6', '2532889X_1960-06-08_01_035.tcf.xml-29-19', '26120215_1989_05_05_01_171.tcf.xml-12-16']		4
packen	brehm_thierleben01_1864-14429-21			rosenkranz_aesthetik_1853-1058-32	1.0	2532889X_1967-04-12_01_151.tcf.xml-2-17	2.0	2532889X_1983-07-09_01_079.tcf.xml-21-6	3.0	['2532889X_1983-07-09_01_079.tcf.xml-21-6', '2532889X_1967-04-12_01_151.tcf.xml-2-17', 'rosenkranz_aesthetik_1853-1058-32']		3
packen	humboldt_aequinoktial03_1859-2466-14	brehm_thierleben03_1866-14924-7	4.0	26120215_1972_11_03_01_177.tcf.xml-40-59	2.0	26120215_1989_01_10_01_093.tcf.xml-30-6	1.0	freud_hysterie_1895-1886-15	3.0	['brehm_thierleben03_1866-14924-7', 'freud_hysterie_1895-1886-15', '26120215_1972_11_03_01_177.tcf.xml-40-59', '26120215_1989_01_10_01_093.tcf.xml-30-6']		4
packen	grimm_maerchen02_1857-1616-1	hoffmann_elixiere01_1815-1356-6	4.0	2532889X_1981-12-21_01_037.tcf.xml-2-36	1.0	meyer_gedichte_1882-2049-1	3.0	2532889X_1963-07-21_01_154.tcf.xml-1-3	2.0	['hoffmann_elixiere01_1815-1356-6', 'meyer_gedichte_1882-2049-1', '2532889X_1963-07-21_01_154.tcf.xml-1-3', '2532889X_1981-12-21_01_037.tcf.xml-2-36']		4
packen	grimm_maerchen01_1850-3832-1			arnim_wunderhorn01_1806-826-9	3.0	brehm_thierleben06_1869-6608-28	1.0	2532889X_1983-07-09_01_079.tcf.xml-21-6	2.0	['arnim_wunderhorn01_1806-826-9', '2532889X_1983-07-09_01_079.tcf.xml-21-6', 'brehm_thierleben06_1869-6608-28']		3
packen	nn_nrhz255ii_1849-74-18	arnimb_guenderode02_1840-482-31	3.0	2532889X_1968-09-30_01_074.tcf.xml-75-0	2.0	brehm_thierleben03_1866-17462-9	4.0			['brehm_thierleben03_1866-17462-9', 'arnimb_guenderode02_1840-482-31', '2532889X_1968-09-30_01_074.tcf.xml-75-0']		3
packen	freud_hysterie_1895-1886-15	2532889X_1987-12-02_01_100.tcf.xml-35-10	3.0	26120215_1974_12_11_01_236.tcf.xml-4-9	1.0	2532889X_1973-05-26_01_177.tcf.xml-23-91	2.0	conradi_adam_1889-6908-36	4.0	['conradi_adam_1889-6908-36', '2532889X_1987-12-02_01_100.tcf.xml-35-10', '2532889X_1973-05-26_01_177.tcf.xml-23-91', '26120215_1974_12_11_01_236.tcf.xml-4-9']		4
packen	holz_hamlet_1889-366-24	2532889X_1981-12-21_01_037.tcf.xml-2-36	1.0	pfeiffer_frauenfahrt03_1850-2074-18	4.0	kretzer_timpe_1888-2578-1	3.0	2532889X_1983-07-09_01_079.tcf.xml-21-6	2.0	['pfeiffer_frauenfahrt03_1850-2074-18', 'kretzer_timpe_1888-2578-1', '2532889X_1983-07-09_01_079.tcf.xml-21-6', '2532889X_1981-12-21_01_037.tcf.xml-2-36']		4
packen	vischer_poetik_1857-3822-12	freud_hysterie_1895-1749-62	2.0	hoffmann_nachtstuecke02_1817-1415-1	1.0	kretzer_timpe_1888-2955-5	3.0	2532889X_1983-07-09_01_079.tcf.xml-21-6	4.0	['2532889X_1983-07-09_01_079.tcf.xml-21-6', 'kretzer_timpe_1888-2955-5', 'freud_hysterie_1895-1749-62', 'hoffmann_nachtstuecke02_1817-1415-1']		4
packen	beck_eisen03_1897-6724-5	2532889X_1981-12-21_01_037.tcf.xml-2-36	3.0	26120215_1960_05_11_01_125.tcf.xml-33-10	2.0	26120215_1973_08_16_01_029.tcf.xml-2-31	1.0	thaer_landwirthschaft04_1812-2904-18	4.0	['thaer_landwirthschaft04_1812-2904-18', '2532889X_1981-12-21_01_037.tcf.xml-2-36', '26120215_1960_05_11_01_125.tcf.xml-33-10', '26120215_1973_08_16_01_029.tcf.xml-2-31']		4
packen	grimm_maerchen01_1819-518-8	26120215_1983_01_27_01_212.tcf.xml-35-7	1.0	arnim_wunderhorn01_1806-826-9	4.0			2532889X_1983-07-09_01_079.tcf.xml-21-6	2.0	['arnim_wunderhorn01_1806-826-9', '2532889X_1983-07-09_01_079.tcf.xml-21-6', '26120215_1983_01_27_01_212.tcf.xml-35-7']		3
packen	brehm_thierleben03_1866-9421-11			2532889X_1990-09-13_01_217.tcf.xml-23-4	1.0	conradi_adam_1889-6908-36	3.0	26120215_1965_04_09_01_070.tcf.xml-13-6	2.0	['conradi_adam_1889-6908-36', '26120215_1965_04_09_01_070.tcf.xml-13-6', '2532889X_1990-09-13_01_217.tcf.xml-23-4']		3
packen	arent_dichtercharaktere_1885-3441-131	2532889X_1981-12-21_01_037.tcf.xml-2-36	1.0	2532889X_1980-09-06_01_222.tcf.xml-8-11	4.0	meyer_gedichte_1882-2049-1	2.0	26120215_1971_07_04_01_404.tcf.xml-16-15	3.0	['2532889X_1980-09-06_01_222.tcf.xml-8-11', '26120215_1971_07_04_01_404.tcf.xml-16-15', 'meyer_gedichte_1882-2049-1', '2532889X_1981-12-21_01_037.tcf.xml-2-36']		4
packen	brehm_thierleben01_1864-15218-10	2532889X_1968-09-30_01_074.tcf.xml-75-0	2.0	2532889X_1950-07-04_01_099.tcf.xml-5-26	3.0	brehm_thierleben06_1869-6608-28	1.0	brehm_thierleben03_1866-17462-9	4.0	['brehm_thierleben03_1866-17462-9', '2532889X_1950-07-04_01_099.tcf.xml-5-26', '2532889X_1968-09-30_01_074.tcf.xml-75-0', 'brehm_thierleben06_1869-6608-28']		4
