lemma	pos	date	grouping	identifier	description	context	indexes_target_token	indexes_target_sentence	context_tokenized	indexes_target_token_tokenized	indexes_target_sentence_tokenized	context_lemmatized	context_pos
include_vb	vvz	1844	1	mag_1844_555172.txt-355-17	 	The par value of a bond is the amount which is due upon it; and this includes interest as well as principal.	69:77	0:108	The par value of a bond is the amount which is due upon it ; and this includes interest as well as principal .	17	0:24	the par value of a bond be the amount which be due upon it ; and this include interest as well as principal .	at nn1 nn1 io at1 nn1 vbz at nn1 ddq vbz jj ii pph1 y cc dd1 vvz nn1 ii31 ii32 ii33 nn1_jj y
include_vb	vvn	1842	1	fic_1842_7206.txt-14-54	 	The constancy, with which the charge of caricaturing Nature is brought against writers who attempt the humorous, should lead us to suspect -- particularly as Cervantes, Smollett, Fielding and Scott, to say nothing of more recent eminent examples, have all, at one time or another, been included in the accusation -- that there is less justice and more assumption in the charge, than seems at first possible.	286:294	0:407	The constancy , with which the charge of caricaturing Nature is brought against writers who attempt the humorous , should lead us to suspect -- particularly as Cervantes , Smollett , Fielding and Scott , to say nothing of more recent eminent examples , have all , at one time or another , been included in the accusation -- that there is less justice and more assumption in the charge , than seems at first possible .	54	0:77	the constancy , with which the charge of caricature nature be bring against writer who attempt the humorous , should lead us to suspect -- particularly as cervantes , smollett , field and scott , to say nothing of more recent eminent example , have all , at one time or another , be include in the accusation -- that there be less justice and more assumption in the charge , than seem at first possible .	at nn1 y iw ddq at nn1 io vvg_jj@ nn1 vbz vvn ii nn2 pnqs vv0 at jj y vm vvi ppio2 to vvi z rr csa np1_nn2 y np1 y np1 cc np1 y to vvi pn1 io rgr jj jj nn2 y vh0 db_rr@ y ii mc1 nnt1 cc dd1 y vbn vvn ii at nn1 z cst ex vbz dar nn1 cc dar nn1 ii at nn1 y csn vvz rr21 rr22 jj y
include_vb	vvz	1845	1	mag_1845_565438.txt-223-8	 	besides what he truly and properly sees, includes also a series or comhination of inferences, conjectures, or conceptions, which are totally different from the visual sensations, and which really arise from them, but arise so instantaneously that the sensation and these subsequent or accompanying mental acts or states can not be distinguished from each other in their occurrence.	41:49	0:381	besides what he truly and properly sees , includes also a series or comhination of inferences , conjectures , or conceptions , which are totally different from the visual sensations , and which really arise from them , but arise so instantaneously that the sensation and these subsequent or accompanying mental acts or states can not be distinguished from each other in their occurrence .	8	0:65	hesides what he truly and properly see , include also a series or comhination of inference , conjecture , or conception , which be totally different from the visual sensation , and which really arise from them , but arise so instantaneously that the sensation and these subsequent or accompanying mental act or state can not be distinguish from each other in their occurrence .	nn2 ddq pphs1 rr cc rr vvz y vvz rr at1 nn cc nn1_<sub> io nn2 y nn2 y cc nn2 y ddq vbr rr jj ii at jj nn2 y cc ddq rr vv0 ii ppho2 y ccb vv0 rg rr cst at nn1 cc dd2 jj cc jj_vvg jj nn2 cc nn2 vm xx vbi vvn@ ii ppx221 ppx222 ii appge nn1 y
include_vb	vv0	1855	1	nf_1855_748018.txt-2872-4	 	If the Mosaic account include the fossil species, it does not the existing ones; and if it embrace the latter, it can not the former.	22:29	0:133	If the Mosaic account include the fossil species , it does not the existing ones ; and if it embrace the latter , it can not the former .	4	0:29	if the mosaic account include the fossil species , it do not the existing one ; and if it embrace the latter , it can not the former .	cs at jj nn1 vv0 at nn1 nn y pph1 vdz xx at jj nn2 y cc cs_csw@ pph1 vv0 at da y pph1 vm xx at da y
include_vb	vvn	1841	1	nf_1841_747861.txt-157-23	 	liberty, and the pursuit of happiness, " without being aware, if the negro was a man, he must be included?	97:105	0:106	liberty , and the pursuit of happiness , " without being aware , if the negro was a man , he must be included ?	23	0:25	liberty , and the pursuit of happiness , " without be aware , if the negro be a man , he must be include ?	nn1 y cc at nn1 io nn1 y " iw vbg jj y cs at nn1 vbdz at1 nn1 y pphs1 vm vbi vvn y
include_vb	vvn_vvd	1845	1	mag_1845_519376.txt-681-14	 	The territories of the United States were at that time (1798) all included between the Atlantic Ocean on the east, and the Mississipi river on the west.	66:74	0:152	The territories of the United States were at that time ( 1798 ) all included between the Atlantic Ocean on the east , and the Mississipi river on the west .	14	0:31	the territory of the united state be at that time ( 1798 ) all include between the atlantic ocean on the east , and the mississipi river on the west .	at nn2 io at np1 np1 vbdr ii dd1 nnt1 y mc y db_rr@ vvn_vvd ii at np1 nnl1 ii at nd1 y cc at jj_nn1 nn1 ii at nd1 y
include_vb	vvg@_ii	1838	1	mag_1838_554651.txt-959-18	 	The sum total of these expenses, at the close of the eight years ' war, (including, in the aggregate, nearly three thousand pounds lawful money, paid for secret service, reconnoitring, and travelling, which might well be considered public charges,) was less than fourteen thousand five hundred pounds of sterling money; - a trifle more than was lately paid to the governor-general	73:82	0:380	The sum total of these expenses , at the close of the eight years ' war , ( including , in the aggregate , nearly three thousand pounds lawful money , paid for secret service , reconnoitring , and travelling , which might well be considered public charges , ) was less than fourteen thousand five hundred pounds of sterling money ; - a trifle more than was lately paid to the governor-general	18	0:73	the sum total of these expense , at the close of the eight year ' war , ( include , in the aggregate , nearly three thousand pound lawful money , pay for secret service , reconnoitr , and travel , which might well be consider public charge , ) be less than fourteen thousand five hundred pound of sterling money ; - a trifle more than be lately pay to the governor-general	at nn1 nn1 io dd2 nn2 y ii at nn1@_jj io at mc nnt2 ge nn1 y y vvg@_ii y ii at nn1_jj y rr mc m nn2 jj nn1 y vvn_vvd if jj_nn1 nn1 y vvg y cc nn1_vvg y ddq vm rr vbi vvn jj_nn1 nn2 y y vbdz dar csn mc m mc m nn2 io nn1_jj@ nn1 y - at1 nn1 rrr_dar csn vbdz rr vvn ii at nn1
include_vb	vvz	1843	1	nf_1843_748690.txt-2757-52	 	I have always arranged Judaism under two heads, " said the old man, " the black and the white: by the black, I mean the observance of the law of Moses in preference to the precepts of the church; then there is the white Judaism, which includes all kinds of heresy, such as Lutheranism, freemasonry, and the like. "	235:243	0:314	I have always arranged Judaism under two heads , " said the old man , " the black and the white : by the black , I mean the observance of the law of Moses in preference to the precepts of the church ; then there is the white Judaism , which includes all kinds of heresy , such as Lutheranism , freemasonry , and the like . "	52	0:69	i have always arrange judaism under two head , " say the old man , " the black and the white : by the black , i mean the observance of the law of moses in preference to the precept of the church ; then there be the white judaism , which include all kind of heresy , such as lutheranism , freemasonry , and the like . "	ppis1 vh0 rr vvn nn1 rg mc nn2 y " vvd at jj nn1 y " at jj_nn1@ cc at jj_nn1@ y ii at jj_nn1@ y ppis1 vv0 at nn1 io at nn1 io np1 ii nn1 ii at nn2 io at nn1 y rt ex vbz at jj nn1 y ddq vvz db nn2 io nn1 y ii21 ii22 nn1 y nn1 y cc at jj y "
include_vb	vvi	1853	1	fic_1853_2409.txt-342-8	 	1 By this I do not mean to include all foreigners, for some of them I consider among the very best of our population, but dancers, &c.,; &c.; TO MY FRIEND MR.	27:34	0:158	1 By this I do not mean to include all foreigners , for some of them I consider among the very best of our population , but dancers , &c., ; &c. ; TO MY FRIEND MR .	8	0:38	1 by this i do not mean to include all foreigner , for some of them i consider among the very best of our population , but dancer , <temp> ; <temp> ; to my friend mr .	mc1 ii dd1 ppis1 vd0 xx vvi to vvi db nn2 y if dd io ppho2 ppis1 vv0 ii at rg rrt_jjt io appge nn1 y ccb nn2 y <temp> y_<sub> <temp> y_<sub> ii appge nn1 nnb y
include_vb	vvi	1837	1	nf_1837_747786.txt-977-3	 	This does not include the extensive tract assigned to the Indians, called the Western Territory, the region west of the Missouri and north of the Platte, and that west of the Rocky Mountains, in which there is no white population, and which; has received no political organization or official name, The States are divided for municipal purposes into small sections, styled counties, except in South Carolina, where they are called districts, and in Louisiana, where they are called parishes.	14:21	0:491	This does not include the extensive tract assigned to the Indians , called the Western Territory , the region west of the Missouri and north of the Platte , and that west of the Rocky Mountains , in which there is no white population , and which ; has received no political organization or official name , The States are divided for municipal purposes into small sections , styled counties , except in South Carolina , where they are called districts , and in Louisiana , where they are called parishes .	3	0:92	this do not include the extensive tract assign to the indian , call the western territory , the region west of the missouri and north of the platte , and that west of the rocky mountain , in which there be no white population , and which ; have receive no political organization or official name , the state be divide for municipal purpose into small section , style county , except in south carolina , where they be call district , and in louisiana , where they be call parish .	dd1 vdz xx vvi at jj nn1 vvn ii at nn2 y vvn_vvd@ at jj nn1 y at nn1 nd1 io at np1 cc nd1 io at nn1_np1 y cc dd1 nd1 io at np1 nnl2 y ii ddq ex vbz at jj nn1 y cc ddq y vhz vvn at jj nn1 cc jj nn1 y at np1_nn2% vbr vvn if jj nn2 ii jj nn2 y vvd_jj@_vvn nn2 y cs ii np1 np1 y cs_rrq pphs2 vbr vvn nn2 y cc ii np1 y rrq pphs2 vbr vvn nn2 y
