identifier1	identifier2	annotator	judgment	comment	lemma	round
fic_2007_33473.txt-152-24	news_1985_668615.txt-35-11	annotator2	1.0	 	bit_nn	3
mag_1846_523866.txt-135-34	fic_1840_7292.txt-1919-10	annotator2	1.0	 	bit_nn	3
fic_2009_36750.txt-54-11	mag_1990_420108.txt-9-10	annotator2	1.0	 	bit_nn	3
mag_1991_422593.txt-378-23	fic_1968_10498.txt-2290-1	annotator2	1.0	 	bit_nn	3
fic_1853_9158.txt-97-26	fic_1982_10698.txt-560-9	annotator2	1.0	 	bit_nn	3
nf_1981_773908.txt-998-11	nf_1837_757476.txt-3891-24	annotator2	1.0	 	bit_nn	3
fic_2009_36638.txt-804-0	nf_1997_773513.txt-272-7	annotator2	1.0	 	bit_nn	3
fic_1853_9040.txt-3483-43	fic_1855_9053.txt-1148-7	annotator2	1.0	 	bit_nn	3
fic_1852_69.txt-575-14	fic_1824_7285.txt-2633-26	annotator2	1.0	 	bit_nn	3
mag_1990_420108.txt-9-10	fic_1859_270.txt-4126-24	annotator2	3.0	 	bit_nn	3
fic_1832_9464.txt-182-10	fic_1833_7321.txt-3755-25	annotator2	1.0	 	bit_nn	3
nf_1853_747976.txt-1572-25	fic_1833_7321.txt-3755-25	annotator2	1.0	 	bit_nn	3
fic_1840_7292.txt-1919-10	mag_1990_420108.txt-9-10	annotator2	4.0	 	bit_nn	3
fic_1960_23770.txt-175-8	nf_1837_757476.txt-3891-24	annotator2	3.0	 	bit_nn	3
fic_1960_23770.txt-175-8	nf_1976_774315.txt-296-13	annotator2	2.0	 	bit_nn	3
mag_1990_420108.txt-9-10	mag_1999_407884.txt-518-22	annotator2	3.0	 	bit_nn	3
fic_1859_270.txt-4126-24	fic_1843_7074.txt-991-19	annotator2	3.0	 	bit_nn	3
fic_1833_7321.txt-3755-25	nf_1981_773908.txt-998-11	annotator2	1.0	 	bit_nn	3
mag_1995_418713.txt-95-15	nf_1859_747504.txt-1366-77	annotator2	4.0	 	bit_nn	3
nf_1969_774314.txt-476-11	fic_1983_10712.txt-1546-9	annotator2	1.0	 	bit_nn	3
fic_1823_7248.txt-2489-20	fic_1835_5605.txt-2784-10	annotator2	1.0	 	bit_nn	3
nf_1981_773908.txt-998-11	nf_1969_774314.txt-477-2	annotator2	1.0	 	bit_nn	3
nf_1969_774314.txt-476-11	mag_1990_420108.txt-9-10	annotator2	1.0	 	bit_nn	3
nf_1981_773908.txt-998-11	fic_1855_9053.txt-1148-7	annotator2	1.0	 	bit_nn	3
mag_1999_407884.txt-518-22	nf_1969_774314.txt-490-17	annotator2	1.0	 	bit_nn	3
fic_1832_9464.txt-182-10	fic_1854_70.txt-2006-30	annotator2	1.0	 	bit_nn	3
nf_1853_747976.txt-1572-25	fic_1848_7265.txt-153-9	annotator2	2.0	 	bit_nn	3
fic_1823_7248.txt-2489-20	mag_1991_422593.txt-378-23	annotator2	1.0	 	bit_nn	3
nf_1969_774314.txt-477-2	fic_1982_10698.txt-560-9	annotator2	1.0	 	bit_nn	3
fic_1853_9040.txt-3483-43	mag_1845_555339.txt-10-10	annotator2	1.0	 	bit_nn	3
mag_1845_555339.txt-10-10	fic_1832_9464.txt-182-10	annotator2	1.0	 	bit_nn	3
nf_1837_757476.txt-3891-24	fic_1859_9037.txt-439-7	annotator2	3.0	 	bit_nn	3
fic_2009_36750.txt-54-11	fic_1853_9040.txt-3483-43	annotator2	1.0	 	bit_nn	3
fic_1846_556.txt-3541-8	fic_2009_36750.txt-54-11	annotator2	1.0	 	bit_nn	3
fic_1859_9037.txt-439-7	mag_1846_523866.txt-135-34	annotator2	1.0	 	bit_nn	3
fic_1854_70.txt-2006-30	fic_1846_556.txt-3541-8	annotator2	2.0	 	bit_nn	3
fic_1855_9053.txt-1148-7	fic_1830_7238.txt-76-6	annotator2	1.0	 	bit_nn	3
fic_1853_9158.txt-97-26	fic_1840_7292.txt-1919-10	annotator2	1.0	 	bit_nn	3
fic_1975_10601.txt-872-29	nf_1997_773513.txt-272-7	annotator2	1.0	 	bit_nn	3
fic_1853_9040.txt-3483-43	fic_1835_7328.txt-1895-71	annotator2	4.0	 	bit_nn	3
fic_1855_9053.txt-1148-7	fic_1975_10601.txt-872-29	annotator2	1.0	 	bit_nn	3
mag_1999_407884.txt-518-22	fic_1853_9040.txt-3483-43	annotator2	1.0	 	bit_nn	3
nf_1969_774314.txt-476-11	nf_1969_774314.txt-490-17	annotator2	1.0	 	bit_nn	3
fic_1982_10698.txt-560-9	fic_1859_9037.txt-439-7	annotator2	3.0	 	bit_nn	3
fic_1859_270.txt-4126-24	fic_1853_9040.txt-3483-43	annotator2	1.0	 	bit_nn	3
mag_1991_422593.txt-378-23	fic_1982_10690.txt-4985-19	annotator2	2.0	 	bit_nn	3
nf_1981_773908.txt-998-11	fic_1840_7292.txt-1919-10	annotator2	1.0	 	bit_nn	3
fic_1856_1552.txt-8126-21	fic_1998_43216.txt-276-4	annotator2	4.0	 	bit_nn	3
fic_1852_69.txt-575-14	fic_1835_5605.txt-2784-10	annotator2	1.0	 	bit_nn	3
fic_1968_10498.txt-2290-1	nf_1969_774314.txt-490-17	annotator2	1.0	 	bit_nn	3
nf_1837_757476.txt-3891-24	mag_1999_407884.txt-518-22	annotator2	2.0	 	bit_nn	3
fic_1983_10712.txt-1546-9	fic_1849_7231.txt-2627-10	annotator2	1.0	 	bit_nn	3
mag_1961_477716.txt-99-41	fic_1830_7238.txt-2264-83	annotator2	3.0	 	bit_nn	3
mag_1991_422593.txt-378-23	fic_1960_23770.txt-175-8	annotator2	3.0	 	bit_nn	3
nf_1969_774314.txt-476-11	mag_1846_523866.txt-135-34	annotator2	1.0	 	bit_nn	3
